序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
117,600282,南钢股份,4.64,4.98,0.22,468729.0,215867706.0,6.33,4.7,4.42,4.42,4.42,1.56,0.76,12.24,1.11,28606022291.0,28606022291.0,-0.22,-0.22,5.94,-1.07,钢铁行业,True
133,600569,安阳钢铁,1.82,4.6,0.08,657314.0,121932995.0,6.9,1.91,1.79,1.82,1.74,3.19,2.29,-1.8,1.4,5227806923.0,5227806923.0,-0.55,0.0,-19.47,-2.15,钢铁行业,True
149,000830,鲁西化工,11.84,4.23,0.48,374263.0,442231442.28,3.08,11.92,11.57,11.63,11.36,3.32,1.97,10.77,1.24,22616441820.0,22538153159.0,-0.08,-0.17,0.85,1.28,化学原料,True
188,000895,双汇发展,26.36,3.66,0.93,194882.0,509525877.25,4.13,26.48,25.43,25.5,25.43,2.2,0.56,18.0,4.58,91328469575.0,91314301892.0,-0.3,-0.15,6.08,1.54,食品饮料,True
258,000598,兴蓉环境,7.31,2.96,0.21,232291.0,169151714.56,3.52,7.36,7.11,7.12,7.1,1.7,0.78,10.06,1.23,21816217811.0,21745829821.0,0.14,0.0,0.83,-3.69,公用事业,True
279,600019,宝钢股份,7.01,2.79,0.19,1214030.0,846803064.0,3.23,7.02,6.8,6.81,6.82,1.6,0.56,19.58,0.77,153579594433.0,152692414090.0,0.14,0.0,4.94,0.14,钢铁行业,True
280,600018,上港集团,5.92,2.78,0.16,454507.0,268346004.0,3.13,5.96,5.78,5.78,5.76,1.77,0.2,9.44,1.04,137825682351.0,137430300304.0,0.0,0.17,-0.5,-3.27,航运港口,True
294,002078,太阳纸业,13.97,2.65,0.36,230359.0,321253729.47,3.38,14.07,13.61,13.61,13.61,1.26,0.83,11.91,1.41,39039655612.0,38771041416.0,-0.21,-0.29,5.28,-6.05,造纸印刷,True
354,603167,渤海轮渡,8.32,2.34,0.19,88350.0,73298947.0,2.71,8.36,8.14,8.14,8.13,0.98,1.88,11.38,1.06,3903282265.0,3903282265.0,0.0,0.0,1.84,-3.48,航运港口,True
358,600035,楚天高速,4.4,2.33,0.1,157444.0,69082999.0,3.02,4.43,4.3,4.31,4.3,1.67,0.98,8.01,0.83,7084509964.0,7084509964.0,0.0,-0.23,6.54,-4.35,铁路公路,True
