序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
288,300776,帝尔激光,60.98,4.31,2.52,59942.0,358628019.5,5.35,61.14,58.01,58.39,58.46,1.91,3.58,25.57,4.91,16681720875.0,10220302577.0,0.02,0.2,6.61,-3.5,光伏设备,True
449,002786,银宝山新,9.97,3.0,0.29,388617.0,389638181.56,6.61,10.28,9.64,9.68,9.68,3.98,7.86,-76.01,22.64,4941251640.0,4926296640.0,0.1,0.0,14.07,7.78,专用设备,True
488,002285,世联行,2.56,2.81,0.07,570400.0,144255039.85,4.02,2.57,2.47,2.48,2.49,1.09,2.89,-119.7,1.8,5101642337.0,5058026435.0,0.0,0.0,14.8,-1.16,房地产服务,True
646,603309,维力医疗,14.48,2.12,0.3,60421.0,86249479.0,2.75,14.48,14.09,14.14,14.18,1.03,2.07,17.99,2.36,4240728901.0,4226298133.0,0.21,0.21,29.75,26.13,医疗器械,True
770,000063,中兴通讯,35.09,1.8,0.62,1490591.0,5137129104.4,6.59,35.78,33.51,34.13,34.47,2.05,3.7,17.11,2.32,167854239185.0,141320543484.0,0.06,0.06,9.86,-11.79,通信设备,True
878,603860,中公高科,32.85,1.55,0.5,28328.0,93324107.0,3.83,33.59,32.35,32.35,32.35,0.71,4.25,-1456.53,2.76,2190438000.0,2190438000.0,0.03,0.06,14.5,11.96,工程咨询服务,True
881,600649,城投控股,4.61,1.54,0.07,294947.0,134618444.0,2.64,4.61,4.49,4.53,4.54,1.1,1.17,123.59,0.56,11661343673.0,11661343673.0,0.22,0.44,4.3,4.54,房地产开发,True
887,000050,深天马Ａ,9.38,1.52,0.14,176028.0,163803906.18,1.84,9.39,9.22,9.22,9.24,1.21,0.72,59.78,0.84,23053673060.0,23053400806.0,0.0,0.0,17.54,3.88,光学光电子,True
944,600497,驰宏锌锗,5.76,1.41,0.08,1245398.0,717995692.0,4.4,5.89,5.64,5.66,5.68,1.13,2.47,14.68,1.81,29032591582.0,29032591582.0,-0.17,0.0,16.36,5.88,有色金属,True
961,300341,麦克奥迪,16.94,1.38,0.23,114313.0,193920215.91,4.43,17.38,16.64,16.66,16.71,0.79,2.22,62.82,4.82,8764931092.0,8729650577.0,-0.12,0.36,10.65,-2.87,电网设备,True
983,600488,津药药业,4.58,1.33,0.06,119355.0,54129547.0,2.65,4.58,4.46,4.55,4.52,1.59,1.09,21.54,1.66,5000840994.0,5000840994.0,0.22,0.44,15.95,10.63,化学制药,True
1010,600211,西藏药业,40.49,1.28,0.51,71210.0,286581130.0,2.28,40.57,39.66,39.99,39.98,0.64,2.21,12.12,3.38,13050704246.0,13050704246.0,0.02,0.05,14.06,12.63,生物制品,True
