序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
318,600551,时代出版,7.96,2.58,0.2,58012.0,46118763.0,3.35,8.05,7.79,7.79,7.76,1.15,0.86,15.48,0.96,5397319702.0,5397319702.0,0.0,0.0,-2.69,-7.55,文化传媒,True
319,002936,郑州银行,1.99,2.58,0.05,1392508.0,276720724.72,3.09,2.01,1.95,1.96,1.94,1.72,2.08,6.05,0.4,18093261802.0,13334227334.0,0.0,0.0,-1.0,-5.24,银行,True
335,601916,浙商银行,2.89,2.48,0.07,1661173.0,477247399.0,2.48,2.9,2.83,2.84,2.82,1.7,0.77,4.61,0.47,79372797933.0,62263419933.0,0.35,0.0,1.76,-0.69,银行,True
347,002839,张家港行,4.22,2.43,0.1,396706.0,167341576.56,2.91,4.27,4.15,4.16,4.12,1.5,1.69,5.21,0.61,10315135790.0,9904253988.0,0.24,0.0,0.0,-3.43,银行,True
356,600928,西安银行,3.47,2.36,0.08,250320.0,86848787.0,3.24,3.51,3.4,3.41,3.39,1.58,0.57,6.0,0.47,15422222224.0,15341721434.0,-0.29,0.0,-3.34,-3.88,银行,True
420,601155,新城控股,11.41,2.06,0.23,220052.0,254107048.0,4.74,11.81,11.28,11.28,11.18,1.13,0.98,13.27,0.42,25736656787.0,25736656787.0,0.0,-0.09,-19.7,-4.6,房地产开发,True
476,001872,招商港口,20.32,1.85,0.37,48390.0,98251700.3,2.36,20.51,20.04,20.04,19.95,2.12,0.28,10.2,0.83,50818793582.0,35444580652.0,-0.1,-0.1,-2.31,-0.73,航运港口,True
536,600643,爱建集团,4.86,1.67,0.08,246653.0,122057031.0,4.6,5.08,4.86,4.88,4.78,2.46,1.55,23.43,0.62,7742809981.0,7729109340.0,-0.21,-0.41,-12.43,-6.0,多元金融,True
582,000402,金 融 街,3.22,1.58,0.05,452315.0,146762223.62,2.84,3.29,3.2,3.2,3.17,0.92,1.51,-2.76,0.29,9624354301.0,9622100284.0,0.0,-0.31,-4.45,-1.23,房地产开发,True
592,601186,中国铁建,8.47,1.56,0.13,382865.0,325034318.0,1.68,8.55,8.41,8.41,8.34,1.25,0.33,5.5,0.44,115018716505.0,97432489385.0,0.12,0.12,-5.57,-7.63,工程建设,True
624,601860,紫金银行,2.72,1.49,0.04,665099.0,181366405.0,2.61,2.75,2.68,2.69,2.68,1.43,1.87,5.53,0.52,9957874938.0,9660262558.0,-0.37,0.0,0.0,-2.86,银行,True
651,601018,宁波港,3.57,1.42,0.05,304431.0,108941881.0,1.7,3.6,3.54,3.54,3.52,1.37,0.19,14.23,0.89,69452166584.0,56432480011.0,0.0,0.0,-3.25,-7.27,航运港口,True
655,600035,楚天高速,4.3,1.42,0.06,122701.0,52931892.0,1.65,4.34,4.27,4.27,4.24,1.52,0.76,7.83,0.81,6923498374.0,6923498374.0,0.0,-0.23,5.13,-6.52,铁路公路,True
659,600018,上港集团,5.76,1.41,0.08,312917.0,180130594.0,1.76,5.79,5.69,5.7,5.68,1.29,0.13,9.18,1.01,134100663909.0,133715967863.0,-0.17,0.0,-5.11,-5.88,航运港口,True
703,600717,天津港,4.6,1.32,0.06,201716.0,93205186.0,2.2,4.66,4.56,4.56,4.54,1.51,0.7,11.18,0.69,13312404775.0,13312404775.0,0.0,-0.22,-3.56,-5.54,航运港口,True
747,601333,广深铁路,3.23,1.25,0.04,448766.0,145962366.0,2.51,3.29,3.21,3.22,3.19,1.36,0.79,14.19,0.84,22879824510.0,18256725510.0,0.0,-0.31,-4.15,-5.83,物流行业,True
748,601866,中远海发,2.43,1.25,0.03,594678.0,145433769.0,2.5,2.47,2.41,2.42,2.4,1.15,0.6,17.92,1.09,32989530827.0,24056850827.0,0.0,0.0,-4.33,-6.9,航运港口,True
755,600598,北大荒,13.87,1.24,0.17,310937.0,438428878.0,3.58,14.29,13.8,13.8,13.7,2.32,1.75,13.72,3.06,24656420338.0,24656420338.0,-0.14,-0.22,-10.52,-5.97,农牧饲渔,True
