序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,均线250,成交量2倍增长
1095,000027,深圳能源,6.63,1.69,0.11,282860.0,187954957.65,2.61,6.7,6.53,6.54,6.52,1.41,0.59,11.13,1.05,31541495143.0,31541495143.0,0.0,0.0,13.92,5.07,True,False
1866,600977,中国电影,11.87,0.68,0.08,234694.0,281337216.0,3.99,12.19,11.72,11.8,11.79,1.48,1.26,77.11,1.99,22161290000.0,22161290000.0,-0.08,0.08,22.75,-2.47,True,False
2224,000959,首钢股份,3.16,0.32,0.01,313748.0,99075339.15,1.9,3.19,3.13,3.14,3.15,1.14,0.48,90.46,0.5,24565780023.0,20562953125.0,0.0,0.0,14.08,-7.87,True,False
2230,600004,白云机场,9.68,0.31,0.03,166506.0,161511464.0,1.35,9.75,9.62,9.65,9.65,0.78,0.7,25.72,1.27,22909832979.0,22909832979.0,-0.1,0.1,8.4,-0.31,True,False
2466,600332,白云山,28.71,0.1,0.03,55543.0,159765634.0,1.08,28.9,28.59,28.83,28.68,0.83,0.4,11.08,1.29,46676458146.0,40363129146.0,-0.07,0.03,1.63,4.59,True,False
2890,000825,太钢不锈,3.6,0.0,0.0,298031.0,107362604.9,1.67,3.63,3.57,3.59,3.6,0.91,0.52,-27.8,0.62,20544888946.0,20506492066.0,-0.28,0.0,7.78,-3.49,True,False
2920,000629,钒钛股份,2.85,0.0,0.0,682556.0,195902590.27,1.75,2.9,2.85,2.86,2.85,0.94,0.74,108.43,2.14,26490664628.0,26207099960.0,-0.35,-0.35,26.67,-13.11,True,False
3342,601598,中国外运,5.18,-0.38,-0.02,226382.0,117884968.0,1.73,5.25,5.16,5.23,5.2,0.68,0.43,10.03,0.98,37784043413.0,27225649413.0,0.0,0.19,20.47,4.65,True,False
3436,601000,唐山港,4.25,-0.47,-0.02,242375.0,103235708.0,0.94,4.28,4.24,4.26,4.27,0.65,0.41,11.95,1.23,25185196610.0,25185196610.0,-0.23,0.0,-15.0,28.79,True,False
3453,600282,南钢股份,4.13,-0.48,-0.02,190369.0,78856617.0,1.45,4.17,4.11,4.15,4.15,0.65,0.31,10.89,0.99,25461825875.0,25461825875.0,-0.24,-0.24,0.98,23.28,True,False
3976,600236,桂冠电力,6.11,-0.97,-0.06,117123.0,71868772.0,1.13,6.18,6.11,6.16,6.17,0.77,0.15,16.69,2.84,48161328370.0,48161328370.0,-0.16,-0.16,-6.57,14.42,True,False
4397,000513,丽珠集团,36.42,-1.35,-0.5,45664.0,167260514.11,1.54,36.97,36.4,36.86,36.92,0.62,0.76,15.15,2.39,33789569215.0,21883949518.0,-0.03,0.0,2.1,8.2,True,False
4488,600132,重庆啤酒,60.86,-1.46,-0.9,25081.0,153586070.0,1.44,61.71,60.82,61.55,61.76,0.78,0.52,16.59,13.79,29454487110.0,29454487110.0,-0.02,-0.03,14.44,-4.38,True,False
4568,000157,中联重科,6.97,-1.55,-0.11,407976.0,285762100.26,1.69,7.08,6.96,7.05,7.08,0.91,0.58,14.45,1.06,60485605885.0,49281455139.0,-0.14,0.0,9.59,12.24,True,False
4716,002032,苏 泊 尔,51.59,-1.73,-0.91,12357.0,64119832.93,1.66,52.45,51.58,52.45,52.5,0.84,0.15,21.64,7.37,41351366417.0,41263928280.0,-0.04,-0.06,1.28,2.61,True,False
