序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,均线250,成交量2倍增长
1873,600596,新安股份,8.5,2.04,0.17,119543.0,100946323.0,2.52,8.53,8.32,8.38,8.33,0.57,0.92,62.8,0.91,11471574917.0,10990261218.0,-0.12,-0.12,18.88,-5.76,True,False
2213,600295,鄂尔多斯,9.62,1.69,0.16,95753.0,91728935.0,2.75,9.7,9.44,9.45,9.46,0.75,0.48,11.73,1.29,26924227563.0,19005043563.0,0.0,0.0,18.77,8.09,True,False
2406,300741,华宝股份,17.59,1.5,0.26,16283.0,28515389.08,2.6,17.73,17.28,17.32,17.33,0.91,0.26,45.36,1.51,10833329200.0,10833279069.0,0.06,0.11,18.69,-15.8,True,False
2588,002773,康弘药业,19.26,1.32,0.25,86165.0,164003617.87,2.47,19.27,18.8,19.0,19.01,0.8,1.26,13.64,2.1,17714929172.0,13199664367.0,0.05,0.16,-9.45,6.64,True,False
2604,600808,马钢股份,2.35,1.29,0.03,401511.0,94103540.0,3.02,2.37,2.3,2.33,2.32,0.84,0.67,-5.39,0.72,18205304267.0,14024215287.0,-0.42,-0.42,27.72,-13.6,True,False
2609,601163,三角轮胎,14.92,1.29,0.19,69581.0,103233786.0,2.38,14.99,14.64,14.74,14.73,0.65,0.87,10.13,0.9,11936000000.0,11936000000.0,0.0,0.13,9.38,8.59,True,False
2897,600997,开滦股份,7.03,1.01,0.07,100990.0,70448133.0,2.59,7.05,6.87,6.97,6.96,0.6,0.64,12.92,0.78,11162232953.0,11162232953.0,0.0,0.0,17.95,-3.57,True,False
3166,601568,北元集团,4.36,0.69,0.03,143127.0,62409807.0,1.85,4.39,4.31,4.32,4.33,0.9,0.36,54.16,1.49,17318888897.0,17318888897.0,0.0,0.0,13.54,-6.03,True,False
3255,600597,光明乳业,8.53,0.59,0.05,76656.0,65163083.0,1.65,8.57,8.43,8.45,8.48,0.69,0.56,75.79,1.35,11758381198.0,11758224246.0,0.0,0.12,10.92,0.24,True,False
3289,600116,三峡水利,7.17,0.56,0.04,121143.0,86634948.0,1.68,7.21,7.09,7.15,7.13,0.78,0.63,26.83,1.22,13710064622.0,13710064622.0,0.0,0.0,4.22,-2.85,True,False
3412,600572,康恩贝,4.61,0.44,0.02,274660.0,126547797.0,2.18,4.66,4.56,4.6,4.59,0.85,1.07,17.14,1.78,11847872041.0,11816792098.0,0.0,0.0,10.29,-4.95,True,False
3496,000930,中粮科技,5.8,0.35,0.02,125640.0,72659106.63,2.25,5.85,5.72,5.77,5.78,0.69,0.68,842.25,1.03,10786391625.0,10766141505.0,0.0,-0.17,20.58,-12.65,True,False
3550,600755,厦门国贸,6.63,0.3,0.02,191882.0,126802615.0,2.12,6.68,6.54,6.6,6.61,0.49,0.9,15.14,0.7,14370283323.0,14136210769.0,0.3,0.3,10.5,2.47,True,False
3590,600956,新天绿能,7.77,0.26,0.02,65714.0,50897578.0,2.06,7.82,7.66,7.75,7.75,0.56,0.3,16.39,1.52,32678235177.0,16825184604.0,0.13,0.13,11.48,-1.89,True,False
4476,000039,中集集团,8.28,-0.6,-0.05,186022.0,154376172.8,3.0,8.44,8.19,8.33,8.33,0.56,0.81,18.32,0.95,44650068788.0,19055651127.0,0.24,0.24,13.58,8.52,True,False
4901,000543,皖能电力,7.61,-1.42,-0.11,337848.0,257188973.32,3.24,7.74,7.49,7.7,7.72,0.93,1.49,8.17,1.12,17250829949.0,17250829949.0,0.0,0.0,-13.72,25.99,True,False
