序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
339,600084,中信尼雅,5.54,4.73,0.25,86611.0,47390436.0,5.67,5.58,5.28,5.3,5.29,2.99,0.77,839.42,4.8,6225446638.0,6225446638.0,0.0,-0.18,9.27,5.32,酿酒行业,True
409,600449,宁夏建材,13.49,4.17,0.54,181413.0,245326638.0,4.63,13.75,13.15,13.15,12.95,3.42,3.79,-191.8,0.89,6450662257.0,6450662257.0,-0.07,0.0,-5.4,-10.19,水泥建材,True
421,600567,山鹰国际,1.78,4.09,0.07,1831304.0,321949592.0,5.26,1.79,1.7,1.71,1.71,2.94,3.35,74.2,0.65,9738968402.0,9738968402.0,0.0,0.56,2.3,-9.18,造纸印刷,True
461,600748,上实发展,3.23,3.86,0.12,184979.0,59237636.0,4.18,3.26,3.13,3.13,3.11,2.24,1.0,-18.24,0.54,5957938141.0,5957938141.0,0.0,0.31,-2.71,-10.28,房地产开发,True
546,600533,栖霞建设,2.37,3.49,0.08,332465.0,78500730.0,4.37,2.39,2.29,2.29,2.29,2.3,3.17,206.07,0.77,2488500000.0,2488500000.0,0.0,0.0,3.49,1.28,房地产开发,True
571,002216,三全食品,11.83,3.41,0.39,82495.0,96478128.02,3.67,11.86,11.44,11.44,11.44,1.84,1.31,12.47,2.25,10400747288.0,7455931189.0,0.08,0.0,7.55,-1.42,食品饮料,True
599,002269,美邦服饰,1.87,3.31,0.06,1536640.0,283335984.0,4.42,1.87,1.79,1.8,1.81,1.11,6.12,183.84,16.33,4698375000.0,4698375000.0,0.0,0.0,-12.21,-8.33,纺织服装,True
692,600231,凌钢股份,1.73,2.98,0.05,199762.0,34310085.0,3.57,1.74,1.68,1.68,1.68,1.95,0.71,-4.9,0.93,4934245684.0,4877190284.0,0.58,0.58,0.0,-3.35,钢铁行业,True
701,002470,金正大,1.74,2.96,0.05,706620.0,121855082.0,3.55,1.75,1.69,1.69,1.69,1.84,2.15,162.37,2.77,5717688271.0,5717203986.0,0.0,0.0,-8.9,-11.22,化肥行业,True
714,600880,博瑞传播,4.57,2.93,0.13,199396.0,90298227.0,3.6,4.59,4.43,4.45,4.44,1.84,1.82,210.92,1.64,4996527660.0,4995147900.0,0.0,0.0,-9.5,-3.59,教育,True
850,601298,青岛港,9.1,2.59,0.23,299013.0,272348141.0,3.72,9.2,8.87,8.88,8.87,1.29,0.55,10.53,1.35,59069010000.0,49067882500.0,0.11,0.0,1.34,-0.11,航运港口,True
870,000798,中水渔业,7.2,2.56,0.18,70370.0,50349464.37,2.85,7.2,7.0,7.01,7.02,1.46,1.92,-41.01,7.7,2634182726.0,2633966726.0,0.0,0.0,3.45,-2.83,农牧饲渔,True
