序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
580,002077,大港股份,13.81,3.83,0.51,244145.0,335620158.05,8.27,14.2,13.1,13.17,13.3,3.18,4.21,128.16,2.42,8014612965.0,8014612965.0,0.0,-0.07,-3.76,-5.86,半导体,True
598,603172,万丰股份,15.14,3.77,0.55,20543.0,30584684.0,5.14,15.16,14.41,14.5,14.59,0.91,4.1,48.71,1.91,2019373200.0,758211200.0,0.0,0.2,8.92,15.84,化学原料,True
612,002777,久远银海,17.22,3.73,0.62,75439.0,128098913.29,5.0,17.24,16.41,16.46,16.6,1.11,1.86,117.93,4.33,7029738474.0,6965687875.0,-0.06,-0.06,-7.02,0.88,互联网服务,True
642,601866,中远海发,2.56,3.64,0.09,2183602.0,556114195.0,3.24,2.58,2.5,2.51,2.47,2.54,2.22,17.79,1.12,34192939807.0,25158958367.0,0.39,0.39,6.22,-1.92,航运港口,True
768,002030,达安基因,5.95,3.3,0.19,155114.0,91042479.21,4.17,5.95,5.71,5.75,5.76,0.92,1.11,39.45,1.05,8350503890.0,8350503890.0,0.0,0.0,-1.98,4.75,医疗器械,True
784,600127,金健米业,6.95,3.27,0.22,351265.0,242787409.0,4.9,7.06,6.73,6.75,6.73,1.23,5.47,121.69,6.59,4460393365.0,4460393365.0,0.0,0.14,8.42,3.27,农牧饲渔,True
854,300112,万讯自控,8.47,3.17,0.26,51049.0,42791013.0,4.26,8.5,8.15,8.22,8.21,0.99,2.15,-81.82,2.46,2472782959.0,2012830332.0,-0.12,-0.12,-7.73,-5.99,仪器仪表,True
879,002312,川发龙蟒,11.6,3.11,0.35,935567.0,1077096728.64,5.24,11.68,11.09,11.15,11.25,1.19,5.32,53.06,2.36,21916327980.0,20401185373.0,0.0,-0.09,-7.86,-19.05,化肥行业,True
902,300236,上海新阳,37.23,3.07,1.11,85801.0,318213023.4,5.26,37.6,35.7,36.0,36.12,2.77,3.08,56.99,2.6,11667189596.0,10377004981.0,0.05,0.08,5.83,0.32,电子化学品,True
1053,301515,港通医疗,19.12,2.8,0.52,9863.0,18622632.2,3.49,19.16,18.51,18.6,18.6,0.94,1.55,302.73,1.53,1912000000.0,1217443056.0,0.05,0.1,2.25,6.34,医疗器械,True
1086,300190,维尔利,3.35,2.76,0.09,113768.0,37800922.0,4.6,3.37,3.22,3.24,3.26,1.51,1.47,-11.96,0.96,2618352402.0,2600181657.0,-0.3,0.0,0.6,-4.56,环保行业,True
1114,601952,苏垦农发,10.23,2.71,0.27,239885.0,243952894.0,5.62,10.49,9.93,10.01,9.96,2.64,1.74,42.76,2.12,14096940000.0,14096940000.0,-0.1,0.0,8.37,4.49,农牧饲渔,True
1131,300081,恒信东方,6.49,2.69,0.17,175064.0,111912137.39,5.06,6.5,6.18,6.23,6.32,0.83,2.9,-28.67,3.34,3925122256.0,3924527935.0,0.0,-0.15,-22.0,-9.61,通信服务,True
1162,001226,拓山重工,26.8,2.64,0.69,12445.0,32977780.0,4.25,26.91,25.8,25.8,26.11,1.14,6.67,61.69,2.78,2001067560.0,500267560.0,0.0,-0.15,-12.19,-0.56,工程机械,True
1193,002083,孚日股份,4.72,2.61,0.12,182091.0,85296670.0,4.13,4.75,4.56,4.56,4.6,1.78,1.92,8.76,1.01,4468136137.0,4466361417.0,0.0,-0.21,-5.98,-0.63,纺织服装,True
1250,600620,天宸股份,5.25,2.54,0.13,53528.0,27927111.0,3.13,5.26,5.1,5.14,5.12,0.95,0.78,272.26,2.44,3605054843.0,3605054843.0,0.0,0.0,1.55,-8.22,综合行业,True
1296,603356,华菱精工,13.18,2.49,0.32,25132.0,32802747.0,4.12,13.25,12.72,12.8,12.86,1.45,1.88,-20.36,4.06,1757421200.0,1757421200.0,0.0,0.08,0.69,3.13,专用设备,True
1299,301090,华润材料,7.42,2.49,0.18,52282.0,38419891.0,3.18,7.43,7.2,7.21,7.24,1.51,0.35,-141.94,1.71,11028782689.0,10977215173.0,0.13,0.0,1.78,6.92,化学原料,True
1347,300780,德恩精工,14.8,2.42,0.35,28597.0,41946472.0,4.15,14.85,14.25,14.29,14.45,1.09,2.73,-38.7,2.08,2170716000.0,1552127045.0,0.0,-0.34,-7.44,3.06,通用设备,True
1356,300625,三雄极光,11.46,2.41,0.27,14752.0,16738870.0,3.49,11.47,11.08,11.08,11.19,1.04,0.9,-52.26,1.55,3201133260.0,1869411996.0,0.09,0.0,-0.26,-1.72,家电行业,True
1367,000050,深天马Ａ,8.13,2.39,0.19,137379.0,110659532.0,3.27,8.14,7.88,7.88,7.94,1.23,0.56,51.81,0.73,19981488484.0,19981252511.0,0.0,0.0,-3.56,-9.97,光学光电子,True
1374,600121,郑州煤电,3.87,2.38,0.09,229102.0,88106402.0,3.7,3.9,3.76,3.81,3.78,0.89,1.88,-19.58,2.58,4715254587.0,4715254587.0,-0.26,0.0,-3.49,-10.62,煤炭行业,True
1408,600251,冠农股份,7.4,2.35,0.17,77834.0,57064424.0,3.73,7.45,7.18,7.21,7.23,1.55,1.0,7.76,1.55,5749752514.0,5749752514.0,-0.13,-0.13,5.26,2.64,农牧饲渔,True
1409,603122,合富中国,6.52,2.35,0.15,40486.0,26177677.0,4.08,6.56,6.3,6.3,6.37,1.08,1.02,-108.12,2.23,2595303167.0,2595303167.0,0.15,-0.31,-7.25,-6.99,医药商业,True
1469,603026,石大胜华,35.85,2.28,0.8,32011.0,114150933.0,2.51,35.88,35.0,35.08,35.05,1.5,1.58,-63.65,1.87,7266078000.0,7266078000.0,0.03,0.14,2.43,2.43,化学制品,True
1475,300820,英杰电气,45.22,2.28,1.01,18341.0,82324188.96,3.39,45.5,44.0,44.0,44.21,0.41,1.65,49.61,4.24,10021610637.0,5019860714.0,-0.18,-0.22,-9.11,-17.56,电源设备,True
