序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,均线250,成交量2倍增长
1686,000930,中粮科技,5.86,0.86,0.05,144634.0,84753020.55,2.24,5.9,5.77,5.79,5.81,1.08,0.78,850.96,1.04,10897974987.0,10877515383.0,0.0,0.0,21.58,-11.75,True,False
1852,601568,北元集团,4.37,0.69,0.03,167370.0,73305164.0,2.3,4.41,4.31,4.33,4.34,1.23,0.42,54.28,1.49,17358611119.0,17358611119.0,-0.23,0.23,13.51,-5.82,True,False
1855,600597,光明乳业,8.77,0.69,0.06,156004.0,136988907.0,2.07,8.84,8.66,8.71,8.71,1.58,1.13,77.92,1.38,12089214902.0,12089053534.0,0.0,0.0,14.64,3.06,True,False
2141,601163,三角轮胎,15.0,0.4,0.06,49486.0,73997190.0,1.27,15.04,14.85,14.92,14.94,0.65,0.62,10.19,0.91,12000000000.0,12000000000.0,0.0,0.13,6.61,9.17,True,False
2346,600572,康恩贝,4.71,0.21,0.01,265700.0,125327714.0,1.49,4.74,4.67,4.7,4.7,0.93,1.04,17.51,1.82,12104875772.0,12073121645.0,-0.21,0.0,15.16,-2.89,True,False
2456,600596,新安股份,8.54,0.12,0.01,138967.0,118797998.0,2.46,8.64,8.43,8.51,8.53,0.97,1.07,63.09,0.91,11525558798.0,11041980094.0,0.0,-0.12,18.94,-5.32,True,False
2620,600808,马钢股份,2.37,0.0,0.0,362814.0,86141275.0,1.69,2.39,2.35,2.37,2.37,1.01,0.61,-5.43,0.73,18360243027.0,14143570311.0,0.42,0.42,28.11,-12.87,True,False
2972,000869,张  裕Ａ,23.21,-0.04,-0.01,11364.0,26364513.0,0.86,23.3,23.1,23.23,23.22,0.66,0.25,52.22,1.47,15593032719.0,10562738587.0,0.0,0.04,15.76,-1.82,True,False
3238,600755,厦门国贸,6.63,-0.3,-0.02,199284.0,132391230.0,1.65,6.69,6.58,6.66,6.65,0.95,0.93,15.14,0.7,14370283323.0,14136210769.0,-0.15,0.15,14.31,2.47,True,False
3420,300741,华宝股份,17.64,-0.45,-0.08,13156.0,23348526.0,1.64,17.88,17.59,17.77,17.72,0.81,0.21,45.49,1.51,10864123200.0,10864072926.0,-0.06,0.11,18.87,-15.56,True,False
3529,600116,三峡水利,7.13,-0.56,-0.04,94197.0,67280755.0,0.98,7.18,7.11,7.15,7.17,0.78,0.49,26.68,1.21,13633578906.0,13633578906.0,-0.14,-0.14,4.7,-3.39,True,False
3582,600295,鄂尔多斯,9.65,-0.62,-0.06,79745.0,77013262.0,1.54,9.73,9.58,9.71,9.71,0.78,0.4,11.77,1.29,27008190851.0,19064310851.0,0.21,0.21,18.84,8.43,True,False
3999,600997,开滦股份,6.98,-0.99,-0.07,64141.0,44891793.0,1.42,7.05,6.95,7.02,7.05,0.68,0.4,12.83,0.78,11082842960.0,11082842960.0,0.14,0.29,14.61,-4.25,True,False
