序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
314,002208,合肥城建,6.57,3.96,0.25,214991.0,139905267.82,7.75,6.76,6.27,6.32,6.32,3.4,2.68,142.78,0.81,5277627744.0,5276264396.0,-0.15,-0.15,-3.67,-7.59,房地产开发,True
448,300596,利安隆,29.03,2.91,0.82,48447.0,139896688.13,4.57,29.36,28.07,28.12,28.21,2.1,2.16,15.44,1.49,6665858933.0,6522707445.0,0.07,-0.03,-8.1,-3.65,塑料制品,True
566,603298,杭叉集团,20.32,2.37,0.47,97511.0,198161990.0,4.48,20.55,19.66,19.81,19.85,1.36,0.74,15.25,2.68,26615380836.0,26615380836.0,-0.05,0.05,-3.88,16.85,工程机械,True
576,000555,神州信息,12.62,2.35,0.29,661756.0,842702514.34,5.6,13.0,12.31,12.34,12.33,1.31,6.81,-33.12,2.22,12314273395.0,12269003562.0,0.08,0.24,-0.79,12.68,互联网服务,True
613,301313,凡拓数创,23.4,2.23,0.51,39604.0,92249281.69,3.54,23.54,22.73,22.81,22.89,1.69,5.94,-27.08,3.1,2449825560.0,1559958800.0,-0.04,0.04,-4.29,-9.58,软件开发,True
623,301355,南王科技,12.54,2.2,0.27,161604.0,201350868.0,7.66,12.89,11.95,12.1,12.27,2.37,16.12,85.36,1.6,2446528017.0,1257203067.0,-0.16,-0.08,5.73,-5.14,造纸印刷,True
671,600201,生物股份,7.69,1.99,0.15,344325.0,264173603.0,3.85,7.79,7.5,7.55,7.54,1.91,3.07,28.16,1.62,8615639348.0,8615639348.0,-0.13,0.0,8.01,12.1,农药兽药,True
709,002823,凯中精密,13.49,1.89,0.25,117955.0,160076849.37,4.61,13.98,13.37,13.54,13.24,2.43,5.39,22.58,2.29,4429697122.0,2950229235.0,0.07,-0.07,-11.42,-3.78,电机,True
713,605507,国邦医药,21.17,1.88,0.39,58980.0,124325760.0,2.84,21.26,20.67,20.68,20.78,1.95,1.95,13.76,1.49,11830293495.0,6387458678.0,-0.14,-0.14,8.56,1.63,化学制药,True
732,300978,东箭科技,11.17,1.82,0.2,120758.0,134203583.61,5.29,11.34,10.76,11.01,10.97,1.41,6.39,23.77,2.98,4721589595.0,2110684138.0,0.09,0.09,-1.33,5.48,汽车零部件,True
777,002532,天山铝业,8.32,1.71,0.14,449894.0,371828669.52,3.06,8.36,8.11,8.17,8.18,0.8,1.09,9.14,1.44,38703686653.0,34361645361.0,0.0,0.12,-9.66,8.47,有色金属,True
781,300800,力合科技,10.75,1.7,0.18,63644.0,68309220.5,4.16,10.94,10.5,10.5,10.57,2.09,2.72,54.61,1.27,2545159250.0,2519601125.0,0.0,0.0,4.07,4.67,环保行业,True
801,000001,平安银行,11.68,1.65,0.19,1290220.0,1500287176.22,1.57,11.7,11.52,11.56,11.49,1.25,0.66,4.02,0.53,226661124553.0,226657079208.0,0.0,0.09,1.74,3.0,银行,True
809,001226,拓山重工,27.84,1.64,0.45,19316.0,52972237.0,2.81,27.94,27.17,27.39,27.39,0.58,10.35,64.08,2.88,2078720928.0,519680928.0,0.07,0.04,-9.26,1.79,工程机械,True
812,001227,兰州银行,2.5,1.63,0.04,1082656.0,269119717.9,2.44,2.51,2.45,2.47,2.46,1.36,2.57,6.37,0.47,14239242920.0,10531913543.0,0.4,0.4,8.23,3.73,银行,True
909,300164,通源石油,4.22,1.44,0.06,707693.0,304492364.0,4.81,4.41,4.21,4.32,4.16,2.52,12.13,793.22,1.78,2483295414.0,2461149483.0,0.0,0.0,1.69,-0.94,采掘行业,True
915,600563,法拉电子,106.29,1.42,1.49,30381.0,325004503.0,3.61,108.28,104.5,104.51,104.8,1.54,1.35,22.62,4.69,23915250000.0,23915250000.0,0.0,0.05,-16.31,-10.62,电子元件,True
936,301568,思泰克,34.37,1.39,0.47,28318.0,97903216.9,3.78,35.09,33.81,33.91,33.9,1.84,5.94,48.39,3.69,3548991208.0,1637524967.0,0.03,0.0,-20.93,2.78,专用设备,True
966,300303,聚飞光电,6.11,1.33,0.08,317074.0,193141477.14,3.48,6.16,5.95,6.03,6.03,1.46,2.4,30.44,2.39,8604741882.0,8069459806.0,0.16,0.16,-14.9,-10.41,光学光电子,True
977,600998,九州通,5.45,1.3,0.07,285101.0,154084573.0,2.23,5.47,5.35,5.38,5.38,1.3,0.57,7.08,1.08,27481462775.0,27481462775.0,-0.18,0.0,6.65,6.45,医药商业,True
985,002555,三七互娱,15.06,1.28,0.19,680010.0,1023430339.2,3.23,15.25,14.77,14.87,14.87,1.96,4.25,15.17,2.64,33316299476.0,24080447433.0,0.0,0.13,-0.99,0.0,游戏,True
