序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
453,002973,侨银股份,10.79,4.55,0.47,69541.0,75098972.0,6.98,11.02,10.3,10.38,10.32,2.32,3.12,16.31,1.78,4409501425.0,2405080102.0,0.0,0.09,-15.44,1.98,环保行业,True
505,688469,芯联集成-U,4.64,4.27,0.19,801532.0,368910667.0,4.72,4.66,4.45,4.47,4.45,2.02,1.82,-44.98,2.67,32800555328.0,20397254400.0,0.0,-0.22,0.65,-9.55,半导体,True
539,600104,上汽集团,16.24,4.17,0.65,746947.0,1202133365.0,4.43,16.29,15.6,15.61,15.59,2.4,0.65,15.55,0.64,187982862987.0,187982862987.0,0.06,0.06,-5.36,-21.77,汽车整车,True
601,600635,大众公用,3.68,3.95,0.14,575233.0,213832122.0,3.95,3.81,3.67,3.67,3.54,3.13,2.38,13.99,1.25,10864959604.0,8901153364.0,0.0,0.0,-1.08,-17.3,燃气,True
766,688167,炬光科技,64.65,3.46,2.16,21051.0,135542160.0,3.68,65.1,62.8,62.8,62.49,1.24,2.33,-45.71,2.78,5841990190.0,5841990190.0,0.0,0.03,0.0,1.49,半导体,True
817,600817,宇通重工,11.25,3.31,0.36,53514.0,60091077.0,2.57,11.33,11.05,11.16,10.89,2.28,1.01,29.29,2.43,6039555638.0,5931555143.0,-0.09,0.0,-2.93,-2.0,工程机械,True
840,002387,维信诺,8.6,3.24,0.27,209596.0,179761161.62,3.6,8.7,8.4,8.42,8.33,1.34,1.5,-5.66,2.39,12011436476.0,11995959056.0,0.0,0.12,-5.49,-16.34,光学光电子,True
982,002559,亚威股份,9.16,2.92,0.26,232781.0,212631223.22,3.82,9.25,8.91,8.92,8.9,1.06,4.65,35.07,2.89,5035847620.0,4584683929.0,0.11,0.0,-4.38,2.12,通用设备,True
989,300265,通光线缆,7.79,2.91,0.22,198462.0,154587987.5,5.55,8.0,7.58,7.58,7.57,1.5,4.33,159.81,1.6,3570118221.0,3567784143.0,0.13,0.13,-0.51,-5.23,电网设备,True
1021,300730,科创信息,11.85,2.86,0.33,65795.0,77742387.0,3.73,11.91,11.48,11.68,11.52,1.08,3.35,-27.81,10.07,2857496522.0,2330636101.0,-0.08,0.0,1.11,-2.63,软件开发,True
1063,603602,纵横通信,15.52,2.78,0.42,63167.0,97666108.0,3.77,15.63,15.06,15.11,15.1,1.31,2.76,260.09,3.4,3557933507.0,3557933507.0,0.13,0.06,1.44,-3.0,通信服务,True
1087,603906,龙蟠科技,9.74,2.74,0.26,87372.0,85241614.0,3.06,9.87,9.58,9.59,9.48,1.55,1.55,-62.41,2.27,6477868515.0,5503868515.0,-0.1,0.0,-0.51,-5.98,电池,True
1125,688175,高凌信息,16.59,2.66,0.43,9268.0,15242213.0,4.27,16.66,15.97,15.97,16.16,1.17,1.26,-42.41,1.21,2145369030.0,1216329030.0,0.42,-0.06,2.53,-3.71,通信设备,True
1324,600725,云维股份,3.09,2.32,0.07,216717.0,67087431.0,3.31,3.13,3.03,3.03,3.02,1.4,1.76,-287.45,12.94,3808332300.0,3808332300.0,0.32,0.0,2.66,-8.58,煤炭行业,True
1330,600035,楚天高速,4.43,2.31,0.1,281137.0,124213848.0,2.31,4.46,4.36,4.36,4.33,1.93,1.75,6.44,0.8,7132813441.0,7132813441.0,0.23,0.0,0.68,-3.7,铁路公路,True
1351,601089,福元医药,15.7,2.28,0.35,33095.0,51758919.0,3.06,15.86,15.39,15.43,15.35,1.4,1.61,14.42,2.05,7536000000.0,3223938684.0,-0.06,-0.06,2.08,-1.88,化学制药,True
1352,300235,方直科技,10.31,2.28,0.23,66180.0,68034614.5,2.48,10.35,10.1,10.19,10.08,1.24,3.26,99.13,3.65,2595507807.0,2094291054.0,0.1,0.1,-3.01,-4.36,软件开发,True
1411,300632,光莆股份,11.62,2.2,0.25,54123.0,62604553.76,2.9,11.67,11.34,11.34,11.37,1.0,2.45,45.3,1.98,3546210424.0,2570466684.0,0.0,0.0,1.57,4.78,光学光电子,True
1481,300027,华谊兄弟,2.43,2.1,0.05,628114.0,152674534.32,2.94,2.45,2.38,2.39,2.38,1.08,2.53,85.29,17.5,6742049383.0,6038255542.0,-0.41,-0.41,-2.02,-7.25,文化传媒,True
1540,002230,科大讯飞,46.93,2.04,0.94,308134.0,1442945387.89,2.52,47.16,46.0,46.1,45.99,1.23,1.41,-140.35,6.07,108487732826.0,102736516845.0,-0.04,-0.02,-7.4,-2.88,软件开发,True
1545,688579,山大地纬,9.55,2.03,0.19,46216.0,44008805.0,2.99,9.59,9.31,9.31,9.36,1.15,1.16,180.54,2.77,3820095500.0,3820095500.0,0.1,0.0,3.69,3.92,软件开发,True
1594,000623,吉林敖东,15.97,1.98,0.31,164442.0,265010153.69,3.07,16.44,15.96,15.96,15.66,1.64,1.38,9.24,0.65,19098449330.0,19021537108.0,0.0,0.0,-3.97,-7.53,化学制药,True
1614,002130,沃尔核材,18.33,1.95,0.35,554095.0,1014203975.0,2.89,18.44,17.92,17.92,17.98,1.0,4.44,23.06,4.01,23093940641.0,22896902160.0,0.0,0.0,-28.2,-27.41,非金属材料,True
1643,600167,联美控股,5.87,1.91,0.11,101796.0,60211656.0,5.73,6.1,5.77,5.83,5.76,2.07,0.45,5.37,1.16,13282873518.0,13282873518.0,-0.34,-0.51,5.77,2.44,公用事业,True
1649,002413,雷科防务,4.3,1.9,0.08,137477.0,58933770.74,2.37,4.32,4.22,4.22,4.22,0.89,1.11,-38.45,1.66,5663055400.0,5325557198.0,0.0,0.0,7.5,-1.38,通信设备,True
1817,688456,有研粉材,32.69,1.71,0.55,9597.0,31350450.0,3.45,33.11,32.0,32.0,32.14,0.97,0.93,81.96,2.78,3388645400.0,3388645400.0,0.0,-0.12,-1.0,-1.65,有色金属,True
1881,600560,金自天正,14.92,1.63,0.24,28425.0,42413810.0,3.07,15.05,14.6,14.75,14.68,0.73,1.27,112.5,3.51,3336790860.0,3336790860.0,0.0,0.13,-3.56,1.91,专用设备,True
1913,688468,科美诊断,6.97,1.6,0.11,36912.0,25662504.0,2.33,7.0,6.84,6.85,6.86,1.02,0.92,48.06,1.95,2795722760.0,2795722760.0,0.0,0.0,2.05,1.75,医疗器械,True
1927,600006,东风股份,7.02,1.59,0.11,205895.0,144184775.0,1.74,7.04,6.92,6.93,6.91,0.76,1.03,23.21,1.67,14040000000.0,14040000000.0,-0.14,0.0,5.56,-4.75,汽车整车,True
1982,603228,景旺电子,27.87,1.53,0.42,140890.0,391802841.0,2.62,28.05,27.33,27.44,27.45,0.87,1.53,20.01,2.26,25997692034.0,25668343883.0,-0.04,0.0,-18.86,0.11,电子元件,True
2033,300179,四方达,8.91,1.48,0.13,132906.0,118309578.0,2.28,8.97,8.77,8.85,8.78,1.1,3.54,31.68,3.43,4329447675.0,3346950484.0,-0.11,0.11,-4.19,-20.8,通用设备,True
2083,300937,药易购,25.02,1.42,0.35,12595.0,31485843.0,1.95,25.15,24.67,24.67,24.67,0.75,2.01,143.03,2.8,2393580384.0,1567436622.0,-0.04,-0.12,3.6,0.0,医药商业,True
2164,002815,崇达技术,10.08,1.31,0.13,96517.0,97249593.0,3.12,10.14,9.83,9.94,9.95,0.89,1.51,23.64,1.53,10899017287.0,6457733906.0,0.0,0.1,-2.98,-1.18,电子元件,True
2227,002612,朗姿股份,15.89,1.27,0.2,107603.0,172464637.08,4.02,16.28,15.65,15.65,15.69,1.15,4.22,18.45,2.44,7030457009.0,4047806317.0,0.06,0.13,3.65,-2.87,纺织服装,True
2228,000985,大庆华科,16.9,1.26,0.21,11223.0,18890163.0,1.08,16.9,16.72,16.73,16.69,0.9,0.87,76.85,3.57,2190907550.0,2190907550.0,0.36,0.36,-9.33,-9.63,化学制品,True
2230,601688,华泰证券,16.05,1.26,0.2,462221.0,742822305.0,1.96,16.19,15.88,15.91,15.85,1.03,0.63,9.94,0.87,144888201610.0,117074008088.0,-0.12,-0.06,-5.53,-8.75,证券,True
2258,300425,中建环能,4.96,1.22,0.06,66045.0,32631505.85,1.84,4.97,4.88,4.9,4.9,0.78,0.97,-356.34,1.43,3383835271.0,3366573955.0,0.2,0.4,0.4,-14.92,环保行业,True
2263,002927,泰永长征,13.25,1.22,0.16,38196.0,50515774.0,1.91,13.3,13.05,13.21,13.09,0.61,1.73,54.53,2.88,2957296385.0,2923514450.0,0.08,0.0,7.55,-10.41,电网设备,True
2270,603587,地素时尚,11.85,1.2,0.14,24628.0,29199043.0,1.88,11.97,11.75,11.75,11.71,0.68,0.52,17.1,1.51,5649644892.0,5617999526.0,0.0,0.08,-1.82,-5.95,纺织服装,True
2279,300149,睿智医药,5.91,1.2,0.07,123705.0,73201106.69,2.57,5.98,5.83,5.83,5.84,1.28,2.49,110.77,2.41,2942967193.0,2937768869.0,-0.17,-0.34,-1.17,-7.94,医疗服务,True
2366,600098,广州发展,6.45,1.1,0.07,194930.0,126082221.0,2.04,6.52,6.39,6.41,6.38,0.99,0.56,12.5,0.85,22615679299.0,22566937268.0,0.16,0.31,3.53,0.47,电力行业,True
2432,601828,美凯龙,2.96,1.02,0.03,187260.0,55359267.0,3.75,2.99,2.88,2.88,2.93,1.07,0.52,-6.28,0.28,12890008712.0,10695803235.0,-0.67,0.0,2.42,-7.79,商业百货,True
2442,002312,川发龙蟒,11.01,1.01,0.11,220672.0,243563037.76,1.74,11.1,10.91,10.97,10.9,0.94,1.25,50.36,2.18,20801618195.0,19363538876.0,0.0,0.0,-15.95,-23.91,化肥行业,True
2464,600676,交运股份,4.08,0.99,0.04,134980.0,55237986.0,2.23,4.13,4.04,4.05,4.04,0.89,1.31,-19.28,0.82,4196251212.0,4196251212.0,0.0,-0.49,-3.32,-9.53,汽车零部件,True
2469,600037,歌华有线,7.2,0.98,0.07,127153.0,91746994.0,3.23,7.3,7.07,7.11,7.13,1.06,0.91,72.93,0.79,10020800765.0,10020800765.0,-0.14,0.14,0.56,-3.49,文化传媒,True
