序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
888,002436,兴森科技,11.87,1.8,0.21,664805.0,779758232.31,4.72,11.94,11.39,11.45,11.66,0.87,4.43,-475.97,3.96,20055522479.0,17809904755.0,-0.08,0.0,42.33,-19.14,电子元件,True
1106,002126,银轮股份,17.44,1.4,0.24,70243.0,121336811.18,3.49,17.48,16.88,17.09,17.2,0.78,0.9,18.01,2.39,14511012621.0,13634108982.0,0.06,0.0,4.87,-6.09,汽车零部件,True
1222,002236,大华股份,16.82,1.2,0.2,416518.0,694201551.05,2.59,16.82,16.39,16.46,16.62,1.12,1.98,16.33,1.55,55421356193.0,35383042892.0,0.06,0.12,22.86,-5.93,计算机设备,True
1415,600436,片仔癀,221.08,0.94,2.05,18884.0,415108096.0,1.84,221.2,217.17,217.77,219.03,0.58,0.31,37.23,9.51,133381368787.0,133381368787.0,0.0,0.07,12.77,-7.31,中药,True
1488,301518,长华化学,17.79,0.85,0.15,10849.0,19102483.16,3.51,17.96,17.34,17.53,17.64,0.83,2.03,56.01,1.77,2493770249.0,950968506.0,-0.17,0.23,28.63,-22.31,化学制品,True
1512,601989,中国重工,4.89,0.82,0.04,1161249.0,563819318.0,2.68,4.89,4.76,4.82,4.85,0.91,0.51,89.58,1.32,111501952734.0,111501952734.0,0.2,0.2,0.62,18.69,船舶制造,True
1640,601958,金钼股份,10.56,0.67,0.07,104697.0,109705859.0,2.38,10.58,10.33,10.43,10.49,0.79,0.32,11.64,2.09,34072942464.0,34072942464.0,0.0,0.09,6.34,16.69,小金属,True
1664,603998,方盛制药,10.89,0.65,0.07,40870.0,44025372.0,2.22,10.91,10.67,10.76,10.82,0.68,0.93,15.72,3.0,4782061013.0,4777547108.0,0.0,0.18,7.5,1.68,中药,True
1676,600329,达仁堂,31.87,0.63,0.2,27605.0,87525406.0,1.96,31.92,31.3,31.5,31.67,0.66,0.49,22.9,3.82,24544944256.0,18034215582.0,0.0,-0.09,16.83,-1.54,中药,True
1753,002498,汉缆股份,3.53,0.57,0.02,209094.0,73217972.16,2.28,3.54,3.46,3.48,3.51,0.91,0.63,15.14,1.44,11743589880.0,11743589880.0,0.0,0.28,21.72,-10.86,电网设备,True
1779,000869,张  裕Ａ,23.7,0.55,0.13,18095.0,42441346.0,2.08,23.7,23.21,23.5,23.57,0.83,0.4,53.32,1.51,15922226430.0,10785734792.0,0.0,0.04,16.81,0.25,酿酒行业,True
1789,688180,君实生物-U,30.13,0.53,0.16,55282.0,164090553.0,3.2,30.28,29.32,29.63,29.97,0.88,0.72,-24.03,4.81,29698835813.0,23035860496.0,-0.03,0.0,23.13,-27.97,生物制品,True
1803,000582,北部湾港,7.65,0.53,0.04,134525.0,102124965.67,1.71,7.65,7.52,7.58,7.61,0.69,0.76,14.27,1.0,17423258135.0,13473649809.0,0.0,0.13,11.84,6.84,航运港口,True
