序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,均线250,成交量2倍增长
1167,000959,首钢股份,3.29,3.46,0.11,557603.0,181406968.5,4.09,3.31,3.18,3.19,3.18,1.95,0.86,94.18,0.52,25576397556.0,21408897399.0,0.3,0.3,19.64,-4.08,True,False
1634,000629,钒钛股份,2.96,2.78,0.08,993460.0,290909066.51,3.82,2.97,2.86,2.87,2.88,1.48,1.08,112.62,2.22,27513111333.0,27218602063.0,0.0,0.0,28.7,-9.76,True,False
1755,600282,南钢股份,4.27,2.64,0.11,543383.0,230127864.0,3.37,4.3,4.16,4.18,4.16,2.17,0.88,11.26,1.02,26324938617.0,26324938617.0,0.0,0.0,4.15,27.46,True,True
1880,000825,太钢不锈,3.71,2.49,0.09,485571.0,178624301.97,3.59,3.74,3.61,3.63,3.62,1.56,0.85,-28.65,0.64,21172649441.0,21133079323.0,0.27,0.27,10.75,-0.54,True,False
2236,601000,唐山港,4.36,2.11,0.09,462643.0,200074315.0,2.58,4.38,4.27,4.29,4.27,1.47,0.78,12.26,1.27,25837048757.0,25837048757.0,0.0,0.46,-9.92,32.12,True,False
2420,002032,苏 泊 尔,53.3,1.95,1.02,25911.0,138193279.07,3.31,54.01,52.28,52.28,52.28,1.76,0.32,22.36,7.61,42721997093.0,42631660735.0,0.13,0.02,5.23,6.01,True,True
3097,601991,大唐发电,2.86,1.42,0.04,968079.0,274701944.0,1.77,2.86,2.81,2.83,2.82,1.29,0.78,8.96,1.72,52929192041.0,35452814843.0,0.35,0.35,6.32,18.67,True,False
3341,600004,白云机场,9.84,1.23,0.12,205659.0,201887121.0,1.65,9.88,9.72,9.72,9.72,1.03,0.87,26.15,1.29,23288507905.0,23288507905.0,0.0,0.0,8.97,1.34,True,False
3967,000027,深圳能源,6.67,0.76,0.05,188256.0,125198522.53,1.51,6.69,6.59,6.61,6.62,0.91,0.4,11.2,1.05,31731790740.0,31731790740.0,0.15,0.15,15.0,5.71,True,False
4158,601598,中国外运,5.28,0.57,0.03,374775.0,196951403.0,1.52,5.29,5.21,5.25,5.25,1.26,0.71,10.22,1.0,38513465100.0,27751241100.0,0.0,0.19,26.01,6.67,True,False
4550,000157,中联重科,6.99,0.14,0.01,541224.0,377718110.5,1.15,7.02,6.94,6.96,6.98,1.2,0.77,14.49,1.06,60659165730.0,49422865340.0,-0.14,0.0,11.66,12.56,True,False
5034,600332,白云山,28.99,-0.07,-0.02,78877.0,228649769.0,0.83,29.1,28.86,29.02,29.01,1.1,0.56,11.19,1.3,47131679612.0,40756778612.0,0.0,0.0,2.69,5.61,True,False
5043,600132,重庆啤酒,61.82,-0.08,-0.05,40779.0,251339356.0,1.78,62.11,61.01,61.3,61.87,1.38,0.84,16.85,14.01,29919099460.0,29919099460.0,0.28,0.37,13.79,-2.88,True,False
5259,000513,丽珠集团,37.94,-0.65,-0.25,119195.0,451393035.75,1.1,38.11,37.69,38.11,38.19,1.2,1.98,15.78,2.49,35201501954.0,22794640989.0,0.0,0.05,5.89,12.72,True,False
