序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
290,600510,黑牡丹,4.78,4.6,0.21,130169.0,61595881.0,6.56,4.85,4.55,4.61,4.57,2.24,1.26,46.62,0.49,4933081684.0,4933081684.0,0.21,0.21,4.82,0.21,房地产开发,True
1130,600533,栖霞建设,2.35,2.17,0.05,211287.0,49022347.0,5.65,2.37,2.24,2.33,2.3,1.15,2.01,-10.64,0.61,2467500000.0,2467500000.0,0.43,0.43,3.07,0.43,房地产开发,True
1256,000011,深物业A,8.56,2.03,0.17,48809.0,41398294.1,4.41,8.62,8.25,8.39,8.39,1.42,0.93,1068.46,1.14,5101581028.0,4506630648.0,0.0,0.12,-15.0,-2.06,房地产开发,True
1406,301277,新天地,13.86,1.84,0.25,21869.0,30138521.46,1.76,13.87,13.63,13.68,13.61,1.1,3.03,20.53,2.57,3881576160.0,1000082160.0,0.0,0.07,-10.17,0.22,化学制药,True
1452,002394,联发股份,7.43,1.78,0.13,35626.0,26341776.0,2.74,7.46,7.26,7.32,7.3,1.05,1.1,13.82,0.6,2405091000.0,2402012053.0,0.0,0.0,0.54,-1.2,纺织服装,True
2236,600196,复星医药,23.74,1.06,0.25,104083.0,247284772.0,1.32,23.88,23.57,23.63,23.49,0.97,0.49,23.66,1.34,63417290279.0,50292924706.0,0.0,-0.08,-8.87,-4.47,化学制药,True
2496,002788,鹭燕医药,8.2,0.86,0.07,27159.0,22292834.16,1.35,8.25,8.14,8.18,8.13,0.84,0.71,9.28,1.04,3185837235.0,3129007127.0,0.12,0.12,-3.76,-0.12,医药商业,True
2579,000726,鲁  泰Ａ,6.32,0.8,0.05,42613.0,26865962.9,1.59,6.34,6.24,6.32,6.27,0.87,0.72,13.46,0.56,5165373983.0,3719804131.0,0.16,0.0,1.61,-3.07,纺织服装,True
2931,300415,伊之密,20.83,0.53,0.11,125530.0,262916786.69,2.99,21.37,20.75,20.95,20.72,1.11,2.77,15.24,3.43,9760148210.0,9437909255.0,-0.24,-0.14,-16.21,3.84,专用设备,True
2947,000989,ST九芝,7.74,0.52,0.04,41124.0,31825021.3,1.3,7.78,7.68,7.72,7.7,0.95,0.59,20.68,1.75,6624991173.0,5372750048.0,0.13,0.13,7.5,-2.76,中药,True
