序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
243,831526,凯华材料,30.06,4.23,1.22,41793.0,126014431.25,7.25,30.89,28.8,28.8,28.84,5.27,7.98,181.1,11.41,2485962000.0,1574166629.0,-0.23,0.13,-0.07,16.33,化学制品,True
434,838701,豪声电子,20.38,2.88,0.57,31400.0,63707259.99,4.54,20.52,19.62,19.87,19.81,3.8,3.13,81.96,3.57,2796136000.0,2042223551.0,-0.1,-0.05,-5.82,0.94,电子元件,True
440,002831,裕同科技,24.56,2.85,0.68,48955.0,120165269.75,3.43,24.8,23.98,24.28,23.88,2.21,0.94,23.7,2.05,22853412862.0,12795594760.0,-0.04,-0.08,10.53,-7.36,造纸印刷,True
474,688549,中巨芯-U,8.16,2.64,0.21,309907.0,251101523.0,4.78,8.26,7.88,7.96,7.95,2.84,5.36,-2545.72,3.99,12054572160.0,4714325670.0,-0.12,-0.24,12.24,-4.23,电子化学品,True
493,002077,大港股份,14.65,2.52,0.36,412901.0,602154173.05,3.92,14.78,14.22,14.28,14.29,4.0,7.11,135.95,2.57,8502105715.0,8502105715.0,0.0,0.0,3.46,-0.14,半导体,True
674,601298,青岛港,8.95,1.82,0.16,165838.0,146934254.0,2.28,8.96,8.76,8.79,8.79,1.64,0.31,10.36,1.32,58095345000.0,48259071250.0,0.11,0.0,-1.32,-1.76,航运港口,True
705,600313,农发种业,6.48,1.73,0.11,361554.0,233613439.0,2.2,6.5,6.36,6.38,6.37,2.22,3.34,33.96,3.57,7012647336.0,7012647336.0,0.15,0.0,1.41,-4.0,农牧饲渔,True
733,002045,国光电器,16.43,1.67,0.27,623842.0,1024493256.29,3.03,16.65,16.16,16.34,16.16,1.97,11.1,71.21,2.06,9241597859.0,9230914251.0,0.0,-0.06,8.59,-24.25,消费电子,True
755,601200,上海环境,8.22,1.61,0.13,142213.0,116163201.0,2.72,8.3,8.08,8.1,8.09,1.74,1.06,17.63,0.99,11066012663.0,11066012663.0,-0.12,0.0,4.85,1.86,环保行业,True
772,603860,中公高科,33.33,1.55,0.51,50456.0,170998312.0,5.24,34.93,33.21,34.39,32.82,3.85,7.57,-1477.81,2.8,2222444400.0,2222444400.0,-0.18,-0.24,13.79,13.6,工程咨询服务,True
773,000882,华联股份,1.96,1.55,0.03,967401.0,188564688.4,2.59,1.97,1.92,1.93,1.93,1.58,3.54,437.84,0.78,5365209816.0,5361289461.0,0.0,0.0,-12.11,-5.77,商业百货,True
827,600637,东方明珠,7.88,1.42,0.11,365352.0,285703291.0,1.93,7.89,7.74,7.75,7.77,1.26,1.09,54.82,0.89,26491770558.0,26491770558.0,0.13,0.13,8.99,3.96,文化传媒,True
873,003000,劲仔食品,12.91,1.33,0.17,109145.0,140330256.16,1.81,12.93,12.7,12.74,12.74,1.69,3.63,21.54,4.29,5821043593.0,3878082770.0,0.0,0.08,-5.21,-3.66,食品饮料,True
907,601598,中国外运,5.6,1.27,0.07,192275.0,107656598.0,2.17,5.64,5.52,5.53,5.53,0.88,0.37,15.78,1.04,40724308100.0,29433134500.0,-0.36,-0.36,12.0,7.49,物流行业,True
910,002186,全 聚 德,11.15,1.27,0.14,69835.0,77621909.93,3.0,11.23,10.9,11.02,11.01,1.36,2.28,203.0,4.06,3422175706.0,3417601419.0,0.09,0.09,6.29,-3.88,旅游酒店,True
941,300461,田中精机,21.3,1.19,0.25,49151.0,104740482.0,2.95,21.65,21.03,21.39,21.05,1.86,4.31,-103.99,6.34,3345307540.0,2428386695.0,-0.09,-0.09,9.91,14.15,专用设备,True
975,600649,城投控股,4.46,1.13,0.05,291165.0,129548449.0,1.81,4.48,4.4,4.41,4.41,1.01,1.16,118.38,0.54,11170073425.0,11170073425.0,-0.22,0.0,3.48,1.13,房地产开发,True
1030,601952,苏垦农发,9.76,1.04,0.1,193223.0,188645669.0,1.86,9.83,9.65,9.66,9.66,1.66,1.4,31.54,1.98,13449280000.0,13449280000.0,-0.1,-0.1,2.09,1.88,农牧饲渔,True
1120,002223,鱼跃医疗,35.4,0.91,0.32,93469.0,330295622.44,1.48,35.55,35.03,35.11,35.08,1.08,0.99,14.2,2.79,35487683287.0,33281599006.0,0.06,0.0,0.0,-1.91,医疗器械,True
1129,002041,登海种业,10.1,0.9,0.09,140812.0,142047212.91,1.8,10.15,9.97,10.0,10.01,1.49,1.6,90.33,2.47,8888000000.0,8888000000.0,0.0,0.0,-0.59,-7.0,农牧饲渔,True
1146,300341,麦克奥迪,17.11,0.88,0.15,120257.0,206392229.6,2.65,17.35,16.9,16.9,16.96,1.47,2.33,63.45,4.87,8852890849.0,8817256280.0,0.0,0.0,10.24,-1.89,电网设备,True
1149,600018,上港集团,5.75,0.88,0.05,393406.0,225182757.0,1.05,5.75,5.69,5.71,5.7,1.06,0.17,8.56,1.0,133867850257.0,133483822086.0,0.0,0.0,1.23,-3.85,航运港口,True
1185,002216,三全食品,11.24,0.81,0.09,42233.0,47356807.16,1.35,11.27,11.12,11.16,11.15,0.88,0.67,11.85,2.27,9882028700.0,7084080014.0,0.0,0.27,0.09,-3.93,食品饮料,True
1297,600897,厦门空港,14.86,0.68,0.1,24068.0,35680843.0,1.36,14.9,14.7,14.76,14.76,0.87,0.58,12.25,1.35,6195639240.0,6195639240.0,0.07,0.0,4.65,-0.34,航空机场,True
1316,688330,宏力达,27.5,0.66,0.18,15295.0,42056858.0,1.46,27.72,27.32,27.45,27.32,1.44,1.09,46.06,1.03,3850000000.0,3850000000.0,0.07,0.11,11.74,6.18,电网设备,True
1368,600642,申能股份,8.2,0.61,0.05,170250.0,139314787.0,0.86,8.22,8.15,8.15,8.15,0.81,0.35,9.93,1.17,40131576343.0,40008132149.0,0.0,0.0,-3.76,-9.29,电力行业,True
1421,002766,索菱股份,5.4,0.56,0.03,174221.0,93725932.0,1.68,5.42,5.33,5.38,5.37,1.77,2.04,1088.64,5.72,4653719050.0,4610375194.0,0.0,0.0,-1.28,-6.09,汽车零部件,True
1429,600999,招商证券,18.19,0.55,0.1,207159.0,377074256.0,1.33,18.33,18.09,18.11,18.09,1.0,0.28,17.14,1.39,158189822601.0,135006275898.0,0.0,-0.05,7.76,-3.14,证券,True
1455,600956,新天绿能,7.79,0.52,0.04,51821.0,40066712.0,1.55,7.79,7.67,7.75,7.75,0.75,0.22,8.58,1.45,32762349039.0,18291610794.0,0.13,0.26,-0.51,3.32,燃气,True
1489,002061,浙江交科,4.08,0.49,0.02,362441.0,149058507.07,3.2,4.2,4.07,4.16,4.06,1.14,1.39,12.31,0.71,10895849834.0,10604482632.0,-0.24,0.0,7.37,3.03,工程建设,True
1505,688338,赛科希德,27.44,0.48,0.13,21120.0,58111291.0,2.38,27.87,27.22,27.25,27.31,1.36,1.99,31.48,1.79,2912547456.0,2912547456.0,0.07,-0.72,15.88,14.96,医疗器械,True
1509,600639,浦东金桥,10.47,0.48,0.05,46304.0,48259381.0,1.06,10.47,10.36,10.38,10.42,0.67,0.54,28.54,0.84,11751662990.0,8901978280.0,0.0,0.0,1.06,-2.97,房地产开发,True
1540,600795,国电电力,4.6,0.44,0.02,962080.0,440507781.0,1.31,4.61,4.55,4.58,4.58,0.93,0.54,11.33,1.47,82043847777.0,82043847777.0,-0.22,-0.22,3.6,2.91,电力行业,True
1550,002285,世联行,2.36,0.43,0.01,248648.0,58565035.4,2.13,2.38,2.33,2.36,2.35,0.79,1.26,-110.35,1.66,4703076530.0,4662868119.0,0.0,0.0,1.29,-8.88,房地产服务,True
1566,603053,成都燃气,9.67,0.42,0.04,29815.0,28729299.0,1.56,9.69,9.54,9.64,9.63,0.87,0.34,15.55,1.83,8595566300.0,8595566300.0,0.1,0.21,3.31,-0.62,燃气,True
1605,600703,三安光电,12.77,0.39,0.05,589779.0,753829707.0,1.81,12.89,12.66,12.72,12.72,1.18,1.18,75.16,1.72,63709769144.0,63709769144.0,-0.08,0.0,1.67,5.1,光学光电子,True
1617,600027,华电国际,5.33,0.38,0.02,735840.0,391302065.0,0.94,5.34,5.29,5.31,5.31,0.98,0.86,7.53,1.22,58131241999.0,45360045751.0,0.0,0.0,-7.47,-2.74,电力行业,True
1626,000927,中国铁物,2.68,0.37,0.01,327255.0,87454328.85,1.12,2.69,2.66,2.68,2.67,0.79,0.54,22.94,1.74,16214947758.0,16214939557.0,0.0,0.0,3.08,3.08,物流行业,True
1652,600597,光明乳业,8.56,0.35,0.03,138317.0,118257773.0,1.06,8.59,8.5,8.51,8.53,0.89,1.0,20.92,1.25,11799735411.0,11799577907.0,0.12,0.12,3.13,2.15,食品饮料,True
1669,688432,有研硅,11.86,0.34,0.04,76272.0,90352212.0,1.86,11.96,11.74,11.82,11.82,1.36,1.5,75.37,3.42,14796785748.0,6019728704.0,0.0,-0.08,5.99,5.52,半导体,True
1691,603885,吉祥航空,12.47,0.32,0.04,192104.0,238770919.0,1.61,12.51,12.31,12.4,12.43,1.0,0.88,19.74,3.2,27234545692.0,27234545692.0,0.0,0.0,-4.15,-8.31,航空机场,True
1697,000529,广弘控股,6.24,0.32,0.02,57087.0,35533529.18,0.96,6.25,6.19,6.2,6.22,1.03,1.0,65.43,1.17,3642851659.0,3556078512.0,0.0,0.0,5.23,7.96,食品饮料,True
1747,601111,中国国航,7.28,0.28,0.02,548713.0,399064941.0,0.96,7.31,7.24,7.25,7.26,0.84,0.47,-15.54,2.95,127024504880.0,84725436971.0,-0.14,0.0,-3.7,-7.96,航空机场,True
1796,301090,华润材料,8.08,0.25,0.02,42392.0,34234032.0,1.12,8.12,8.03,8.08,8.06,0.89,0.29,-154.56,1.86,12009779532.0,11953625148.0,-0.12,-0.12,8.31,16.43,化学原料,True
1803,600251,冠农股份,7.93,0.25,0.02,58748.0,46498578.0,1.14,7.96,7.87,7.91,7.91,0.85,0.76,8.32,1.66,6161559113.0,6161559113.0,0.13,0.0,6.44,9.99,农牧饲渔,True
1812,000895,双汇发展,25.01,0.24,0.06,71363.0,178164321.44,0.72,25.05,24.87,24.96,24.95,0.76,0.21,19.05,4.41,86651176937.0,86637734837.0,-0.16,0.0,0.97,-0.79,食品饮料,True
1818,601568,北元集团,4.21,0.24,0.01,144769.0,60863005.0,0.95,4.22,4.18,4.21,4.2,0.87,0.36,47.62,1.48,16723055563.0,16723055563.0,0.24,0.0,1.45,2.68,化学原料,True
1871,603309,维力医疗,14.21,0.21,0.03,77152.0,110608366.0,2.89,14.61,14.2,14.26,14.18,0.99,2.64,17.19,2.23,4161654536.0,4147492850.0,0.0,0.07,21.87,23.78,医疗器械,True
1896,300112,万讯自控,9.81,0.2,0.02,62769.0,61284493.0,1.94,9.87,9.68,9.79,9.79,0.92,2.64,-94.21,2.83,2847104209.0,2331271022.0,0.0,0.1,16.79,8.88,仪器仪表,True
1906,002039,黔源电力,15.85,0.19,0.03,26730.0,42292655.0,0.57,15.86,15.77,15.85,15.82,0.62,0.63,26.65,1.69,6776796297.0,6776796297.0,0.0,0.06,-2.16,4.28,电力行业,True
1917,601668,中国建筑,5.67,0.18,0.01,1345846.0,763176424.0,0.71,5.69,5.65,5.67,5.66,0.88,0.33,3.9,0.51,234286613817.0,234286613817.0,0.0,0.0,3.09,-1.05,工程建设,True
1921,001289,龙源电力,16.54,0.18,0.03,35333.0,58436138.35,1.21,16.63,16.43,16.5,16.51,0.83,0.07,18.18,1.84,138271359353.0,83393591073.0,-0.06,-0.18,-3.05,5.28,电力行业,True
1939,002540,亚太科技,6.09,0.16,0.01,105607.0,64119446.54,1.32,6.1,6.02,6.08,6.08,0.89,1.21,20.26,1.43,7602840755.0,5293855469.0,0.0,0.0,3.05,2.18,有色金属,True
1941,002746,仙坛股份,6.29,0.16,0.01,101635.0,63801260.92,1.11,6.31,6.24,6.28,6.28,0.91,1.43,28.18,1.2,5412788593.0,4463863468.0,0.0,0.0,6.79,3.28,农牧饲渔,True
1953,603690,至纯科技,25.64,0.16,0.04,150716.0,387190844.0,1.72,25.91,25.47,25.6,25.6,1.49,3.94,129.32,2.06,9836648826.0,9819203370.0,0.0,0.0,-2.25,2.31,专用设备,True
1959,601006,大秦铁路,6.53,0.15,0.01,447813.0,292072988.0,0.61,6.54,6.5,6.53,6.52,0.7,0.22,12.79,0.81,131561070485.0,131561070485.0,0.0,0.0,-0.76,-1.66,物流行业,True
1965,000906,浙商中拓,6.52,0.15,0.01,99669.0,64913197.22,1.08,6.55,6.48,6.53,6.51,1.05,1.42,6.01,0.97,4627003927.0,4572083261.0,0.15,0.0,1.88,1.88,物流行业,True
1993,002267,陕天然气,8.01,0.13,0.01,85404.0,68266660.0,1.0,8.03,7.95,8.0,8.0,0.8,0.77,4.85,1.36,8907724314.0,8907724314.0,0.13,0.13,-10.5,-1.11,燃气,True
1994,600177,雅戈尔,7.44,0.13,0.01,154977.0,115213158.0,0.94,7.47,7.4,7.42,7.43,0.8,0.34,10.7,0.85,34398407751.0,34398407751.0,0.13,0.0,0.54,-13.49,纺织服装,True
2014,300144,宋城演艺,8.54,0.12,0.01,257052.0,219796301.8,1.29,8.62,8.51,8.53,8.53,1.13,1.09,22.74,2.86,22397114508.0,20116202322.0,0.0,0.0,-4.9,-6.05,旅游酒店,True
2024,002033,丽江股份,8.74,0.11,0.01,88032.0,76950373.9,0.8,8.77,8.7,8.72,8.73,0.84,1.6,25.41,1.97,4802548814.0,4802456782.0,0.0,0.11,2.7,2.58,旅游酒店,True
2032,688459,哈铁科技,10.07,0.1,0.01,29250.0,29379029.0,0.89,10.09,10.0,10.09,10.06,1.04,1.67,-790.81,1.44,4833600000.0,1768140628.0,-0.1,0.2,4.79,5.56,交运设备,True
2036,600548,深高速,10.35,0.1,0.01,41788.0,43326011.0,0.87,10.41,10.32,10.36,10.34,1.24,0.29,13.74,1.14,26266810914.0,14834347874.0,0.0,-0.1,-6.84,-21.83,铁路公路,True
2077,003013,地铁设计,14.86,0.07,0.01,13433.0,19983288.0,0.61,14.92,14.83,14.9,14.85,1.04,0.34,27.5,2.32,6067737704.0,5942477965.0,0.0,-0.07,3.84,1.5,工程咨询服务,True
2157,600512,腾达建设,2.32,0.0,0.0,324759.0,75962441.0,2.59,2.38,2.32,2.33,2.32,1.57,2.05,15.74,0.6,3697641471.0,3682779978.0,-0.43,-0.43,4.04,-1.28,工程建设,True
2158,000718,苏宁环球,2.16,0.0,0.0,187501.0,40591599.78,1.39,2.18,2.15,2.16,2.16,0.71,0.82,34.91,0.7,6554814589.0,4929321144.0,0.0,0.0,1.89,-6.9,房地产开发,True
2160,600497,驰宏锌锗,5.67,0.0,0.0,678196.0,382405569.0,1.94,5.69,5.58,5.66,5.67,0.92,1.35,14.45,1.78,28578957339.0,28578957339.0,0.0,0.18,10.1,4.23,有色金属,True
2182,002470,金正大,1.73,0.0,0.0,355488.0,61468766.0,1.16,1.74,1.72,1.73,1.73,0.75,1.08,161.44,2.75,5684827994.0,5684346491.0,0.0,0.0,0.58,-11.73,化肥行业,True
2197,600917,重庆燃气,5.78,0.0,0.0,41253.0,23825828.0,1.04,5.8,5.74,5.78,5.78,1.14,0.26,-41.7,1.63,9022809813.0,9022809813.0,0.17,0.0,4.33,-3.83,燃气,True
