序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,均线250,成交量2倍增长
434,000513,丽珠集团,38.19,4.86,1.77,222523.0,842961227.15,4.34,38.58,37.0,37.45,36.42,3.13,3.7,15.89,2.5,35433457028.0,22944842893.0,0.0,0.03,6.91,13.46,True,True
1982,600132,重庆啤酒,61.87,1.66,1.01,35820.0,220734338.0,3.27,62.58,60.59,60.59,60.86,1.17,0.74,16.86,14.02,29943298020.0,29943298020.0,0.0,0.06,15.43,-2.8,True,False
2445,601598,中国外运,5.25,1.35,0.07,403169.0,211843439.0,2.32,5.29,5.17,5.18,5.18,1.27,0.77,10.17,0.99,38294638594.0,27593563594.0,-0.19,-0.19,22.66,6.06,True,False
2468,002032,苏 泊 尔,52.28,1.34,0.69,11112.0,57888789.9,1.84,52.39,51.44,51.48,51.59,0.73,0.14,21.93,7.47,41904427918.0,41815820323.0,0.04,0.08,4.04,3.98,True,False
2915,000629,钒钛股份,2.88,1.05,0.03,705454.0,201838659.4,2.81,2.89,2.81,2.85,2.85,0.96,0.77,109.57,2.16,26769513730.0,26482964170.0,0.35,0.35,27.43,-12.2,True,False
2928,600332,白云山,29.01,1.04,0.3,84457.0,244843613.0,2.02,29.2,28.62,28.62,28.71,1.2,0.6,11.2,1.3,47164195430.0,40784896430.0,-0.03,0.0,2.51,5.68,True,False
3430,600282,南钢股份,4.16,0.73,0.03,266074.0,110982176.0,1.21,4.19,4.14,4.14,4.13,0.95,0.43,10.97,1.0,25646778606.0,25646778606.0,0.0,0.0,1.22,24.18,True,False
3447,601991,大唐发电,2.82,0.71,0.02,750619.0,211343753.0,1.43,2.83,2.79,2.8,2.8,0.94,0.61,8.84,1.7,52188923621.0,34956971279.0,0.36,0.0,3.68,17.01,True,False
3571,000959,首钢股份,3.18,0.63,0.02,312111.0,99261084.0,1.9,3.2,3.14,3.16,3.16,1.04,0.48,91.03,0.5,24721259644.0,20693098397.0,0.0,0.0,15.22,-7.29,True,False
3686,000825,太钢不锈,3.62,0.56,0.02,310294.0,112053520.05,1.94,3.64,3.57,3.6,3.6,0.93,0.54,-27.95,0.63,20659027218.0,20620417022.0,0.28,0.0,8.06,-2.95,True,False
3816,601000,唐山港,4.27,0.47,0.02,283331.0,121285571.0,1.41,4.3,4.24,4.25,4.25,0.83,0.48,12.0,1.24,25303715182.0,25303715182.0,0.0,0.0,-14.26,29.39,True,False
3875,600977,中国电影,11.92,0.42,0.05,146919.0,174919094.0,2.11,12.03,11.78,11.85,11.87,0.8,0.79,77.43,2.0,22254640000.0,22254640000.0,0.08,0.17,21.38,-2.05,True,False
3888,600004,白云机场,9.72,0.41,0.04,155664.0,151181692.0,1.14,9.75,9.64,9.69,9.68,0.71,0.66,25.83,1.27,23004501711.0,23004501711.0,-0.1,-0.1,9.09,0.1,True,False
4199,000157,中联重科,6.98,0.14,0.01,424747.0,296730934.47,1.29,7.03,6.94,6.96,6.97,0.92,0.6,14.47,1.06,60572385807.0,49352160240.0,0.0,0.0,9.92,12.4,True,False
4461,600236,桂冠电力,6.11,0.0,0.0,115770.0,70978708.0,0.82,6.16,6.11,6.11,6.11,0.84,0.15,16.69,2.84,48161328370.0,48161328370.0,-0.16,-0.16,-6.43,14.42,True,False
4799,000027,深圳能源,6.62,-0.15,-0.01,230038.0,151971653.2,1.51,6.65,6.55,6.61,6.63,1.05,0.48,11.11,1.05,31493921244.0,31493921244.0,0.15,0.15,13.36,4.91,True,False
