序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
974,600308,华泰股份,3.56,4.09,0.14,304913.0,108463916.0,2.34,3.6,3.52,3.6,3.42,4.08,2.01,24.17,0.58,5400057827.0,5400057827.0,0.0,0.0,-0.28,-2.2,造纸印刷,True
1359,600569,安阳钢铁,1.84,3.37,0.06,476296.0,88050374.0,7.87,1.91,1.77,1.77,1.78,1.46,1.66,-1.82,1.41,5285255350.0,5285255350.0,-0.54,-0.54,-12.8,-1.08,钢铁行业,True
1487,601799,星宇股份,135.0,3.17,4.15,13026.0,173061708.0,4.1,135.4,130.04,130.6,130.85,1.49,0.46,29.6,3.97,38566721565.0,38566721565.0,0.05,0.03,-1.08,1.14,汽车零部件,True
1711,603356,华菱精工,13.22,2.88,0.37,54699.0,72503559.0,7.86,13.86,12.85,12.96,12.85,1.53,4.1,-24.24,3.06,1762754800.0,1762754800.0,0.0,0.46,0.23,3.44,专用设备,True
1971,600741,华域汽车,16.85,2.56,0.42,119399.0,198412125.0,3.23,16.89,16.36,16.39,16.43,1.19,0.38,8.91,0.88,53123399130.0,53123399130.0,-0.12,-0.06,7.05,-4.32,汽车零部件,True
1994,002367,康力电梯,6.88,2.53,0.17,75059.0,51061360.3,2.98,6.88,6.68,6.71,6.71,1.21,1.43,14.63,1.59,5495648967.0,3620258463.0,0.15,0.0,2.23,0.15,专用设备,True
2196,000738,航发控制,20.01,2.3,0.45,150248.0,297402448.9,3.02,20.02,19.43,19.49,19.56,2.02,1.14,31.39,2.15,26316831860.0,26316831860.0,0.0,0.0,-20.56,-10.03,航天航空,True
2262,000025,特  力Ａ,16.2,2.21,0.35,54196.0,86994285.1,3.22,16.23,15.72,15.75,15.85,1.4,1.38,48.46,4.11,6983144784.0,6363008784.0,-0.12,0.12,-11.48,-1.94,珠宝首饰,True
2275,600606,绿地控股,1.86,2.2,0.04,833359.0,152677799.0,4.4,1.87,1.79,1.83,1.82,0.91,0.59,82.86,0.32,26140846064.0,26140846064.0,0.0,0.0,-20.17,-11.43,房地产开发,True
2288,600621,华鑫股份,14.5,2.18,0.31,200717.0,288231538.0,2.82,14.5,14.1,14.1,14.19,0.9,1.89,37.97,1.9,15383039734.0,15383039734.0,0.07,0.21,-11.85,-12.01,证券,True
2318,603010,万盛股份,9.97,2.15,0.21,21377.0,21033003.0,2.46,9.97,9.73,9.8,9.76,0.92,0.44,37.1,1.5,5878098572.0,4838168360.0,0.1,0.2,-7.34,-2.92,化学制品,True
2320,605005,合兴股份,16.15,2.15,0.34,14593.0,23354392.0,3.54,16.3,15.74,15.82,15.81,1.69,0.36,24.71,3.44,6476150000.0,6476150000.0,-0.31,-0.19,-7.92,-0.92,汽车零部件,True
2388,601633,长城汽车,25.08,2.08,0.51,317156.0,779572080.0,4.19,25.09,24.06,24.51,24.57,1.77,0.51,15.44,2.79,214611555666.0,155342361726.0,0.0,0.0,-7.73,-4.75,汽车整车,True
2501,688289,圣湘生物,20.71,1.97,0.4,62601.0,128833767.0,4.58,20.98,20.05,20.2,20.31,1.07,1.08,46.05,1.66,11999125604.0,11999125604.0,-0.19,-0.24,-11.87,-8.77,医疗器械,True
2575,002111,威海广泰,10.69,1.91,0.2,66494.0,70548373.22,2.67,10.7,10.42,10.46,10.49,1.21,1.39,33.1,1.85,5687133418.0,5111974751.0,0.09,0.0,-12.45,-2.99,专用设备,True
2577,600704,物产中大,4.82,1.9,0.09,495149.0,236495627.0,2.75,4.83,4.7,4.71,4.73,1.39,0.96,8.05,0.68,25028147828.0,24840843833.0,0.0,0.0,-9.06,-4.74,物流行业,True
2617,601311,骆驼股份,8.21,1.86,0.15,91749.0,74697997.0,2.36,8.22,8.03,8.03,8.06,1.09,0.78,14.82,1.02,9631529629.0,9631529629.0,0.0,-0.12,-6.17,-0.97,电池,True
2656,688459,哈铁科技,9.47,1.83,0.17,17020.0,15986216.0,2.47,9.49,9.26,9.31,9.3,1.17,0.97,67.68,1.36,4545600000.0,1662789647.0,0.11,0.11,-9.98,-1.76,交运设备,True
2741,601588,北辰实业,1.75,1.74,0.03,247992.0,42671858.0,3.49,1.75,1.69,1.72,1.72,1.14,0.93,-4.76,0.51,5892285000.0,4655000000.0,0.0,0.57,-21.17,-5.91,房地产服务,True
2763,600262,北方股份,18.33,1.72,0.31,22107.0,40037706.0,2.44,18.34,17.9,18.04,18.02,1.48,1.3,21.57,2.01,3116100000.0,3116100000.0,0.11,0.05,-8.3,0.11,专用设备,True
2767,601399,国机重装,2.96,1.72,0.05,322188.0,94585213.0,2.75,2.97,2.89,2.91,2.91,0.85,0.45,38.65,1.49,21352125434.0,21352125434.0,-0.34,0.0,-16.38,-3.9,专用设备,True
2868,600497,驰宏锌锗,5.66,1.62,0.09,675273.0,378894007.0,2.51,5.67,5.53,5.56,5.57,1.31,1.33,14.66,1.74,28816710275.0,28816710275.0,0.0,0.0,-15.27,1.62,有色金属,True
