序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
3317,603689,皖天然气,8.53,-0.7,-0.06,28669.0,24398794.0,2.33,8.6,8.4,8.55,8.59,0.48,0.59,11.09,1.31,4183793922.0,4119008572.0,-0.12,-0.23,-4.91,-5.01,燃气,True
3390,002884,凌霄泵业,18.81,-0.74,-0.14,51171.0,96119819.5,2.85,19.04,18.5,18.88,18.95,0.88,1.87,15.29,3.05,6728007994.0,5135696426.0,0.05,0.21,-3.29,2.96,通用设备,True
3458,000989,ST九芝,7.61,-0.78,-0.06,72447.0,54775732.95,2.61,7.67,7.47,7.67,7.67,0.67,1.04,20.33,1.72,6513718711.0,5282510060.0,0.0,0.0,9.18,-4.4,中药,True
3493,000030,富奥股份,4.9,-0.81,-0.04,128665.0,62467512.0,3.85,4.95,4.76,4.92,4.94,1.17,0.76,14.42,1.11,8534051117.0,8291826359.0,0.0,-0.2,-1.41,-4.48,汽车零部件,True
3635,000513,丽珠集团,36.3,-0.9,-0.33,66777.0,243097457.34,2.51,36.92,36.0,36.92,36.63,1.06,1.14,14.83,2.34,33081849999.0,21211289824.0,0.03,0.03,-6.18,-4.47,化学制药,True
3904,002233,塔牌集团,7.38,-1.07,-0.08,82364.0,60958448.72,3.22,7.52,7.28,7.46,7.46,0.78,0.69,17.32,0.75,8798989618.0,8793159049.0,-0.27,-0.14,-3.02,-3.78,水泥建材,True
4183,002749,国光股份,14.09,-1.26,-0.18,24844.0,34750393.79,3.64,14.27,13.75,14.17,14.27,1.01,0.59,18.33,3.29,6598042656.0,5955525933.0,0.36,0.14,14.83,-0.91,农药兽药,True
4543,002048,宁波华翔,12.33,-1.52,-0.19,90526.0,111389734.04,2.8,12.51,12.16,12.5,12.52,1.04,1.73,10.5,0.89,10037797614.0,6438853147.0,0.0,0.24,-4.64,-2.3,汽车零部件,True
4665,605050,福然德,9.69,-1.62,-0.16,22620.0,21795988.0,4.06,9.82,9.42,9.8,9.85,0.91,0.46,17.71,1.14,4775514764.0,4775514764.0,0.1,0.0,1.89,-0.1,物流行业,True
4677,002293,罗莱生活,8.42,-1.64,-0.14,98577.0,83532275.65,3.39,8.62,8.33,8.47,8.56,0.75,1.19,20.06,1.76,6996872490.0,6961347146.0,0.12,0.24,18.76,7.95,纺织服装,True
4772,000090,天健集团,3.96,-1.74,-0.07,181694.0,72114809.64,2.98,4.03,3.91,4.02,4.03,0.88,0.97,16.89,0.66,7399439919.0,7399101339.0,0.0,-0.25,-1.98,-3.65,房地产开发,True
4777,600267,海正药业,7.9,-1.74,-0.14,157349.0,124743883.0,3.98,8.09,7.77,7.98,8.04,0.94,1.31,13.78,1.15,9470900748.0,9465692673.0,-0.25,-0.25,-2.35,-4.82,化学制药,True
4802,601677,XD明泰铝,11.69,-1.76,-0.21,186607.0,218062872.0,2.94,11.87,11.52,11.87,11.9,0.89,1.56,7.73,0.85,14538900076.0,13940231796.0,-0.09,-0.09,-14.55,-2.42,有色金属,True
4996,002088,鲁阳节能,12.31,-1.99,-0.25,31692.0,39009340.4,4.3,12.6,12.06,12.52,12.56,0.77,0.63,13.83,2.29,6301213084.0,6213965774.0,-0.08,0.0,10.01,-3.75,装修建材,True
5208,000878,云南铜业,12.13,-2.33,-0.29,308110.0,372858536.95,3.78,12.37,11.9,12.32,12.42,0.97,1.54,11.97,1.64,24304011400.0,24303534158.0,0.08,-0.08,-7.69,-0.49,有色金属,True
5327,000761,本钢板材,3.03,-2.57,-0.08,114131.0,34501096.36,4.82,3.11,2.96,3.11,3.11,1.1,0.31,-2.91,0.97,12447931316.0,11235931316.0,0.0,0.33,-7.62,-5.31,钢铁行业,True
5399,000968,蓝焰控股,6.29,-2.78,-0.18,111840.0,70721185.29,5.26,6.52,6.18,6.44,6.47,0.57,1.16,15.13,1.05,6085591731.0,6085591731.0,-0.16,0.16,-0.32,-5.41,燃气,True
5430,000792,盐湖股份,16.2,-2.88,-0.48,496624.0,808088309.33,3.84,16.66,16.02,16.58,16.68,0.87,0.94,20.47,2.45,85723475164.0,85722020890.0,-0.12,-0.18,-6.9,-1.58,化肥行业,True
