序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,均线250,成交量2倍增长
420,002773,康弘药业,19.75,2.54,0.49,120865.0,239512531.95,5.4,20.14,19.1,19.2,19.26,1.11,1.76,13.99,2.15,18165620517.0,13535481373.0,0.0,0.0,3.19,9.36,True,False
1295,600597,光明乳业,8.56,0.35,0.03,86123.0,73810437.0,1.29,8.62,8.51,8.53,8.53,0.85,0.62,76.05,1.35,11799735411.0,11799577907.0,0.0,0.12,11.9,0.59,True,False
1411,600572,康恩贝,4.62,0.22,0.01,230562.0,107226753.0,1.95,4.69,4.6,4.6,4.61,0.75,0.9,17.18,1.78,11873572414.0,11842425053.0,-0.22,0.0,10.53,-4.74,True,False
1610,600808,马钢股份,2.35,0.0,0.0,282627.0,66538638.0,1.28,2.37,2.34,2.35,2.35,0.71,0.47,-5.39,0.72,18205304267.0,14024215287.0,0.0,0.0,27.72,-13.6,True,False
1623,600755,厦门国贸,6.63,0.0,0.0,143192.0,95061982.0,1.51,6.69,6.59,6.63,6.63,0.52,0.67,15.14,0.7,14370283323.0,14136210769.0,0.15,0.0,11.8,2.47,True,False
1923,000543,皖能电力,7.61,0.0,0.0,172009.0,131406783.04,2.1,7.72,7.56,7.62,7.61,0.48,0.76,8.17,1.12,17250829949.0,17250829949.0,0.0,-0.13,-14.59,25.99,True,False
2057,000930,中粮科技,5.79,-0.17,-0.01,91783.0,53399559.77,1.72,5.87,5.77,5.79,5.8,0.59,0.49,840.8,1.02,10767794398.0,10747579192.0,0.0,0.0,21.13,-12.8,True,False
2154,600997,开滦股份,7.01,-0.28,-0.02,54961.0,38500882.0,1.28,7.05,6.96,7.0,7.03,0.43,0.35,12.88,0.78,11130476956.0,11130476956.0,0.14,0.0,18.21,-3.84,True,False
2346,601568,北元集团,4.34,-0.46,-0.02,128587.0,55867876.0,1.61,4.38,4.31,4.35,4.36,0.85,0.32,53.91,1.48,17239444452.0,17239444452.0,0.23,0.23,13.32,-6.47,True,False
2564,601163,三角轮胎,14.82,-0.67,-0.1,57659.0,85929070.0,2.61,15.14,14.75,14.86,14.92,0.6,0.72,10.06,0.9,11856000000.0,11856000000.0,0.07,0.07,7.39,7.86,True,False
2955,600116,三峡水利,7.1,-0.98,-0.07,97675.0,69496844.0,1.39,7.17,7.07,7.17,7.17,0.71,0.51,26.57,1.21,13576214618.0,13576214618.0,0.0,0.14,3.2,-3.79,True,False
3221,300741,华宝股份,17.38,-1.19,-0.21,10555.0,18513332.75,2.05,17.71,17.35,17.58,17.59,0.62,0.17,44.82,1.49,10703994400.0,10703944867.0,-0.06,0.06,17.75,-16.8,True,False
3290,600295,鄂尔多斯,9.5,-1.25,-0.12,71921.0,68788270.0,2.29,9.69,9.47,9.6,9.62,0.61,0.36,11.59,1.27,26588374413.0,18767974413.0,0.0,-0.11,17.57,6.74,True,False
3654,000039,中集集团,8.15,-1.57,-0.13,204557.0,167160086.25,1.69,8.26,8.12,8.25,8.28,0.76,0.89,18.03,0.94,43949041138.0,18756468199.0,0.0,-0.12,11.19,6.82,True,False
3732,600596,新安股份,8.36,-1.65,-0.14,102112.0,85767612.0,2.24,8.53,8.34,8.52,8.5,0.56,0.79,61.76,0.89,11282631330.0,10809245151.0,0.0,0.0,17.09,-7.32,True,False
