序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,均线250,成交量2倍增长
448,600801,华新水泥,13.73,5.78,0.75,545008.0,752696154.0,6.63,14.28,13.42,14.28,12.98,9.22,4.05,18.81,0.99,28544610261.0,18456904661.0,0.0,0.07,27.96,15.38,True,True
1560,000930,中粮科技,6.09,2.87,0.17,315419.0,190706812.24,3.21,6.13,5.94,5.95,5.92,2.35,1.7,884.36,1.08,11325711206.0,11304448580.0,0.16,0.0,25.57,-8.28,True,False
1581,600507,方大特钢,4.35,2.84,0.12,439649.0,189514569.0,4.49,4.4,4.21,4.22,4.23,2.32,1.9,39.93,1.08,10062367322.0,10062367322.0,0.23,0.0,14.17,-3.55,True,True
1996,000012,南  玻Ａ,5.63,2.36,0.13,405897.0,227148450.27,2.55,5.64,5.5,5.51,5.5,1.73,2.07,16.49,1.23,17287996562.0,11030744401.0,0.0,0.0,11.05,5.83,True,False
2191,300741,华宝股份,18.58,2.14,0.39,30194.0,55718600.0,3.08,18.71,18.15,18.19,18.19,1.75,0.49,47.91,1.6,11443050400.0,11442997447.0,0.0,0.0,25.71,-11.06,True,False
2808,600295,鄂尔多斯,9.89,1.64,0.16,159751.0,157014873.0,2.26,9.91,9.69,9.73,9.73,1.75,0.81,12.06,1.32,27679897152.0,19538449152.0,0.0,0.0,20.02,11.12,True,False
3026,600572,康恩贝,4.82,1.47,0.07,392775.0,188417855.0,1.89,4.83,4.74,4.75,4.75,1.43,1.53,17.92,1.86,12387579878.0,12355084146.0,0.0,0.0,15.31,-0.62,True,False
3121,603866,桃李面包,6.52,1.4,0.09,293011.0,191595008.0,4.35,6.65,6.37,6.46,6.43,1.67,1.83,17.98,2.07,10430168891.0,10430168891.0,0.0,0.0,24.43,-11.41,True,False
3259,000537,中绿电,9.45,1.29,0.12,139892.0,131383251.83,1.71,9.47,9.31,9.33,9.33,1.54,0.68,16.0,1.0,19529392226.0,19529338361.0,0.11,0.11,12.1,0.0,True,False
3389,600755,厦门国贸,6.77,1.2,0.08,228262.0,154168501.0,1.64,6.8,6.69,6.71,6.69,1.15,1.07,15.46,0.72,14673728220.0,14434712957.0,0.0,-0.15,17.13,4.64,True,False
3664,000591,太阳能,5.03,1.0,0.05,540580.0,270268221.53,1.81,5.03,4.94,4.95,4.98,1.4,1.5,11.44,0.83,19685542422.0,18100462299.0,0.2,0.4,20.05,-7.37,True,False
3762,601163,三角轮胎,15.28,0.92,0.14,74140.0,112759669.0,1.12,15.28,15.11,15.17,15.14,1.21,0.93,10.38,0.92,12224000000.0,12224000000.0,0.07,0.13,11.37,11.21,True,False
3832,000690,宝新能源,4.65,0.87,0.04,274398.0,127087906.86,1.3,4.66,4.6,4.62,4.61,0.96,1.26,12.81,0.84,10117878558.0,10111289894.0,0.22,0.22,15.96,12.59,True,False
3923,600597,光明乳业,8.94,0.79,0.07,174580.0,155918482.0,1.8,8.99,8.83,8.83,8.87,1.38,1.27,79.43,1.41,12323555441.0,12323390945.0,0.0,-0.11,15.8,5.05,True,False
4028,600116,三峡水利,7.2,0.7,0.05,99086.0,71166039.0,0.98,7.21,7.14,7.15,7.15,0.89,0.52,26.94,1.22,13767428909.0,13767428909.0,0.14,0.0,5.26,-2.44,True,False
4086,000869,张  裕Ａ,23.75,0.64,0.15,14549.0,34497575.0,1.91,23.86,23.41,23.56,23.6,0.9,0.32,53.43,1.51,15955817625.0,10808489506.0,0.0,0.0,15.46,0.47,True,False
4129,600325,华发股份,6.76,0.6,0.04,412449.0,278490388.0,2.23,6.82,6.67,6.75,6.72,1.21,1.6,10.49,0.89,18604548304.0,17381586564.0,0.0,0.0,30.25,-1.17,True,False
4311,600997,开滦股份,7.05,0.43,0.03,112735.0,79239001.0,1.28,7.07,6.98,6.99,7.02,1.44,0.71,12.96,0.79,11193988950.0,11193988950.0,-0.14,0.14,15.38,-3.29,True,False
4495,001286,陕西能源,9.62,0.21,0.02,175512.0,168734961.0,1.15,9.66,9.55,9.6,9.6,1.09,1.67,10.83,1.47,36075000000.0,10101000000.0,0.0,0.0,3.0,17.46,True,False
