序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,rule3_sinal
2162,600905,三峡能源,4.61,1.1,0.05,961670.0,441965006.0,1.54,4.62,4.55,4.56,4.56,1.14,0.34,19.43,1.54,131941576973.0,131780798769.0,-0.22,-0.22,9.76,7.46,True
2196,000537,中绿电,9.4,1.08,0.1,116980.0,109919241.14,1.4,9.45,9.32,9.36,9.3,1.2,0.57,15.91,1.0,19426062109.0,19426008529.0,0.0,0.0,13.39,-0.53,True
2271,000869,张  裕Ａ,23.61,1.03,0.24,14411.0,33884106.5,1.93,23.68,23.23,23.36,23.37,0.97,0.32,53.12,1.5,15861762279.0,10744776305.0,0.0,-0.04,17.58,-0.13,True
2319,601952,苏垦农发,10.17,0.99,0.1,88801.0,89858242.0,1.39,10.17,10.03,10.05,10.07,0.99,0.64,23.04,2.13,14014260000.0,14014260000.0,0.1,0.2,2.94,2.94,True
2341,600116,三峡水利,7.22,0.98,0.07,150416.0,108392329.0,1.68,7.25,7.13,7.14,7.15,1.51,0.79,27.02,1.23,13805671767.0,13805671767.0,0.0,0.0,5.25,-2.17,True
2388,603589,口子窖,40.36,0.95,0.38,62831.0,252901591.0,1.68,40.55,39.88,39.92,39.98,0.86,1.05,13.86,2.38,24216000000.0,24140101890.0,0.0,0.02,12.64,-7.85,True
2404,002252,上海莱士,7.51,0.94,0.07,325255.0,243341036.64,1.34,7.52,7.42,7.42,7.44,0.89,0.49,20.34,1.6,49851266126.0,49827269986.0,-0.13,0.13,7.13,-5.3,True
2407,300452,山河药辅,12.89,0.94,0.12,34521.0,44364375.8,1.64,12.94,12.73,12.73,12.77,0.99,1.85,18.51,3.46,3022023158.0,2407849203.0,0.08,0.0,19.57,-7.86,True
2450,600325,华发股份,6.66,0.91,0.06,294156.0,195433741.0,2.27,6.7,6.55,6.6,6.6,0.87,1.14,10.33,0.87,18329333093.0,17124462503.0,0.15,0.15,20.65,-2.63,True
2509,000513,丽珠集团,37.83,0.88,0.33,73091.0,275689354.99,1.84,37.95,37.26,37.4,37.5,0.67,1.22,15.74,2.48,35099441722.0,22728552151.0,-0.05,-0.03,4.16,12.39,True
2518,601006,大秦铁路,6.94,0.87,0.06,620117.0,429794948.0,0.87,6.95,6.89,6.89,6.88,0.88,0.34,11.06,0.82,126885111537.0,126885111537.0,0.14,0.14,16.25,3.58,True
2562,600332,白云山,28.86,0.84,0.24,66783.0,192451362.0,1.15,28.94,28.61,28.61,28.62,1.05,0.48,11.14,1.3,46920326788.0,40574012788.0,0.0,-0.1,11.77,5.14,True
2590,688510,航亚科技,17.16,0.82,0.14,27966.0,47624942.0,3.0,17.27,16.76,17.1,17.02,1.03,1.08,35.85,4.02,4433845553.0,4433845553.0,0.06,-0.17,21.44,-1.49,True
2612,603998,方盛制药,11.19,0.81,0.09,55864.0,62015706.0,2.34,11.23,10.97,11.09,11.1,0.76,1.27,16.15,3.08,4913798231.0,4909159976.0,0.0,-0.09,-4.52,4.48,True
2738,603198,迎驾贡酒,60.25,0.7,0.42,33188.0,199895016.0,1.94,60.73,59.57,59.57,59.83,0.92,0.41,18.02,5.2,48200000000.0,48200000000.0,0.03,0.02,19.64,-7.29,True
2770,000960,锡业股份,14.85,0.68,0.1,211250.0,313103889.46,1.9,14.94,14.66,14.7,14.75,1.16,1.28,14.28,1.31,24440158987.0,24440158987.0,0.0,-0.13,12.24,5.62,True
2799,605005,合兴股份,16.76,0.66,0.11,21625.0,36211723.0,3.9,17.25,16.6,17.25,16.65,1.61,0.54,25.65,3.57,6720760000.0,6720760000.0,0.0,-0.18,10.34,-3.34,True
2812,600038,中直股份,40.06,0.65,0.26,42911.0,171072910.0,1.71,40.2,39.52,39.7,39.8,0.74,0.73,68.95,2.04,32844922113.0,23614437243.0,-0.02,-0.02,8.56,4.51,True
2986,300741,华宝股份,18.56,0.54,0.1,19979.0,36941954.0,2.44,18.68,18.23,18.59,18.46,0.76,0.32,47.86,1.59,11430732800.0,11430679904.0,-0.22,-0.11,19.43,-11.15,True
3019,601163,三角轮胎,15.58,0.52,0.08,108676.0,169559916.0,1.87,15.75,15.46,15.48,15.5,1.25,1.36,10.58,0.94,12464000000.0,12464000000.0,0.06,0.0,14.9,13.39,True
3106,002032,苏 泊 尔,53.94,0.45,0.24,16746.0,90365922.2,1.12,54.18,53.58,53.7,53.7,1.02,0.21,22.63,7.71,43234981674.0,43143560602.0,0.0,0.02,6.54,7.28,True
3236,000895,双汇发展,25.49,0.35,0.09,118082.0,301608903.78,1.34,25.67,25.33,25.4,25.4,0.73,0.34,17.41,4.43,88314214319.0,88300514235.0,-0.04,-0.08,11.8,0.55,True
3259,603035,常熟汽饰,14.93,0.34,0.05,70915.0,105486236.0,1.41,14.98,14.77,14.86,14.88,0.85,1.87,11.04,1.08,5673861830.0,5673861830.0,0.07,0.07,15.92,-19.03,True
3278,600028,中国石化,6.41,0.31,0.02,1191781.0,765018733.0,1.25,6.45,6.37,6.37,6.39,0.7,0.13,13.21,0.95,779261634044.0,607936097295.0,0.0,-0.31,-0.47,22.56,True
3364,301559,中集环科,16.6,0.24,0.04,20875.0,34601708.84,1.09,16.65,16.47,16.54,16.56,0.92,2.32,41.47,2.17,9960000000.0,1494000000.0,-0.12,-0.12,14.72,-9.83,True
3593,002056,横店东磁,13.71,0.07,0.01,195680.0,266387759.8,2.55,13.78,13.43,13.69,13.7,0.82,1.2,18.06,2.43,22302222535.0,22279545303.0,-0.07,0.07,12.56,4.26,True
3711,600674,川投能源,17.01,0.0,0.0,284070.0,483297611.0,0.82,17.1,16.96,17.04,17.01,0.4,0.58,14.06,1.97,82917062144.0,82917062144.0,0.0,0.0,-3.3,15.56,True
3762,600253,天方药业,,,,,,,,,,6.26,,0.0,,,,,,,0.0,0.0,True
4141,600938,中国海油,27.0,-0.15,-0.04,388234.0,1050471039.0,1.07,27.25,26.96,27.16,27.04,0.85,1.37,8.25,1.79,1283308757568.0,76730000031.0,0.0,0.04,3.57,37.13,True
4394,000157,中联重科,7.03,-0.42,-0.03,640639.0,451099585.49,1.42,7.1,7.0,7.04,7.06,1.26,0.91,14.58,1.07,61006285419.0,49705685743.0,0.0,0.0,16.58,13.2,True
4466,601012,隆基绿能,17.85,-0.5,-0.09,1070963.0,1896650647.0,3.23,17.96,17.38,17.95,17.94,1.35,1.41,-15.6,2.17,135268106088.0,135267971392.0,-0.06,0.0,30.58,-21.47,True
4585,601225,陕西煤业,24.79,-0.64,-0.16,305187.0,761827211.0,1.56,25.17,24.78,25.04,24.95,0.79,0.31,11.31,2.53,240339050000.0,240339050000.0,0.04,0.0,1.97,27.32,True
