序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,均线250,成交量2倍增长
1651,600295,鄂尔多斯,9.71,2.21,0.21,101397.0,96757626.0,4.21,9.72,9.32,9.51,9.5,0.96,0.51,11.84,1.3,27176117426.0,19182845426.0,0.0,-0.1,19.73,9.1,True,False
1822,600596,新安股份,8.53,2.03,0.17,137647.0,114411576.0,4.67,8.53,8.14,8.35,8.36,0.81,1.06,63.02,0.91,11512062828.0,11029050375.0,0.47,0.47,18.8,-5.43,True,False
1908,300741,华宝股份,17.72,1.96,0.34,19308.0,33492247.04,4.49,17.74,16.96,17.31,17.38,1.24,0.31,45.69,1.52,10913393600.0,10913343098.0,0.0,-0.06,18.69,-15.17,True,False
2147,600597,光明乳业,8.71,1.75,0.15,120470.0,103343286.0,3.15,8.71,8.44,8.56,8.56,1.25,0.87,77.39,1.37,12006506476.0,12006346212.0,0.11,0.23,14.76,2.35,True,False
2172,600572,康恩贝,4.7,1.73,0.08,301170.0,139302195.0,3.03,4.7,4.56,4.65,4.62,1.02,1.17,17.47,1.82,12079175399.0,12047488690.0,0.0,0.0,14.08,-3.09,True,False
2396,000690,宝新能源,4.61,1.54,0.07,325485.0,147284374.5,3.74,4.61,4.44,4.54,4.54,0.94,1.5,12.7,0.83,10030843044.0,10024311056.0,0.0,0.0,9.5,11.62,True,False
3191,600116,三峡水利,7.17,0.99,0.07,131419.0,92750528.0,3.1,7.17,6.95,7.09,7.1,1.04,0.69,26.83,1.22,13710064622.0,13710064622.0,0.0,0.14,3.91,-2.85,True,False
3387,600808,马钢股份,2.37,0.85,0.02,358923.0,83897848.0,2.98,2.37,2.3,2.35,2.35,0.99,0.6,-5.43,0.73,18360243027.0,14143570311.0,0.0,0.0,26.06,-12.87,True,False
3452,601163,三角轮胎,14.94,0.81,0.12,58093.0,85699104.0,2.36,14.95,14.6,14.74,14.82,0.69,0.73,10.15,0.9,11952000000.0,11952000000.0,0.0,0.0,6.56,8.73,True,False
3778,600997,开滦股份,7.05,0.57,0.04,89487.0,62295140.0,3.0,7.05,6.84,6.97,7.01,0.84,0.56,12.96,0.79,11193988950.0,11193988950.0,0.0,0.0,17.7,-3.29,True,False
4043,000930,中粮科技,5.81,0.35,0.02,144603.0,82804023.0,3.11,5.81,5.63,5.78,5.79,1.05,0.78,843.7,1.03,10804988852.0,10784703818.0,0.17,0.17,19.06,-12.5,True,False
4096,600755,厦门国贸,6.65,0.3,0.02,226846.0,148514322.0,3.02,6.65,6.45,6.63,6.63,1.03,1.06,15.18,0.71,14413632594.0,14178853939.0,0.15,0.15,11.39,2.78,True,False
4262,000543,皖能电力,7.62,0.13,0.01,267157.0,200571476.73,2.76,7.62,7.41,7.58,7.61,0.77,1.18,8.19,1.12,17273498582.0,17273498582.0,0.0,0.13,-11.4,26.16,True,False
4368,601568,北元集团,4.34,0.0,0.0,145232.0,62106452.0,2.76,4.34,4.22,4.34,4.34,1.02,0.37,53.91,1.48,17239444452.0,17239444452.0,0.0,0.23,12.14,-6.47,True,False
