序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
450,002270,华明装备,16.85,3.25,0.53,94744.0,157703440.49,3.92,16.89,16.25,16.33,16.32,1.24,1.06,22.03,4.79,15101398512.0,15101156513.0,-0.18,-0.06,22.63,1.38,电网设备,True
461,600021,上海电力,9.38,3.19,0.29,1150563.0,1080391003.0,3.19,9.52,9.23,9.23,9.09,2.38,4.4,7.97,1.36,26421055390.0,24549000168.0,-0.11,0.0,9.96,5.51,电力行业,True
570,600618,氯碱化工,10.14,2.74,0.27,164699.0,165918904.0,3.75,10.23,9.86,9.87,9.87,1.9,2.2,12.66,1.31,11725895757.0,7603377357.0,-0.2,-0.2,10.46,2.84,化学原料,True
618,002038,双鹭药业,7.6,2.56,0.19,316223.0,239777466.95,3.51,7.74,7.48,7.55,7.41,1.88,3.71,42.46,1.39,7807860000.0,6471692364.0,-0.13,0.0,17.65,2.01,生物制品,True
651,603860,中公高科,32.93,2.49,0.8,52498.0,172446375.0,4.98,33.6,32.0,32.58,32.13,2.62,7.87,-1460.07,2.77,2195772400.0,2195772400.0,-0.09,-0.15,15.06,12.24,工程咨询服务,True
749,300780,德恩精工,16.11,2.22,0.35,33485.0,53557026.0,2.54,16.14,15.74,15.81,15.76,1.17,3.19,-42.13,2.27,2362853700.0,1689511263.0,0.06,0.12,15.4,12.19,通用设备,True
769,300625,三雄极光,12.18,2.18,0.26,21973.0,26591569.84,2.52,12.2,11.9,11.92,11.92,0.88,1.35,-55.54,1.72,3402251580.0,1986861964.0,0.0,0.0,12.88,7.22,家电行业,True
789,603858,步长制药,17.24,2.13,0.36,96751.0,166224725.0,4.09,17.52,16.83,16.86,16.88,2.27,0.87,15.51,1.82,19068175200.0,19068175200.0,0.17,0.0,16.88,9.11,中药,True
875,000726,鲁  泰Ａ,6.77,1.96,0.13,123743.0,83392997.63,2.41,6.79,6.63,6.63,6.64,1.32,2.1,9.32,0.59,5533164477.0,3985504518.0,0.15,0.0,15.14,5.45,纺织服装,True
888,601298,青岛港,8.99,1.93,0.17,198601.0,177991230.0,2.72,9.05,8.81,8.84,8.82,1.6,0.37,10.4,1.33,58354989000.0,48474754250.0,0.0,-0.11,2.04,-1.32,航运港口,True
893,603309,维力医疗,13.18,1.93,0.25,61034.0,79809920.0,3.02,13.31,12.92,12.96,12.93,2.1,2.09,16.38,2.15,3860000477.0,3846865289.0,0.0,-0.15,25.88,14.81,医疗器械,True
930,603187,海容冷链,12.05,1.86,0.22,68348.0,82017308.0,2.79,12.15,11.82,11.85,11.83,0.84,1.77,11.18,1.15,4656314089.0,4656314089.0,0.08,0.0,19.9,12.62,通用设备,True
980,002788,鹭燕医药,8.61,1.77,0.15,52133.0,44628737.82,2.01,8.61,8.44,8.44,8.46,1.1,1.37,11.73,1.08,3345129097.0,3285457483.0,0.23,0.23,15.42,9.54,医药商业,True
1007,301309,万得凯,27.45,1.74,0.47,9771.0,26715748.99,2.19,27.6,27.01,27.02,26.98,0.96,3.91,20.27,1.76,2745000000.0,686250000.0,-0.15,-0.04,18.47,15.0,通用设备,True
1015,300011,鼎汉技术,7.69,1.72,0.13,107045.0,82228695.0,2.65,7.75,7.55,7.55,7.56,1.3,2.13,-71.61,3.28,4296021476.0,3857525695.0,0.13,0.13,1.99,5.63,交运设备,True
