序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
489,600517,国网英大,5.2,3.38,0.17,446997.0,229910674.0,3.78,5.22,5.03,5.05,5.03,2.85,0.78,12.31,1.36,29735865869.0,29735865869.0,0.19,0.0,-0.38,-5.63,多元金融,True
532,600958,东方证券,9.94,3.22,0.31,1023820.0,1005940722.0,3.74,9.98,9.62,9.64,9.63,3.43,1.37,14.71,1.1,84456654202.0,74246659668.0,0.1,0.2,2.79,-5.87,证券,True
563,601066,中信建投,24.52,3.07,0.73,322670.0,783458272.0,3.57,24.65,23.8,23.89,23.79,3.64,0.5,25.8,2.43,190194156422.0,159273853778.0,-0.08,-0.08,2.55,-4.78,证券,True
584,600109,国金证券,8.89,3.01,0.26,808920.0,711401647.0,3.71,8.93,8.61,8.63,8.63,3.43,2.18,14.16,0.96,33004654044.0,33004654044.0,0.11,-0.11,4.1,1.83,证券,True
781,000598,兴蓉环境,7.33,2.37,0.17,258010.0,186964042.28,3.77,7.37,7.1,7.13,7.16,1.46,0.87,10.77,1.2,21875906505.0,21805582485.0,0.0,0.14,8.43,-0.95,公用事业,True
786,600649,城投控股,4.36,2.35,0.1,300156.0,129855657.0,2.58,4.37,4.26,4.27,4.26,1.61,1.19,116.89,0.53,11028949764.0,11028949764.0,0.23,0.46,-1.58,-2.02,房地产开发,True
791,600177,雅戈尔,7.42,2.34,0.17,316099.0,232661683.0,2.07,7.42,7.27,7.28,7.25,2.19,0.68,10.68,0.85,34305938913.0,34305938913.0,0.13,0.13,-6.19,-13.72,纺织服装,True
840,601068,中铝国际,4.62,2.21,0.1,485452.0,227713657.0,8.41,4.96,4.58,4.95,4.52,3.74,1.9,52.45,4.83,13803803554.0,11825308882.0,0.0,0.22,1.09,4.76,工程建设,True
885,600675,中华企业,2.92,2.1,0.06,284404.0,82448309.0,3.5,2.94,2.84,2.85,2.86,1.37,0.47,9.6,1.19,17654715167.0,17654715167.0,-0.34,-0.34,6.57,3.91,房地产开发,True
909,688432,XD有研硅,10.96,2.05,0.22,56942.0,61747773.0,2.61,11.0,10.72,10.79,10.74,1.74,1.12,69.65,3.16,13673926796.0,5562919612.0,0.0,-0.09,-7.28,-2.49,半导体,True
973,600011,华能国际,7.33,1.95,0.14,618338.0,448990760.0,2.5,7.35,7.17,7.2,7.19,1.18,0.56,5.78,1.86,115067024321.0,80613213706.0,0.0,0.0,5.62,8.27,电力行业,True
988,688563,航材股份,55.48,1.93,1.05,29961.0,165447043.0,2.79,55.85,54.33,54.38,54.43,1.94,2.6,46.33,2.41,24966000000.0,6390685332.0,0.11,0.13,6.49,-0.11,航天航空,True
995,002405,四维图新,8.5,1.92,0.16,563791.0,476409064.22,2.04,8.52,8.35,8.35,8.34,2.09,2.39,-33.05,2.34,20160447169.0,20024735362.0,0.0,0.0,-3.52,-11.83,软件开发,True
1010,000718,苏宁环球,2.16,1.89,0.04,251031.0,53669445.06,2.36,2.16,2.11,2.13,2.12,1.51,1.1,34.91,0.69,6554814589.0,4929321144.0,0.47,0.0,-4.42,-8.47,房地产开发,True
1088,002687,乔治白,4.61,1.77,0.08,74922.0,34266442.15,2.21,4.61,4.51,4.55,4.53,0.93,1.81,37.54,1.57,2327033454.0,1906460825.0,0.22,0.22,0.88,5.25,纺织服装,True
1092,601588,北辰实业,1.73,1.76,0.03,288786.0,49554527.0,2.35,1.73,1.69,1.7,1.7,1.04,1.09,-4.94,0.62,5824944600.0,4601800000.0,0.0,0.0,-2.81,-6.99,房地产服务,True
1123,600231,凌钢股份,1.77,1.72,0.03,170494.0,29929322.0,2.87,1.78,1.73,1.74,1.74,2.15,0.6,-5.01,0.95,5048332289.0,4989957689.0,0.0,0.0,-2.21,-1.12,钢铁行业,True
1126,600563,法拉电子,107.3,1.71,1.8,18493.0,198185108.0,2.83,108.29,105.3,105.5,105.5,1.04,0.82,22.84,4.73,24142500000.0,24142500000.0,-0.08,-0.08,-2.33,-8.23,电子元件,True
1150,002244,滨江集团,9.6,1.69,0.16,279736.0,267151236.97,2.97,9.62,9.34,9.44,9.44,1.48,1.04,7.65,1.05,29869861344.0,25750595904.0,0.21,0.21,-8.83,11.5,房地产开发,True
1157,001288,运机集团,20.73,1.67,0.34,24963.0,51404670.31,2.16,20.78,20.34,20.34,20.39,1.07,1.65,31.32,2.31,4870770552.0,3143872600.0,0.05,0.0,-6.79,-4.21,工程机械,True
1165,600008,首创环保,3.06,1.66,0.05,783906.0,237726026.0,1.99,3.06,3.0,3.01,3.01,1.43,1.07,14.07,1.13,22462207472.0,22462207472.0,0.0,0.33,2.68,-1.61,公用事业,True
1166,600066,宇通客车,25.08,1.66,0.41,164392.0,411865924.0,2.31,25.2,24.63,24.74,24.67,1.34,0.74,18.39,4.64,55525595713.0,55525595713.0,-0.32,-0.36,-0.04,-1.18,汽车整车,True
1174,600827,百联股份,9.25,1.65,0.15,112548.0,103524075.0,1.76,9.28,9.12,9.15,9.1,2.15,0.7,21.4,0.83,16503555082.0,14841161760.0,0.0,0.0,-0.75,-15.37,商业百货,True
