序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息,rule3_sinal
149,300550,和仁科技,13.18,6.63,0.82,70636.0,91607370.45,7.52,13.21,12.28,12.36,12.36,2.18,2.69,-225.06,3.13,3460542658.0,3457329638.0,0.15,0.08,-8.91,-13.0,软件开发,True
311,600649,城投控股,4.37,4.55,0.19,524677.0,226582325.0,4.78,4.38,4.18,4.18,4.18,2.87,2.07,117.16,0.53,11054245521.0,11054245521.0,0.0,0.23,2.58,-1.8,房地产开发,True
362,002244,滨江集团,9.6,4.23,0.39,528217.0,502753604.0,4.45,9.66,9.25,9.25,9.21,1.42,1.97,7.65,1.05,29869861344.0,25750595904.0,0.0,-0.1,-10.28,11.5,房地产开发,True
375,300462,华铭智能,10.3,4.15,0.41,100059.0,102392708.0,6.88,10.48,9.8,9.81,9.89,2.01,7.32,-103.57,1.31,1866585961.0,1408364454.0,-0.19,0.39,0.1,15.47,交运设备,True
415,300624,万兴科技,60.78,3.92,2.29,73125.0,439880861.89,5.95,61.48,58.0,58.0,58.49,1.33,4.27,-89.53,10.71,11750981773.0,10407554868.0,0.05,0.02,-12.19,-3.75,软件开发,True
541,688338,赛科希德,24.78,3.16,0.76,17319.0,42920311.0,4.87,25.21,24.04,24.2,24.02,2.23,1.63,28.43,1.62,2630208672.0,2630208672.0,0.04,-0.08,-2.52,3.81,医疗器械,True
577,300081,恒信东方,6.81,3.03,0.2,280235.0,189259313.41,4.69,6.84,6.53,6.55,6.61,0.96,4.63,-30.08,3.51,4118656790.0,4118033164.0,0.0,0.0,-14.45,-5.15,通信服务,True
691,300851,交大思诺,26.93,2.67,0.7,8282.0,22138500.0,3.28,26.96,26.1,26.26,26.23,0.83,1.54,-156.2,1.86,2341116462.0,1450348462.0,-0.04,0.11,-4.44,3.3,交运设备,True
793,601588,北辰实业,1.72,2.38,0.04,195408.0,33299244.0,2.98,1.72,1.67,1.67,1.68,1.08,0.73,-4.91,0.62,5791274400.0,4575200000.0,0.0,0.0,-3.37,-7.53,房地产服务,True
829,600121,郑州煤电,3.97,2.32,0.09,475120.0,187623867.0,2.32,3.99,3.9,3.91,3.88,1.71,3.9,-20.09,2.65,4837095791.0,4837095791.0,0.25,0.25,-2.7,-8.31,煤炭行业,True
845,002777,久远银海,17.41,2.29,0.39,73989.0,127812853.2,3.47,17.5,16.91,16.91,17.02,0.87,1.83,119.23,4.37,7107302372.0,7042545058.0,0.0,0.06,-12.73,1.99,互联网服务,True
856,000153,丰原药业,6.3,2.27,0.14,191726.0,120659862.68,5.03,6.44,6.13,6.15,6.16,2.17,4.23,19.25,1.45,2928074449.0,2853545449.0,-0.16,0.0,3.28,4.48,化学制药,True
875,600640,国脉文化,11.85,2.24,0.26,78345.0,92567589.0,3.8,11.97,11.53,11.6,11.59,1.23,0.98,403.93,2.37,9428996889.0,9428996889.0,0.0,0.17,-9.06,-0.75,文化传媒,True
912,603172,XD万丰股,15.45,2.18,0.33,30828.0,47474243.0,3.51,15.58,15.05,15.05,15.12,0.71,6.16,49.71,1.94,2060721000.0,773736000.0,0.19,0.19,4.32,18.21,化学原料,True
917,603356,华菱精工,13.63,2.17,0.29,23313.0,31901856.0,4.72,13.95,13.32,13.32,13.34,0.9,1.75,-21.06,4.19,1817424200.0,1817424200.0,0.0,0.07,-4.88,6.65,专用设备,True
981,600675,中华企业,2.96,2.07,0.06,292306.0,86246584.0,3.45,2.99,2.89,2.9,2.9,1.46,0.48,9.73,1.21,17896560580.0,17896560580.0,0.0,0.0,8.03,5.34,房地产开发,True
1006,301328,维峰电子,39.49,2.04,0.79,15209.0,59990038.0,3.13,39.73,38.52,38.58,38.7,1.2,4.46,42.63,2.28,4339698027.0,1347945381.0,0.0,0.0,-17.12,-5.91,电子元件,True
1036,300288,朗玛信息,14.41,1.98,0.28,70988.0,101990084.42,3.11,14.48,14.04,14.04,14.13,0.85,2.77,187.43,4.5,4869735603.0,3697164924.0,-0.07,0.0,-13.92,-1.44,互联网服务,True
1128,600874,创业环保,6.07,1.85,0.11,219041.0,132899950.0,3.52,6.16,5.95,5.99,5.96,2.1,1.78,9.35,0.96,9532437776.0,7468637776.0,0.0,0.0,1.34,1.68,环保行业,True
1170,000001,平安银行,11.79,1.81,0.21,1174438.0,1371041708.41,2.25,11.79,11.53,11.57,11.58,1.03,0.61,4.06,0.53,228795775554.0,228791692112.0,0.08,0.0,5.83,3.97,银行,True
1203,600681,百川能源,3.49,1.75,0.06,155051.0,53964119.0,2.04,3.51,3.44,3.45,3.43,2.12,1.16,11.21,1.31,4679583287.0,4675932614.0,0.29,0.0,6.73,3.87,燃气,True
1213,301568,思泰克,33.93,1.74,0.58,15243.0,51596840.23,2.88,34.06,33.1,33.25,33.35,0.79,3.2,47.77,3.65,3503557512.0,1616561599.0,0.0,0.12,-22.41,1.47,专用设备,True
1219,301282,金禄电子,21.78,1.73,0.37,27892.0,60821960.36,3.46,21.99,21.25,21.25,21.41,0.92,3.87,52.96,1.96,3291828503.0,1571126828.0,0.18,0.09,-13.43,3.96,电子元件,True
1256,300305,裕兴股份,6.05,1.68,0.1,45558.0,27427410.23,2.02,6.05,5.93,5.95,5.95,0.88,1.42,-10.04,1.06,2271171767.0,1944918862.0,0.0,0.33,2.89,11.01,塑料制品,True
1298,002876,三利谱,24.31,1.63,0.39,17122.0,41456605.32,2.63,24.36,23.73,23.88,23.92,0.98,1.15,35.66,1.79,4227142697.0,3620960157.0,0.16,0.08,-11.02,-4.7,光学光电子,True
1308,001227,兰州银行,2.51,1.62,0.04,1054110.0,261988702.48,2.83,2.51,2.44,2.47,2.47,1.09,2.5,6.4,0.48,14296199892.0,10574041197.0,0.0,0.0,6.81,4.15,银行,True
1313,301115,联检科技,15.15,1.61,0.24,27870.0,42065556.8,3.22,15.22,14.74,14.99,14.91,1.4,2.64,157.18,1.09,2805164001.0,1602141497.0,0.0,0.07,2.85,8.29,专业服务,True
