序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,rule3_sinal
468,603230,内蒙新华,13.19,1.77,0.23,107081.0,141662270.0,4.24,13.4,12.85,13.0,12.96,2.05,11.98,11.84,1.72,4662968370.0,1179199190.0,0.15,0.08,30.59,-12.36,True
1137,300741,华宝股份,18.68,0.0,0.0,34549.0,65187843.6,3.1,19.12,18.54,18.68,18.68,1.54,0.56,48.17,1.6,11504638400.0,11504585162.0,0.38,0.38,23.38,-10.58,True
1773,000852,石化机械,6.19,-0.8,-0.05,114036.0,70685963.64,2.24,6.28,6.14,6.23,6.24,0.78,1.21,52.53,1.92,5918517055.0,5824798536.0,0.32,0.32,18.81,0.65,True
2092,600597,光明乳业,8.77,-1.13,-0.1,141014.0,124598563.0,2.03,8.93,8.75,8.84,8.87,0.89,1.02,77.92,1.38,12089214902.0,12089053534.0,-0.11,0.11,15.39,3.06,True
2352,600681,百川能源,3.69,-1.34,-0.05,84314.0,31259460.0,2.14,3.75,3.67,3.75,3.74,0.77,0.63,21.55,1.4,4947754249.0,4943894369.0,0.0,0.27,17.52,-0.54,True
2617,600798,宁波海运,3.23,-1.52,-0.05,152400.0,49526775.0,2.13,3.28,3.21,3.27,3.28,0.86,1.26,-338.53,0.99,3897105469.0,3897105469.0,0.0,0.31,23.28,-11.02,True
3736,300158,振东制药,5.04,-2.33,-0.12,225330.0,114432985.0,2.91,5.15,5.0,5.15,5.16,0.87,2.25,94.71,0.99,5066811570.0,5048528219.0,0.0,0.0,25.06,-25.33,True
4214,002573,清新环境,4.32,-2.7,-0.12,81526.0,35524668.74,3.6,4.45,4.29,4.45,4.44,0.8,0.58,77.64,0.97,6153358661.0,6103668293.0,0.0,0.0,27.43,-10.93,True
