symbol,name,index,industry,price,monthly_high,retracement,pe_ratio,pb_ratio,market_cap,eastmoney_url
603236,移远通信,87,未知,298.29,312.29,0.044830125844567546,29.08,6.23,27406022680.0,https://quote.eastmoney.com/concept/sh603236.html?from=classic
002331,皖通科技,1832,未知,47.5,52.59,0.09678646130443055,-49.99,2.22,3743799391.0,https://quote.eastmoney.com/concept/sz002331.html?from=classic
300903,科翔股份,630,未知,21.95,25.6,0.14257812500000008,-37.9,2.77,5042684172.0,https://quote.eastmoney.com/concept/sz300903.html?from=classic
600908,无锡银行,3454,未知,7.77,8.22,0.05474452554744538,5.49,0.64,13563132875.0,https://quote.eastmoney.com/concept/sh600908.html?from=classic
836942,恒立钻具,5302,未知,82.79,138.09,0.4004634658556014,96.58,5.68,2800195386.0,https://quote.eastmoney.com/concept/sh836942.html?from=classic
603132,金徽股份,2769,未知,15.4,15.95,0.03448275862068959,26.58,4.13,13457280000.0,https://quote.eastmoney.com/concept/sh603132.html?from=classic
920116,星图测控,748,未知,107.64,114.25,0.05785557986870896,232.61,24.16,12470438750.0,https://quote.eastmoney.com/concept/sh920116.html?from=classic
600238,*ST椰岛,4751,未知,19.84,22.16,0.10469314079422384,-119.88,30.63,3119472000.0,https://quote.eastmoney.com/concept/sh600238.html?from=classic
300393,中来股份,3159,未知,40.7,43.04,0.05436802973977687,-20.6,2.18,6951822544.0,https://quote.eastmoney.com/concept/sz300393.html?from=classic
871634,新威凌,4635,未知,33.57,39.41,0.1481857396599847,103.89,6.75,1856005816.0,https://quote.eastmoney.com/concept/sh871634.html?from=classic
300201,海伦哲,2520,未知,62.14,64.44,0.035692116697703245,34.79,3.65,5822181612.0,https://quote.eastmoney.com/concept/sz300201.html?from=classic
600030,中信证券,4241,未知,125.98,128.19,0.01724003432405019,18.0,1.78,471293389162.0,https://quote.eastmoney.com/concept/sh600030.html?from=classic
002965,祥鑫科技,4747,未知,61.67,67.1,0.08092399403874803,35.53,2.92,12210150318.0,https://quote.eastmoney.com/concept/sz002965.html?from=classic
688220,翱捷科技-U,5388,未知,102.0,118.4,0.13851351351351354,-87.48,7.63,42775448909.0,https://quote.eastmoney.com/concept/sh688220.html?from=classic
688583,思看科技,57,未知,141.18,150.05,0.05911362879040322,91.6,8.9,9883120000.0,https://quote.eastmoney.com/concept/sh688583.html?from=classic
002666,德联集团,1466,未知,25.11,25.75,0.024854368932038857,37.68,1.19,4215796260.0,https://quote.eastmoney.com/concept/sz002666.html?from=classic
002655,共达电声,2863,未知,44.11,45.52,0.030975395430580043,59.92,7.29,5162400000.0,https://quote.eastmoney.com/concept/sz002655.html?from=classic
002269,美邦服饰,1781,未知,12.33,12.56,0.01831210191082806,200.55,17.81,5125500000.0,https://quote.eastmoney.com/concept/sz002269.html?from=classic
688295,中复神鹰,2385,未知,23.8,24.04,0.009983361064891783,-116.86,4.62,21141000000.0,https://quote.eastmoney.com/concept/sh688295.html?from=classic
301585,蓝宇股份,1808,未知,47.51,49.01,0.03060599877576005,70.31,4.04,3761680000.0,https://quote.eastmoney.com/concept/sz301585.html?from=classic
300286,安科瑞,219,未知,164.2,170.08,0.034571966133584334,25.07,2.9,6294694841.0,https://quote.eastmoney.com/concept/sz300286.html?from=classic
301499,维科精密,1563,未知,30.07,30.74,0.021795705920624533,89.72,3.22,4107552069.0,https://quote.eastmoney.com/concept/sz301499.html?from=classic
002659,凯文教育,2307,未知,11.16,11.72,0.047781569965870345,1750.02,1.51,3278576504.0,https://quote.eastmoney.com/concept/sz002659.html?from=classic
002616,长青集团,1441,未知,30.76,31.0,0.007741935483870917,14.97,1.74,4852837686.0,https://quote.eastmoney.com/concept/sz002616.html?from=classic
002995,天地在线,864,未知,57.01,58.63,0.027630905679686246,-51.46,3.96,3621845937.0,https://quote.eastmoney.com/concept/sz002995.html?from=classic
300337,银邦股份,1446,未知,53.03,53.95,0.01705282669138094,166.1,5.78,9706875200.0,https://quote.eastmoney.com/concept/sz300337.html?from=classic
300740,水羊股份,103,未知,59.38,62.7,0.05295055821371611,36.3,4.34,8950597515.0,https://quote.eastmoney.com/concept/sz300740.html?from=classic
600707,彩虹股份,2089,未知,8.85,9.02,0.018847006651884695,18.43,1.09,23755140026.0,https://quote.eastmoney.com/concept/sh600707.html?from=classic
300231,银信科技,585,未知,146.81,150.18,0.022439738979890825,68.49,3.84,6055495578.0,https://quote.eastmoney.com/concept/sz300231.html?from=classic
688529,豪森智能,422,未知,24.18,27.53,0.12168543407192159,-31.02,1.96,3915136186.0,https://quote.eastmoney.com/concept/sh688529.html?from=classic
603005,晶方科技,3855,未知,89.39,91.92,0.027523933855526556,63.21,4.67,20843407724.0,https://quote.eastmoney.com/concept/sh603005.html?from=classic
300080,易成新能,3397,未知,12.15,12.49,0.02722177742193754,-24.52,1.68,8336542940.0,https://quote.eastmoney.com/concept/sz300080.html?from=classic
