datetime,sec_code,open,close,high,low,volume,turnover,amplitude,price_change_percentage,price_change_amount,turnover_rate
2025-03-19,301501,87.6,71.48,87.6,70.18,184292,1375925992.0,43.64,79.06,31.56,76.2
2025-03-20,301501,66.05,63.23,69.37,63.17,121322,797317720.0,8.67,-11.54,-8.25,50.17
2025-03-21,301501,61.42,57.57,61.43,57.54,87208,515087088.0,6.15,-8.95,-5.66,36.06
2025-03-24,301501,57.0,55.71,57.47,54.09,61947,344731103.0,5.87,-3.23,-1.86,25.61
2025-03-25,301501,55.74,53.15,55.96,53.01,52487,284311116.0,5.3,-4.6,-2.56,21.7
2025-03-26,301501,53.61,52.53,53.62,52.05,45461,239619620.0,2.95,-1.17,-0.62,18.8
2025-03-27,301501,52.26,52.25,53.49,51.67,43837,230774682.35,3.46,-0.53,-0.28,18.13
