datetime,sec_code,open,close,high,low,volume,turnover,amplitude,price_change_percentage,price_change_amount,turnover_rate
2014-01-27,002711,21.95,26.34,26.34,21.95,21547,56255557.0,24.0,44.01,8.05,5.74
2014-01-28,002711,28.97,28.97,28.97,28.97,10688,30963483.0,0.0,9.98,2.63,2.85
2014-01-29,002711,31.87,30.66,31.87,30.62,67342,212148287.0,4.31,5.83,1.69,17.94
2014-01-30,002711,30.71,33.73,33.73,30.71,140719,465798128.0,9.85,10.01,3.07,37.5
2014-02-07,002711,34.8,34.42,35.0,32.5,144219,488340976.0,7.41,2.05,0.69,38.43
2014-02-10,002711,33.95,36.92,37.78,33.63,117811,419605216.0,12.06,7.26,2.5,31.39
2014-02-11,002711,36.8,38.1,40.61,36.8,97448,374839152.0,10.32,3.2,1.18,25.97
2014-02-12,002711,38.2,39.89,41.3,37.55,83835,331622928.0,9.84,4.7,1.79,22.34
2014-02-13,002711,40.4,36.78,40.9,36.6,76937,298762032.0,10.78,-7.8,-3.11,20.5
2014-02-14,002711,36.88,39.28,39.28,36.08,79730,302109328.0,8.7,6.8,2.5,21.25
2014-02-17,002711,40.05,42.17,42.74,37.9,102141,408357632.0,12.32,7.36,2.89,27.22
2014-02-18,002711,41.3,40.5,42.39,39.71,79894,326916720.0,6.36,-3.96,-1.67,21.29
2014-02-19,002711,39.88,38.9,40.62,37.35,66052,255827145.0,8.07,-3.95,-1.6,17.6
2014-02-20,002711,38.15,38.7,40.36,37.0,65537,256002482.0,8.64,-0.51,-0.2,17.46
2014-02-21,002711,38.02,40.6,41.29,38.02,75013,299550032.0,8.45,4.91,1.9,19.99
2014-02-24,002711,40.0,39.39,40.36,38.5,58752,231081577.0,4.58,-2.98,-1.21,15.66
2014-02-25,002711,40.18,40.27,43.33,39.1,105291,439567536.0,10.74,2.23,0.88,28.06
2014-02-26,002711,38.5,38.01,38.78,36.24,74230,277463680.0,6.31,-5.61,-2.26,19.78
2014-02-27,002711,37.28,34.9,38.94,34.3,69498,254795061.0,12.21,-8.18,-3.11,18.52
2014-02-28,002711,34.21,37.0,38.06,33.99,57037,206236665.0,11.66,6.02,2.1,15.2
2014-03-03,002711,36.6,39.99,40.5,36.5,65452,253795366.0,10.81,8.08,2.99,17.44
2014-03-04,002711,39.55,41.09,43.99,39.4,103321,434920304.0,11.48,2.75,1.1,27.53
2014-03-05,002711,41.6,45.2,45.2,41.0,123645,547062864.0,10.22,10.0,4.11,32.95
2014-03-06,002711,46.7,49.72,49.72,44.5,95092,446846256.0,11.55,10.0,4.52,25.34
2014-03-07,002711,52.0,47.04,53.78,45.67,105098,522483664.0,16.31,-5.39,-2.68,28.01
2014-03-10,002711,45.15,45.03,48.94,44.28,72208,335856640.0,9.91,-4.27,-2.01,19.24
2014-03-11,002711,45.1,43.5,46.8,42.1,71684,318405584.0,10.44,-3.4,-1.53,19.1
2014-03-12,002711,42.8,44.0,44.99,40.42,68758,293030240.0,10.51,1.15,0.5,18.32
2014-03-13,002711,43.48,42.98,43.77,41.65,36302,155792455.0,4.82,-2.32,-1.02,9.67
