datetime,sec_code,open,close,high,low,volume,turnover,amplitude,price_change_percentage,price_change_amount,turnover_rate
2022-04-20,688072,95.01,92.3,104.96,88.1,205633,1962506048.0,23.46,28.41,20.42,78.57
2022-04-21,688072,94.99,101.59,111.0,93.68,122896,1264254928.0,18.76,10.07,9.29,46.96
2022-04-22,688072,103.0,98.15,106.0,96.38,68169,691788832.0,9.47,-3.39,-3.44,26.05
2022-04-25,688072,95.1,89.71,98.98,89.51,62791,591506080.0,9.65,-8.6,-8.44,23.99
2022-04-26,688072,90.5,92.16,96.53,90.5,43108,404029904.0,6.72,2.73,2.45,16.47
2022-04-27,688072,92.0,110.59,110.59,90.51,39846,400717840.0,21.79,20.0,18.43,15.23
2022-04-28,688072,111.5,115.5,118.3,105.05,45278,503893616.0,11.98,4.44,4.91,17.3
2022-04-29,688072,115.98,119.28,121.0,111.8,27503,319478848.0,7.97,3.27,3.78,10.51
2022-05-05,688072,117.49,110.85,117.49,107.48,49541,555272224.0,8.39,-7.07,-8.43,18.93
2022-05-06,688072,106.51,109.25,117.8,106.22,26742,299259680.0,10.45,-1.44,-1.6,10.22
2022-05-09,688072,108.16,110.1,113.55,106.53,27952,307787328.0,6.43,0.78,0.85,10.68
2022-05-10,688072,107.97,126.0,131.9,107.22,38646,469350864.0,22.42,14.44,15.9,14.77
2022-05-11,688072,126.68,128.0,130.88,121.5,36885,467585008.0,7.44,1.59,2.0,14.09
2022-05-12,688072,125.91,129.5,145.0,123.88,39346,522658880.0,16.5,1.17,1.5,15.03
2022-05-13,688072,132.73,131.6,137.7,128.74,24454,323373520.0,6.92,1.62,2.1,9.34
2022-05-16,688072,134.1,133.53,139.28,130.5,26169,353597072.0,6.67,1.47,1.93,10.0
2022-05-17,688072,134.28,138.17,141.0,134.0,25935,358040384.0,5.24,3.47,4.64,9.91
2022-05-18,688072,139.88,141.0,144.88,134.53,22699,318918896.0,7.49,2.05,2.83,8.67
2022-05-19,688072,138.02,139.0,144.3,136.1,22239,310840928.0,5.82,-1.42,-2.0,8.5
2022-05-20,688072,137.49,144.02,145.88,136.55,16984,239059336.0,6.71,3.61,5.02,6.49
2022-05-23,688072,144.14,149.18,155.0,144.08,16365,244959890.0,7.58,3.58,5.16,6.25
2022-05-24,688072,148.37,139.0,150.18,138.0,21626,312313744.0,8.16,-6.82,-10.18,8.26
2022-05-25,688072,139.99,139.99,144.7,137.74,17418,245568702.0,5.01,0.71,0.99,6.66
2022-05-26,688072,140.0,142.6,143.58,132.0,22337,307963648.0,8.27,1.86,2.61,8.54
2022-05-27,688072,143.0,141.8,145.48,138.01,14266,201255232.0,5.24,-0.56,-0.8,5.45
2022-05-30,688072,140.0,142.0,144.28,139.0,10805,153044370.0,3.72,0.14,0.2,4.13
2022-05-31,688072,141.73,146.58,147.89,141.0,11551,167046370.0,4.85,3.23,4.58,4.41
2022-06-01,688072,146.58,150.0,158.58,146.0,15499,234925604.0,8.58,2.33,3.42,5.92
2022-06-02,688072,150.21,161.9,163.3,146.12,20728,323037472.0,11.45,7.93,11.9,7.92
2022-06-06,688072,163.0,158.66,164.6,153.51,22427,356034864.0,6.85,-2.0,-3.24,8.57
2022-06-07,688072,157.03,161.01,162.06,153.81,14270,225101994.0,5.2,1.48,2.35,5.45
2022-06-08,688072,162.28,154.35,163.88,149.0,21897,339951168.0,9.24,-4.14,-6.66,8.37
2022-06-09,688072,154.3,147.88,155.02,145.77,14458,215633065.0,5.99,-4.19,-6.47,5.52
2022-06-10,688072,146.25,152.13,154.53,146.0,12669,192588798.0,5.77,2.87,4.25,4.84
2022-06-13,688072,150.0,149.1,151.56,142.18,23569,346379136.0,6.17,-1.99,-3.03,9.01
2022-06-14,688072,146.1,144.1,147.75,140.8,19868,285240352.0,4.66,-3.35,-5.0,7.59
2022-06-15,688072,144.7,151.53,155.8,143.99,16470,248658829.0,8.2,5.16,7.43,6.29
2022-06-16,688072,151.53,154.8,161.0,150.0,12752,199663800.0,7.26,2.16,3.27,4.87
2022-06-17,688072,152.0,153.95,158.02,150.98,10300,158533729.0,4.55,-0.55,-0.85,3.94
2022-06-20,688072,152.49,150.7,154.9,148.58,12154,184597921.0,4.11,-2.11,-3.25,4.64
2022-06-21,688072,150.98,154.0,158.58,148.5,10812,165851408.0,6.69,2.19,3.3,4.13
2022-06-22,688072,155.0,148.56,155.7,147.11,9743,146214531.0,5.58,-3.53,-5.44,3.72
2022-06-23,688072,148.52,160.0,160.5,148.51,12953,203291720.0,8.07,7.7,11.44,4.95
2022-06-24,688072,157.87,154.3,161.59,153.68,11309,176983406.0,4.94,-3.56,-5.7,4.32
2022-06-27,688072,156.93,151.01,157.66,149.2,15138,231225386.0,5.48,-2.13,-3.29,5.78
2022-06-28,688072,151.68,155.11,156.8,149.0,13391,203420899.0,5.17,2.72,4.1,5.12
2022-06-29,688072,154.89,148.5,155.47,147.05,12205,183867849.0,5.43,-4.26,-6.61,4.66
2022-06-30,688072,146.0,155.1,155.58,146.0,9034,137812047.0,6.45,4.44,6.6,3.38
2022-07-01,688072,154.26,156.4,164.99,154.0,14151,225540499.0,7.09,0.84,1.3,5.3
2022-07-04,688072,156.91,149.38,157.0,147.0,14443,216389878.0,6.39,-4.49,-7.02,5.41
2022-07-05,688072,149.8,147.5,150.55,141.97,17030,248080211.0,5.74,-1.26,-1.88,6.38
2022-07-06,688072,146.21,170.9,176.0,146.21,28415,473405104.0,20.2,15.86,23.4,10.64
2022-07-07,688072,174.0,176.5,176.5,168.0,12899,222470305.0,4.97,3.28,5.6,4.83
2022-07-08,688072,173.5,175.59,182.98,173.0,14004,249428557.0,5.65,-0.52,-0.91,5.24
2022-07-11,688072,175.03,183.2,184.98,171.43,12049,215250361.0,7.72,4.33,7.61,4.51
