datetime,sec_code,open,close,high,low,volume,turnover,amplitude,price_change_percentage,price_change_amount,turnover_rate
2024-12-20,301585,70.0,73.0,103.0,67.3,154631,1190812866.0,149.06,204.8,49.05,81.53
2024-12-23,301585,66.88,62.3,69.7,61.29,119814,780126942.0,11.52,-14.66,-10.7,63.17
2024-12-24,301585,60.5,55.5,61.97,54.51,104996,597428337.0,11.97,-10.91,-6.8,55.36
2024-12-25,301585,55.0,52.45,56.92,51.8,82030,442907302.0,9.23,-5.5,-3.05,43.25
2024-12-26,301585,51.2,50.22,52.61,49.97,74190,378944953.0,5.03,-4.25,-2.23,39.12
2024-12-27,301585,49.61,49.15,50.75,49.0,57710,286183429.0,3.48,-2.13,-1.07,30.43
2024-12-30,301585,48.6,47.42,48.84,47.15,48235,230016197.0,3.44,-3.52,-1.73,25.43
2024-12-31,301585,47.88,46.64,48.76,46.21,43384,205629038.0,5.38,-1.64,-0.78,22.88
2025-01-02,301585,46.94,46.3,47.64,46.06,33861,158363035.0,3.39,-0.73,-0.34,17.85
2025-01-03,301585,46.4,47.02,47.47,44.88,48577,225981305.0,5.59,1.56,0.72,25.61
2025-01-06,301585,46.12,43.05,46.18,42.66,43776,192186938.0,7.49,-8.44,-3.97,23.08
2025-01-07,301585,43.05,43.2,43.29,41.8,37014,157777071.34,3.46,0.35,0.15,19.52
