datetime,sec_code,open,close,high,low,volume,turnover,amplitude,price_change_percentage,price_change_amount,turnover_rate
2025-03-21,001382,37.0,29.91,37.0,28.7,483722,1526195205.91,112.16,304.19,22.51,80.43
2025-03-24,001382,28.0,29.25,30.61,27.0,329559,941900525.58,12.07,-2.21,-0.66,54.8
2025-03-25,001382,29.7,25.5,29.7,25.34,327106,906252159.37,14.91,-12.82,-3.75,54.39
2025-03-26,001382,23.99,25.72,26.7,23.56,282670,706717499.13,12.31,0.86,0.22,47.0
2025-03-27,001382,24.8,22.99,25.58,22.71,267850,641733221.56,11.16,-10.61,-2.73,44.54
