datetime,sec_code,open,close,high,low,volume,turnover,amplitude,price_change_percentage,price_change_amount,turnover_rate
2024-11-22,301631,205.0,206.99,240.0,205.0,100520,2147871175.0,47.95,183.59,134.0,77.16
2024-11-25,301631,180.44,169.0,192.5,166.01,70083,1234796711.0,12.8,-18.35,-37.99,53.79
2024-11-26,301631,163.88,171.73,194.88,159.0,76364,1356222756.0,21.23,1.62,2.73,58.61
2024-11-27,301631,159.81,150.0,159.88,146.6,62837,954496367.0,7.73,-12.65,-21.73,48.23
2024-11-28,301631,148.48,140.04,151.75,139.79,50180,727220794.0,7.97,-6.64,-9.96,38.52
2024-11-29,301631,139.98,134.43,139.98,132.5,39052,528567982.0,5.34,-4.01,-5.61,29.97
2024-12-02,301631,134.0,134.83,136.57,133.3,29631,399307307.0,2.43,0.3,0.4,22.74
2024-12-03,301631,133.9,133.44,137.55,133.04,26441,356119875.0,3.34,-1.03,-1.39,20.3
2024-12-04,301631,133.4,128.06,133.46,127.88,27706,359575282.0,4.18,-4.03,-5.38,21.27
2024-12-05,301631,127.87,131.03,131.35,126.73,23079,299171390.0,3.61,2.32,2.97,17.71
2024-12-06,301631,129.72,129.63,130.83,127.3,20806,268683059.0,2.69,-1.07,-1.4,15.97
2024-12-09,301631,129.91,137.25,137.25,128.64,33856,452335275.0,6.64,5.88,7.62,25.99
2024-12-10,301631,142.15,134.84,143.0,133.86,32617,451159286.0,6.66,-1.76,-2.41,25.04
2024-12-11,301631,132.0,130.05,132.95,129.6,22016,288129303.0,2.48,-3.55,-4.79,16.9
2024-12-12,301631,129.11,129.21,130.8,128.38,14044,181663127.0,1.86,-0.65,-0.84,10.78
2024-12-13,301631,129.0,125.14,129.0,125.11,17164,218161769.0,3.01,-3.15,-4.07,13.17
2024-12-16,301631,125.38,127.88,131.47,122.34,21838,277120743.0,7.3,2.19,2.74,16.76
2024-12-17,301631,126.09,124.05,126.86,123.84,14061,175529793.0,2.36,-2.99,-3.83,10.79
2024-12-18,301631,123.75,123.53,125.1,123.0,9754,121012565.0,1.69,-0.42,-0.52,7.49
2024-12-19,301631,121.8,123.56,125.0,121.18,10600,130367224.0,3.09,0.02,0.03,8.14
2024-12-20,301631,123.0,126.08,127.38,122.55,13387,167748638.0,3.91,2.04,2.52,10.28
2024-12-23,301631,126.18,121.62,126.8,121.61,11797,145735237.0,4.12,-3.54,-4.46,9.05
2024-12-24,301631,121.75,126.99,127.87,121.63,15908,198995336.0,5.13,4.42,5.37,12.21
2024-12-25,301631,126.36,124.14,126.36,123.52,9774,121648338.0,2.24,-2.24,-2.85,7.5
2024-12-26,301631,124.14,131.3,132.2,123.12,22532,290947645.0,7.31,5.77,7.16,17.29
2024-12-27,301631,130.56,128.7,134.77,128.7,20515,270096474.0,4.62,-1.98,-2.6,15.75
2024-12-30,301631,127.27,125.0,128.79,124.93,11138,140918062.0,3.0,-2.87,-3.7,8.55
2024-12-31,301631,125.08,131.8,133.5,123.18,28510,368376001.0,8.26,5.44,6.8,21.88
2025-01-02,301631,131.0,128.3,138.38,126.91,28883,384813947.0,8.7,-2.66,-3.5,22.17
2025-01-03,301631,125.6,118.51,127.0,118.49,22157,272586302.0,6.63,-7.63,-9.79,17.01
2025-01-06,301631,116.5,113.5,116.5,112.88,13711,156580759.0,3.05,-4.23,-5.01,10.52
2025-01-07,301631,113.01,116.18,116.25,113.01,10662,122226863.0,2.85,2.36,2.68,8.18
2025-01-08,301631,115.0,116.65,118.49,113.7,13883,161390276.0,4.12,0.4,0.47,10.66
2025-01-09,301631,115.07,120.53,121.92,115.07,18471,221474365.0,5.87,3.33,3.88,14.18
2025-01-10,301631,120.01,115.23,120.49,115.11,13581,159652094.0,4.46,-4.4,-5.3,10.42
2025-01-13,301631,113.6,115.5,116.88,112.8,8540,98008538.0,3.54,0.23,0.27,6.56
2025-01-14,301631,115.6,124.48,125.0,114.88,20992,255307453.0,8.76,7.77,8.98,16.11
2025-01-15,301631,123.62,121.92,124.88,121.48,13472,165339797.0,2.73,-2.06,-2.56,10.34
2025-01-16,301631,122.79,123.65,126.91,122.42,15406,191466783.0,3.68,1.42,1.73,11.83
2025-01-17,301631,122.5,121.43,123.8,121.2,10716,131033345.76,2.1,-1.8,-2.22,8.23
