datetime,sec_code,open,close,high,low,volume,turnover,amplitude,price_change_percentage,price_change_amount,turnover_rate
2025-03-25,688757,31.0,27.46,31.0,25.77,251104,693741990.0,57.6,202.42,18.38,77.09
2025-03-26,688757,25.5,24.49,25.9,24.49,148890,373061331.0,5.13,-10.82,-2.97,45.71
2025-03-27,688757,24.14,24.37,25.94,24.14,128548,321846065.0,7.35,-0.49,-0.12,39.46
2025-03-28,688757,24.6,22.97,24.66,22.84,104848,246154554.0,7.47,-5.74,-1.4,32.19
2025-03-31,688757,23.25,23.79,27.14,22.95,168390,418244762.0,18.24,3.57,0.82,51.69
2025-04-01,688757,22.98,24.61,25.78,22.8,123590,297489646.0,12.53,3.45,0.82,37.94
2025-04-02,688757,24.18,24.26,25.07,24.11,84997,208419394.0,3.9,-1.42,-0.35,26.09
