datetime,sec_code,open,close,high,low,volume,turnover,amplitude,price_change_percentage,price_change_amount,turnover_rate
2024-10-24,301592,265.41,170.0,289.99,158.18,136417,2689028571.0,446.97,476.47,140.51,77.95
2024-10-25,301592,158.0,148.0,175.0,143.55,95661,1483109441.0,18.5,-12.94,-22.0,54.66
2024-10-28,301592,145.0,146.9,160.0,139.0,78842,1170697849.0,14.19,-0.74,-1.1,45.05
2024-10-29,301592,140.11,139.6,148.95,137.81,70404,996221900.0,7.58,-4.97,-7.3,40.23
2024-10-30,301592,136.9,122.7,141.77,122.56,64964,848991010.0,13.76,-12.11,-16.9,37.12
2024-10-31,301592,119.8,114.19,120.0,113.02,58382,678059365.0,5.69,-6.94,-8.51,33.36
2024-11-01,301592,112.92,104.18,113.46,103.88,47916,515505721.0,8.39,-8.77,-10.01,27.38
2024-11-04,301592,104.38,106.7,110.35,104.37,37630,402136086.0,5.74,2.42,2.52,21.5
2024-11-05,301592,104.69,128.04,128.04,103.5,61258,717810965.0,23.0,20.0,21.34,35.0
2024-11-06,301592,140.0,153.65,153.65,138.18,96868,1460241376.0,12.08,20.0,25.61,55.35
2024-11-07,301592,149.0,140.97,155.0,135.0,91112,1305272608.0,13.02,-8.25,-12.68,52.06
2024-11-08,301592,138.94,156.2,167.0,137.49,96333,1480764907.0,20.93,10.8,15.23,55.05
2024-11-11,301592,158.0,159.87,165.0,150.81,69473,1095940557.0,9.08,2.35,3.67,39.7
2024-11-12,301592,154.0,148.61,155.0,145.97,52163,776669330.0,5.65,-7.04,-11.26,29.81
2024-11-13,301592,148.0,151.59,157.99,144.58,44209,668851218.0,9.02,2.01,2.98,25.26
2024-11-14,301592,149.38,144.6,151.59,144.6,28295,414263224.0,4.61,-4.61,-6.99,16.17
2024-11-15,301592,150.0,148.74,153.8,147.3,41000,617621319.0,4.5,2.86,4.14,23.43
2024-11-18,301592,150.06,157.47,170.0,150.06,57634,919168904.0,13.41,5.87,8.73,32.93
2024-11-19,301592,151.0,153.21,156.88,130.0,41337,611422036.0,17.07,-2.71,-4.26,23.62
2024-11-20,301592,153.17,174.5,183.85,147.15,76492,1261330135.0,23.95,13.9,21.29,43.71
2024-11-21,301592,174.3,175.66,192.0,171.11,69321,1252803204.0,11.97,0.66,1.16,39.61
2024-11-22,301592,171.99,180.35,189.37,167.14,64450,1134082553.0,12.66,2.67,4.69,36.83
2024-11-25,301592,174.0,175.08,184.97,172.22,45110,803002780.0,7.07,-2.92,-5.27,25.78
2024-11-26,301592,173.06,177.35,184.8,164.0,43419,765289594.0,11.88,1.3,2.27,24.81
2024-11-27,301592,170.0,182.09,186.0,168.12,44272,790566175.0,10.08,2.67,4.74,25.3
2024-11-28,301592,180.01,172.52,183.99,171.5,37587,664695808.0,6.86,-5.26,-9.57,21.48
2024-11-29,301592,170.0,165.92,176.0,164.91,38067,647752947.0,6.43,-3.83,-6.6,21.75
2024-12-02,301592,164.63,166.67,169.58,161.55,29063,483882104.0,4.84,0.45,0.75,16.61
2024-12-03,301592,166.61,168.16,171.68,164.61,24484,412023656.0,4.24,0.89,1.49,13.99
2024-12-04,301592,166.19,156.9,167.31,155.53,33675,539395115.0,7.01,-6.7,-11.26,19.24
2024-12-05,301592,155.0,179.65,186.0,153.51,57138,974854250.0,20.71,14.5,22.75,32.65
2024-12-06,301592,180.0,182.24,195.99,173.58,58051,1066214292.0,12.47,1.44,2.59,33.17
2024-12-09,301592,179.0,189.01,192.6,177.3,48081,894351518.0,8.4,3.71,6.77,27.48
2024-12-10,301592,192.6,184.21,195.51,184.1,39941,754071174.0,6.04,-2.54,-4.8,22.82
2024-12-11,301592,184.25,185.23,188.5,182.02,25581,473234518.0,3.52,0.55,1.02,14.62
2024-12-12,301592,184.0,182.12,187.0,179.2,20752,377942877.0,4.21,-1.68,-3.11,11.86
2024-12-13,301592,179.98,172.75,181.4,172.66,25769,454569401.0,4.8,-5.14,-9.37,14.72
2024-12-16,301592,171.11,169.69,174.0,167.0,21432,362804496.0,4.05,-1.77,-3.06,12.25
2024-12-17,301592,170.8,168.0,174.88,165.6,22294,378128355.0,5.47,-1.0,-1.69,12.74
2024-12-18,301592,168.0,168.74,169.6,161.7,17595,292924131.0,4.7,0.44,0.74,10.05
2024-12-19,301592,166.0,164.4,168.65,162.6,16221,268128921.0,3.59,-2.57,-4.34,9.27
2024-12-20,301592,164.51,169.3,172.6,162.88,21030,355596954.0,5.91,2.98,4.9,12.02
2024-12-23,301592,171.3,162.09,172.5,156.65,22227,363702686.0,9.36,-4.26,-7.21,12.7
2024-12-24,301592,162.7,161.89,163.0,157.67,12393,199136229.0,3.29,-0.12,-0.2,7.08
2024-12-25,301592,162.44,163.53,168.0,161.61,15341,253159584.0,3.95,1.01,1.64,8.77
