datetime,sec_code,open,close,high,low,volume,turnover,amplitude,price_change_percentage,price_change_amount,turnover_rate
2024-11-07,301633,187.0,137.13,187.0,133.1,107874,1608757505.0,142.07,261.44,99.19,77.5
2024-11-08,301633,145.8,132.9,158.5,130.06,83481,1193034720.0,20.74,-3.08,-4.23,59.97
2024-11-11,301633,122.0,126.03,131.33,116.7,67798,825635572.0,11.01,-5.17,-6.87,48.71
2024-11-12,301633,123.99,119.09,127.0,118.13,45519,553966746.0,7.04,-5.51,-6.94,32.7
2024-11-13,301633,116.5,119.88,128.0,114.13,48853,594424198.0,11.65,0.66,0.79,35.1
2024-11-14,301633,117.56,110.54,118.4,110.0,42602,486119322.0,7.01,-7.79,-9.34,30.61
2024-11-15,301633,108.5,107.61,112.15,107.02,21868,239170237.0,4.64,-2.65,-2.93,15.71
2024-11-18,301633,110.05,111.99,115.4,108.73,30294,339923747.0,6.2,4.07,4.38,21.76
2024-11-19,301633,110.93,111.89,111.99,107.44,20785,227126130.0,4.06,-0.09,-0.1,14.93
2024-11-20,301633,111.88,112.0,112.0,109.33,19909,220372543.0,2.39,0.1,0.11,14.3
2024-11-21,301633,112.04,115.16,116.63,111.88,27980,322866004.0,4.24,2.82,3.16,20.1
2024-11-22,301633,112.78,105.78,112.86,105.6,26793,291866668.0,6.3,-8.15,-9.38,19.25
2024-11-25,301633,103.61,98.33,104.99,96.5,23816,236843719.0,8.03,-7.04,-7.45,17.11
2024-11-26,301633,98.25,98.5,101.9,97.2,15589,154493559.0,4.78,0.17,0.17,11.2
2024-11-27,301633,96.1,95.02,96.21,92.0,18748,175752229.0,4.27,-3.53,-3.48,13.47
2024-11-28,301633,96.0,92.02,96.27,91.85,16258,153197852.0,4.65,-3.16,-3.0,11.68
2024-11-29,301633,91.88,92.39,93.48,90.6,15918,146751176.0,3.13,0.4,0.37,11.44
2024-12-02,301633,92.03,92.89,93.4,91.6,14647,135662366.0,1.95,0.54,0.5,10.52
2024-12-03,301633,92.5,93.22,94.74,92.5,14604,136386080.0,2.41,0.36,0.33,10.49
2024-12-04,301633,92.96,90.39,93.42,90.38,15214,139621398.0,3.26,-3.04,-2.83,10.93
2024-12-05,301633,90.28,92.88,92.88,89.8,14420,131926112.0,3.41,2.75,2.49,10.36
2024-12-06,301633,92.7,92.63,93.7,90.52,16114,148446662.0,3.42,-0.27,-0.25,11.58
2024-12-09,301633,92.68,97.33,98.62,92.0,26158,248801290.0,7.15,5.07,4.7,18.79
2024-12-10,301633,100.7,95.77,101.87,95.55,22681,223021432.0,6.49,-1.6,-1.56,16.29
2024-12-11,301633,94.5,93.62,95.8,93.26,14044,131713102.0,2.65,-2.24,-2.15,10.09
2024-12-12,301633,93.66,92.91,93.66,91.8,10656,98552295.0,1.99,-0.76,-0.71,7.65
2024-12-13,301633,92.03,91.1,92.94,90.9,9394,86337579.0,2.2,-1.95,-1.81,6.75
2024-12-16,301633,90.98,92.3,94.0,89.46,12821,117364966.0,4.98,1.32,1.2,9.21
2024-12-17,301633,90.91,90.04,91.94,90.0,9136,82854166.0,2.1,-2.45,-2.26,6.56
2024-12-18,301633,90.04,89.01,90.39,88.6,7891,70329445.0,1.99,-1.14,-1.03,5.67
2024-12-19,301633,88.5,88.13,88.5,87.1,7865,69029124.0,1.57,-0.99,-0.88,5.65
2024-12-20,301633,88.0,89.17,89.7,87.48,7616,67732659.0,2.52,1.18,1.04,5.47
2024-12-23,301633,88.92,85.77,89.41,85.77,10311,90098057.0,4.08,-3.81,-3.4,7.41
2024-12-24,301633,85.76,90.78,91.9,84.88,15767,139789244.0,8.18,5.84,5.01,11.33
2024-12-25,301633,89.08,87.16,90.56,86.08,9611,84603588.0,4.94,-3.99,-3.62,6.9
