datetime,sec_code,open,close,high,low,volume,turnover,amplitude,price_change_percentage,price_change_amount,turnover_rate
2023-07-12,688638,82.0,77.35,84.2,77.0,44591,355616941.0,8.58,-7.81,-6.55,49.84
2023-07-13,688638,77.8,75.23,78.8,75.06,25977,198715361.0,4.84,-2.74,-2.12,29.03
2023-07-14,688638,76.22,74.22,76.48,73.91,18779,140555836.0,3.42,-1.34,-1.01,20.99
2023-07-17,688638,73.31,72.08,74.0,71.8,13090,94800121.0,2.96,-2.88,-2.14,14.63
2023-07-18,688638,72.5,72.17,73.18,71.7,9732,70270300.0,2.05,0.12,0.09,10.88
2023-07-19,688638,71.99,70.9,72.23,70.5,11881,84399928.0,2.4,-1.76,-1.27,13.28
2023-07-20,688638,70.77,70.98,72.72,70.77,10781,77415029.0,2.75,0.11,0.08,12.05
2023-07-21,688638,70.99,69.64,71.2,69.38,8527,59631074.0,2.56,-1.89,-1.34,9.53
2023-07-24,688638,69.82,68.95,70.29,68.85,5477,37919622.0,2.07,-0.99,-0.69,6.12
2023-07-25,688638,69.63,69.6,69.68,69.13,4698,32605402.0,0.8,0.94,0.65,5.25
2023-07-26,688638,69.53,69.02,69.6,68.85,3711,25649784.0,1.08,-0.83,-0.58,4.15
2023-07-27,688638,69.0,69.2,69.31,68.66,3935,27159361.0,0.94,0.26,0.18,4.4
2023-07-28,688638,69.2,68.95,69.26,68.17,4379,30105184.0,1.58,-0.36,-0.25,4.89
2023-07-31,688638,69.15,69.27,69.94,68.74,4122,28618448.0,1.74,0.46,0.32,4.61
2023-08-01,688638,69.29,69.35,69.86,69.05,3124,21713321.0,1.17,0.12,0.08,3.49
2023-08-02,688638,69.4,69.53,70.67,69.34,4964,34755360.0,1.92,0.26,0.18,5.55
2023-08-03,688638,69.69,69.75,70.39,69.42,2870,20019050.0,1.4,0.32,0.22,3.21
2023-08-04,688638,69.77,68.53,70.2,68.51,5774,39915447.0,2.42,-1.75,-1.22,6.45
2023-08-07,688638,68.72,67.93,68.93,67.46,5148,34882676.0,2.15,-0.88,-0.6,5.75
2023-08-08,688638,68.09,68.03,68.38,67.65,2086,14197313.0,1.07,0.15,0.1,2.33
2023-08-09,688638,68.25,69.05,69.69,67.55,6331,43439054.0,3.15,1.5,1.02,7.08
2023-08-10,688638,68.6,71.14,71.44,68.6,11730,82660941.0,4.11,3.03,2.09,13.11
2023-08-11,688638,70.8,69.61,70.8,69.59,5144,36019977.0,1.7,-2.15,-1.53,5.75
2023-08-14,688638,69.11,68.77,69.25,68.3,3341,22973739.0,1.36,-1.21,-0.84,3.73
2023-08-15,688638,68.47,68.23,68.97,68.0,3341,22818583.0,1.41,-0.79,-0.54,3.73
2023-08-16,688638,68.13,67.57,69.0,67.4,4276,29066011.0,2.35,-0.97,-0.66,4.78
2023-08-17,688638,67.29,68.28,68.38,67.2,2807,19033429.0,1.75,1.05,0.71,3.14
2023-08-18,688638,72.0,72.44,77.77,72.0,26983,199726281.0,8.45,6.09,4.16,30.16
2023-08-21,688638,71.1,71.3,73.85,70.06,19214,137727884.0,5.23,-1.57,-1.14,21.47
2023-08-22,688638,70.92,68.77,71.66,67.4,14393,99165676.0,5.97,-3.55,-2.53,16.09
2023-08-23,688638,68.82,66.49,68.82,66.02,6869,45920207.0,4.07,-3.32,-2.28,7.68
2023-08-24,688638,66.37,66.01,66.79,64.75,5260,34475666.0,3.07,-0.72,-0.48,5.88
2023-08-25,688638,66.29,64.4,67.47,64.4,5612,36832297.0,4.65,-2.44,-1.61,6.27
2023-08-28,688638,67.77,66.2,68.56,66.2,8223,55304179.0,3.66,2.8,1.8,9.19
2023-08-29,688638,66.25,71.3,72.6,66.0,13446,93880868.0,9.97,7.7,5.1,15.03
2023-08-30,688638,71.48,73.73,75.88,71.02,16614,122247755.0,6.82,3.41,2.43,18.57
2023-08-31,688638,72.14,73.93,76.51,72.14,13779,102962641.0,5.93,0.27,0.2,15.4
2023-09-01,688638,73.25,72.55,74.98,71.88,8386,61124053.0,4.19,-1.87,-1.38,9.37
2023-09-04,688638,71.89,71.08,72.9,70.21,6463,45857317.0,3.71,-2.03,-1.47,7.22
2023-09-05,688638,70.89,70.06,71.32,69.7,4245,29827972.0,2.28,-1.44,-1.02,4.74
2023-09-06,688638,70.5,71.49,71.7,69.74,5874,41617248.0,2.8,2.04,1.43,6.56
2023-09-07,688638,71.57,69.79,71.57,69.72,4231,29678275.0,2.59,-2.38,-1.7,4.73
2023-09-08,688638,69.87,70.17,70.46,69.6,3517,24575068.0,1.23,0.54,0.38,3.93
2023-09-11,688638,69.95,69.45,69.95,68.68,3144,21773163.0,1.81,-1.03,-0.72,3.51
2023-09-12,688638,69.45,69.3,69.68,68.9,1833,12694542.0,1.12,-0.22,-0.15,2.05
2023-09-13,688638,69.5,67.78,69.5,67.5,3092,21084559.0,2.89,-2.19,-1.52,3.46
2023-09-14,688638,67.53,66.66,67.73,66.06,2281,15229212.0,2.46,-1.65,-1.12,2.55
2023-09-15,688638,66.86,66.6,67.48,66.17,2170,14501420.0,1.97,-0.09,-0.06,2.43
2023-09-18,688638,66.2,67.02,68.4,65.9,2369,15961082.0,3.75,0.63,0.42,2.65
2023-09-19,688638,67.02,66.22,67.06,65.89,2245,14860408.0,1.75,-1.19,-0.8,2.51
2023-09-20,688638,66.69,66.0,66.69,65.89,1018,6739649.0,1.21,-0.33,-0.22,1.14
2023-09-21,688638,65.89,65.75,66.66,65.63,1557,10254375.0,1.56,-0.38,-0.25,1.74
2023-09-22,688638,65.63,66.97,66.97,65.5,2228,14818787.0,2.24,1.86,1.22,2.49
2023-09-25,688638,66.81,65.29,66.88,65.1,3616,23788845.0,2.66,-2.51,-1.68,4.04
2023-09-26,688638,65.38,64.36,65.38,64.36,4644,30029345.0,1.56,-1.42,-0.93,5.19
2023-09-27,688638,64.37,64.63,65.18,64.3,2951,19116838.0,1.37,0.42,0.27,3.3
2023-09-28,688638,65.04,64.9,65.21,64.64,2303,14947188.0,0.88,0.42,0.27,2.57
2023-10-09,688638,65.0,63.96,65.0,63.96,2977,19151774.0,1.6,-1.45,-0.94,3.33
2023-10-10,688638,64.23,62.39,64.38,62.38,4175,26384858.0,3.13,-2.45,-1.57,4.67
2023-10-11,688638,62.46,62.89,63.63,62.4,2425,15275522.0,1.97,0.8,0.5,2.71
2023-10-12,688638,63.4,63.27,63.58,62.51,2134,13442184.0,1.7,0.6,0.38,2.38
2023-10-13,688638,63.18,61.76,63.18,61.62,3323,20645267.0,2.47,-2.39,-1.51,3.71
2023-10-16,688638,61.9,60.94,62.31,60.66,2226,13600119.0,2.67,-1.33,-0.82,2.49
2023-10-17,688638,61.02,61.02,61.34,60.6,1465,8926343.0,1.21,0.13,0.08,1.64
2023-10-18,688638,60.87,59.56,60.94,59.56,2555,15280133.0,2.26,-2.39,-1.46,2.86
2023-10-19,688638,59.47,59.61,60.76,59.4,2379,14276095.0,2.28,0.08,0.05,2.66
2023-10-20,688638,59.61,59.48,60.28,59.18,2302,13733572.0,1.85,-0.22,-0.13,2.57
2023-10-23,688638,59.48,57.64,59.48,57.3,2168,12606718.0,3.67,-3.09,-1.84,2.42
2023-10-24,688638,57.65,59.14,59.2,57.47,2423,14210676.0,3.0,2.6,1.5,2.71
