序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
36,300769,德方纳米,48.21,12.51,5.36,345631.0,1564497619.58,24.74,51.42,40.82,41.92,42.85,1.67,13.73,-12.33,2.22,13507864926.0,12136742058.0,-0.04,-0.39,105.24,-21.01
41,688343,云天励飞-U,39.8,11.86,4.22,196188.0,730090312.0,15.54,39.85,34.32,35.3,35.58,1.29,7.61,-24.93,3.51,14134322056.0,10262844437.0,0.03,-0.05,72.82,-19.19
42,300772,运达股份,14.95,11.82,1.58,376801.0,535077875.71,12.42,14.96,13.3,13.3,13.37,1.9,5.42,29.49,1.92,10491478767.0,10389941731.0,-0.07,0.47,49.8,41.17
57,300315,掌趣科技,6.62,10.33,0.62,5136181.0,3270047568.79,16.83,6.83,5.82,5.89,6.0,1.69,19.8,69.19,3.7,18077581868.0,17173848655.0,-0.15,0.0,64.68,28.54
60,002131,利欧股份,3.04,10.14,0.28,14755666.0,4288104860.64,12.32,3.04,2.7,2.8,2.76,1.22,25.22,-96.77,1.6,20585376501.0,17787759665.0,0.0,0.0,117.14,35.11
67,600556,天下秀,5.68,10.08,0.52,1635468.0,885517775.0,13.95,5.68,4.96,5.07,5.16,1.53,9.05,117.72,2.65,10268006607.0,10268006607.0,0.0,1.61,64.16,-3.57
68,002467,二六三,8.09,10.07,0.74,7518601.0,5814260511.92,16.05,8.09,6.91,7.66,7.35,5.93,55.15,129.38,5.91,11126758453.0,11029717446.0,0.0,0.0,149.69,74.35
77,600410,华胜天成,9.21,10.04,0.84,1568803.0,1444346969.0,2.27,9.21,9.02,9.21,8.37,1.03,14.31,-35.39,2.47,10098716030.0,10098716030.0,0.0,0.0,151.64,37.05
81,603103,横店影视,16.45,10.03,1.5,211567.0,320277803.0,16.45,16.45,13.99,14.5,14.95,4.36,3.34,450.02,7.68,10432590000.0,10432590000.0,0.98,3.92,58.33,-6.85
89,600641,万业企业,20.65,10.02,1.88,485585.0,969869294.0,13.53,20.65,18.11,18.8,18.77,1.91,5.22,-455.01,2.31,19217507848.0,19217507848.0,0.0,0.0,107.54,19.99
91,600776,东方通信,14.17,10.02,1.29,1244772.0,1696823045.0,10.02,14.17,12.88,13.18,12.88,3.45,13.02,128.8,5.15,17797520907.0,13546520907.0,0.0,0.0,60.11,26.18
98,603366,日出东方,18.35,10.01,1.67,1263446.0,2226227929.0,14.99,18.35,15.85,17.18,16.68,0.81,15.54,166.4,3.74,14923651318.0,14919432653.0,0.0,0.0,391.96,198.37
104,002605,姚记科技,32.99,10.0,3.0,435404.0,1332511879.82,14.94,32.99,28.51,28.71,29.99,1.28,13.09,24.15,4.12,13656795809.0,10972756526.0,0.0,0.0,68.32,54.74
109,600340,华夏幸福,2.86,10.0,0.26,3300185.0,912734607.0,13.08,2.86,2.52,2.55,2.6,0.83,8.48,-3.75,1.92,11193240178.0,11134995477.0,0.0,0.0,177.67,64.37
111,600292,远达环保,14.08,10.0,1.28,606054.0,824719267.0,11.09,14.08,12.66,12.84,12.8,0.7,7.76,93.31,2.12,10993901811.0,10993901811.0,0.0,0.0,195.8,133.11
113,600120,浙江东方,5.06,10.0,0.46,1241072.0,595887044.0,11.52,5.06,4.53,4.57,4.6,2.03,3.63,30.99,1.11,17281830350.0,17281830350.0,0.0,2.64,44.57,43.34
124,000503,国新健康,13.86,10.0,1.26,874913.0,1176616914.26,13.02,13.86,12.22,12.6,12.6,1.18,9.16,-329.62,9.79,13600991694.0,13237259389.0,0.0,0.0,110.64,5.16
132,000712,锦龙股份,16.3,9.99,1.48,1125511.0,1754401380.44,9.92,16.3,14.83,14.94,14.82,1.87,12.57,-114.15,6.11,14604800000.0,14590977193.0,0.0,0.0,62.03,11.11
171,688798,艾为电子,74.3,8.69,5.94,44266.0,314566668.0,11.88,74.66,66.54,68.08,68.36,1.29,3.27,72.87,4.48,17287331888.0,10051596965.0,-0.03,0.16,71.4,7.71
185,002572,索菲亚,18.24,8.12,1.37,283236.0,499779442.34,9.01,18.25,16.73,16.8,16.87,2.2,4.35,14.3,2.52,17565980271.0,11882696429.0,0.0,0.0,34.71,22.01
192,603009,北特科技,34.16,8.0,2.53,151963.0,497962973.0,9.36,34.16,31.2,31.5,31.63,0.93,4.49,142.63,6.53,11564053899.0,11560050415.0,0.18,0.77,126.83,131.28
194,688506,百利天恒-U,219.2,7.93,16.11,19464.0,411897417.0,9.15,219.96,201.37,203.82,203.09,1.15,2.15,16.22,20.72,87899200000.0,19826857008.0,-0.32,-0.23,26.77,56.68
203,300118,东方日升,14.3,7.68,1.02,715232.0,996005027.58,10.17,14.5,13.15,13.2,13.28,1.02,7.72,-7.84,1.23,16302198241.0,13253612944.0,0.0,0.14,54.59,-18.05
209,300182,捷成股份,6.51,7.6,0.46,3113521.0,1930013208.65,12.07,6.56,5.83,5.88,6.05,1.0,13.9,35.93,2.09,17341504864.0,14581856754.0,0.15,0.0,76.9,28.15
214,300620,光库科技,50.55,7.51,3.53,211769.0,1019339775.94,12.14,50.6,44.89,46.99,47.02,2.79,8.58,169.28,6.56,12596076550.0,12481601171.0,0.0,0.02,51.71,11.84
219,603306,华懋科技,31.45,7.41,2.17,245514.0,738172483.0,13.18,31.74,27.88,29.11,29.28,1.06,7.5,39.35,3.01,10290417293.0,10290417293.0,0.0,-0.03,89.0,16.87
222,300455,航天智装,14.34,7.34,0.98,216258.0,297283230.83,10.18,14.35,12.99,13.27,13.36,1.65,3.05,279.82,5.69,10292792202.0,10161645732.0,0.0,0.0,32.17,20.2
237,002992,宝明科技,64.99,7.07,4.29,37197.0,231567369.15,10.36,65.47,59.18,62.01,60.7,1.23,2.37,-120.8,16.06,11830981394.0,10216682111.0,-0.03,0.06,50.34,-16.68
244,600458,时代新材,13.35,6.97,0.87,125064.0,160399167.0,8.73,13.35,12.26,12.46,12.48,1.17,1.56,27.09,1.83,11006382829.0,10717355329.0,0.23,0.3,49.0,47.84
250,603218,日月股份,12.82,6.92,0.83,193519.0,240411963.0,7.92,12.83,11.88,11.99,11.99,1.38,1.88,19.57,1.32,13213481055.0,13164300330.0,0.08,0.0,36.38,6.04
257,000681,视觉中国,15.1,6.79,0.96,746393.0,1092198055.09,10.96,15.11,13.56,13.9,14.14,2.39,11.04,97.12,3.02,10578719284.0,10207959274.0,0.0,0.0,39.17,2.93
258,300525,博思软件,18.25,6.79,1.16,175027.0,308240801.32,8.37,18.25,16.82,16.83,17.09,1.05,2.83,296.72,5.9,13802949518.0,11267466233.0,0.0,0.16,65.91,23.9
267,000829,天音控股,14.04,6.69,0.88,766184.0,1032847126.29,10.64,14.1,12.7,12.95,13.16,0.77,7.48,521.12,4.82,14392410150.0,14378780553.0,0.07,-0.21,59.0,47.48
279,603678,火炬电子,31.53,6.52,1.93,154633.0,472201884.0,9.26,31.53,28.79,29.28,29.6,1.83,3.37,47.97,2.66,14451459632.0,14451459632.0,0.06,0.25,47.13,20.11
285,603171,税友股份,31.09,6.47,1.89,94006.0,283665587.0,9.14,31.27,28.6,28.88,29.2,1.33,2.32,81.81,5.07,12646269443.0,12619120100.0,0.0,0.13,30.52,-11.75
