序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
20,300377,赢时胜,37.44,20.0,6.24,2791879.0,9701313977.76,21.89,37.44,30.61,30.61,31.2,1.57,43.31,-1516.72,9.48,28120250995.0,24137389374.0,0.0,0.81,581.97,384.97
29,688017,绿的谐波,124.3,16.99,18.05,116287.0,1375532599.0,20.23,127.5,106.01,106.05,106.25,2.45,6.89,267.42,10.35,20977348792.0,20977348792.0,0.03,0.24,101.2,-18.86
47,300024,机器人,19.96,11.07,1.99,2331242.0,4484281883.76,17.14,20.88,17.8,17.8,17.97,2.27,15.21,-235.03,7.19,31249774202.0,30594523709.0,0.3,0.3,119.1,68.16
51,300476,胜宏科技,40.56,10.22,3.76,600139.0,2372016877.48,11.39,41.29,37.1,37.1,36.8,2.12,7.02,34.32,4.21,34990651279.0,34687265399.0,-0.02,-0.15,20.86,122.12
68,601933,永辉超市,5.04,10.04,0.46,5152216.0,2554369525.0,6.99,5.04,4.72,4.79,4.58,1.61,5.68,-440.55,7.89,45738186445.0,45738186445.0,0.0,0.0,128.05,78.72
102,603728,鸣志电器,53.74,10.01,4.89,192173.0,1017064573.0,7.41,53.74,50.12,50.32,48.85,1.96,4.59,357.16,7.82,22510745550.0,22510745550.0,0.0,0.0,60.18,-18.34
156,002670,国盛金控,12.8,9.97,1.16,1209864.0,1521408657.1,10.31,12.8,11.6,11.6,11.64,2.77,7.45,223.5,2.25,24769083558.0,20778888115.0,0.0,0.0,43.82,37.34
165,000564,供销大集,3.33,9.9,0.3,17353656.0,5563555724.08,9.24,3.33,3.05,3.09,3.03,1.78,12.19,-406.32,3.64,60133350969.0,47409674925.0,0.0,0.0,105.56,128.08
166,002131,利欧股份,3.67,9.88,0.33,1834087.0,673110105.16,0.0,3.67,3.67,3.67,3.34,0.12,3.13,-116.82,1.93,24851424921.0,21474038806.0,0.0,0.0,165.94,63.11
182,000997,新 大 陆,21.37,8.98,1.76,510642.0,1073201717.66,10.05,21.57,19.6,19.62,19.61,2.61,4.98,20.2,3.15,22055184964.0,21933029706.0,-0.14,0.14,81.72,12.12
211,300803,指南针,99.7,7.66,7.09,420736.0,4175410381.9,15.59,107.44,93.0,93.0,92.61,1.92,10.4,-278.49,22.38,40827607723.0,40351366844.0,-0.09,-0.18,186.66,65.45
228,600131,国网信通,22.22,7.19,1.49,273162.0,595821492.0,8.59,22.58,20.8,20.8,20.73,2.1,2.28,67.22,4.19,26703085958.0,26573012411.0,0.0,0.0,38.1,48.73
229,300085,银之杰,52.71,7.13,3.51,1507499.0,7853691187.08,20.93,58.0,47.7,48.35,49.2,1.84,23.75,-443.43,61.7,37247022600.0,33463805836.0,0.04,-0.02,564.69,268.09
243,002517,恺英网络,13.62,6.82,0.87,713657.0,945852544.19,7.84,13.66,12.66,12.76,12.75,1.35,3.73,17.18,4.84,29317290175.0,26072190174.0,-0.07,-0.22,58.19,24.16
252,603486,科沃斯,51.3,6.65,3.2,96921.0,485270025.0,8.81,52.0,47.76,47.76,48.1,2.29,1.7,35.99,4.31,29512641708.0,29200040028.0,-0.02,0.29,35.32,24.7
272,601099,太平洋,4.61,6.22,0.27,8692503.0,4007217054.0,10.6,4.77,4.31,4.32,4.34,3.3,12.75,172.95,3.27,31423218466.0,31423218466.0,0.22,0.0,48.71,24.59
274,600873,梅花生物,10.68,6.16,0.62,594243.0,626454452.0,6.86,10.75,10.06,10.08,10.06,1.54,2.08,11.45,2.14,30467783850.0,30467783850.0,0.0,-0.09,11.48,19.33
286,688318,财富趋势,176.23,6.03,10.02,84926.0,1494025539.0,13.18,186.9,165.0,165.56,166.21,1.77,4.64,167.9,9.29,32239953250.0,32239953250.0,0.0,-0.09,115.65,96.84
297,688578,艾力斯,61.13,5.89,3.4,104419.0,627507553.0,7.08,61.66,57.57,57.59,57.73,1.41,2.32,19.41,5.66,27508500000.0,27508500000.0,0.23,0.3,30.56,49.06
301,600398,海澜之家,6.14,5.86,0.34,1256566.0,762289005.0,9.48,6.33,5.78,5.79,5.8,3.05,2.62,11.59,1.76,29489009617.0,29489009617.0,-0.16,0.0,12.04,-7.39
312,002130,沃尔核材,18.3,5.78,1.0,1266218.0,2248180810.1,6.88,18.3,17.11,17.39,17.3,1.87,10.14,26.4,4.32,23056143685.0,22859429061.0,0.11,0.49,35.76,147.97
344,603920,世运电路,30.88,5.43,1.59,300327.0,916524940.0,9.35,31.75,29.01,29.1,29.29,1.22,4.51,31.92,3.33,20551602499.0,20551602499.0,0.03,-0.06,64.69,73.68
352,300058,蓝色光标,10.96,5.38,0.56,5524112.0,5999389858.69,13.65,11.58,10.16,10.31,10.4,1.01,22.55,168.66,3.48,27693768925.0,26847571250.0,-0.09,-0.18,119.64,52.86
376,688521,芯原股份,51.93,5.21,2.57,131838.0,673697772.0,7.54,52.52,48.8,49.1,49.36,1.3,2.65,-49.23,11.17,25983439408.0,25849361809.0,-0.1,0.1,94.64,3.94
402,300558,贝达药业,55.35,5.05,2.66,122879.0,669424755.87,5.83,55.58,52.51,52.6,52.69,1.11,2.95,41.74,4.11,23163193735.0,23090968184.0,0.07,-0.02,61.37,7.73
