序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
14,300459,汤姆猫,7.68,20.0,1.28,10437242.0,7321094908.98,24.06,7.68,6.14,6.15,6.4,1.22,32.95,242.49,8.1,27001428012.0,24329788278.0,0.0,0.0,125.22,55.47
40,300377,赢时胜,32.3,12.15,3.5,1992375.0,6111744580.98,17.43,32.9,27.88,28.5,28.8,1.07,30.9,-1308.49,8.18,24259725084.0,20823655897.0,0.03,1.44,480.94,318.39
117,002624,完美世界,13.53,10.0,1.23,1132626.0,1439014010.22,12.36,13.53,12.01,12.21,12.3,1.55,6.2,-50.63,3.44,26247772506.0,24724116763.0,0.0,0.0,83.58,18.89
121,002312,川发龙蟒,20.02,10.0,1.82,4456940.0,8654015547.86,16.59,20.02,17.0,17.46,18.2,1.45,25.42,66.77,4.03,37824559152.0,35099835070.0,0.0,0.0,210.87,183.57
131,600118,中国卫星,29.4,9.99,2.67,711580.0,2039139686.0,10.96,29.4,26.47,26.55,26.73,3.13,6.02,-1768.85,5.53,34765180569.0,34765180569.0,0.0,0.0,40.0,14.04
134,601615,明阳智能,13.77,9.98,1.25,764263.0,1012854915.0,10.3,13.77,12.48,12.55,12.52,2.6,3.36,29.02,1.16,31279852217.0,31278509642.0,0.0,0.0,58.82,12.5
162,002837,英维克,37.6,9.05,3.12,339751.0,1223220036.97,12.38,37.88,33.61,34.23,34.48,0.93,5.25,59.46,10.03,27967733294.0,24312987275.0,-0.05,0.05,79.47,79.22
177,002202,金风科技,11.34,8.41,0.88,1200932.0,1314612435.94,9.66,11.4,10.39,10.4,10.46,2.27,3.54,20.05,1.3,47912267117.0,38490513530.0,-0.26,0.09,42.46,43.54
179,300364,中文在线,30.79,8.3,2.36,1368848.0,4000746702.94,15.23,31.5,27.17,28.0,28.43,1.33,20.71,-89.6,21.6,22474840838.0,20351400175.0,-0.03,0.06,80.06,19.67
188,688385,复旦微电,41.62,8.08,3.11,138276.0,551638709.0,9.5,41.65,37.99,38.55,38.51,1.77,2.59,59.84,5.97,34089293848.0,22255479248.0,0.02,0.0,56.17,8.02
210,002384,东山精密,26.49,7.6,1.87,1491476.0,3827321346.63,12.06,26.88,23.91,24.65,24.62,1.68,10.76,31.75,2.4,45189654178.0,36723662442.0,0.0,0.0,19.38,47.74
211,600779,水井坊,60.55,7.59,4.27,216751.0,1275550355.0,12.33,61.91,54.97,55.9,56.28,1.88,4.44,19.71,5.95,29570282649.0,29570282649.0,-0.07,-0.12,84.49,4.65
223,002653,海思科,38.51,7.33,2.63,84760.0,318929359.04,8.67,38.66,35.55,35.63,35.88,1.33,1.59,84.72,10.09,43128041025.0,20543854914.0,0.03,0.18,27.14,68.83
242,688608,恒玄科技,260.36,6.99,17.01,24415.0,613095622.0,8.49,260.85,240.18,243.21,243.35,0.98,2.03,81.08,4.87,31255061741.0,31255061741.0,-0.11,0.02,70.67,68.94
245,001696,宗申动力,26.1,6.97,1.7,1126212.0,2877897459.2,9.02,26.6,24.4,24.5,24.4,0.79,12.64,57.3,6.08,29885202612.0,23263966823.0,0.0,0.0,119.51,309.09
246,301358,湖南裕能,53.29,6.94,3.46,107882.0,558331125.61,8.03,53.38,49.38,49.5,49.83,1.22,2.81,61.69,3.51,40354016100.0,20433152350.0,0.17,0.15,111.38,58.93
249,300114,中航电测,68.54,6.93,4.44,249204.0,1670879934.89,8.5,69.08,63.63,65.03,64.1,1.49,4.22,294.19,16.25,40490724601.0,40490724601.0,-0.03,0.0,67.33,56.66
265,300765,新诺威,29.3,6.74,1.85,148273.0,425551402.84,6.78,29.46,27.6,27.6,27.45,1.16,1.19,221.53,10.79,41154573259.0,36539222316.0,0.0,0.1,21.33,-3.14
283,688235,百济神州-U,176.32,6.51,10.77,33192.0,573843905.0,6.7,176.8,165.7,167.0,165.55,1.24,2.88,-49.56,10.08,243621436392.0,20286543443.0,-0.22,-0.2,16.68,26.81
292,603806,福斯特,17.44,6.41,1.05,474772.0,820849404.0,7.87,17.7,16.41,16.55,16.39,2.6,1.82,27.12,2.87,45496353259.0,45496353259.0,0.0,0.0,24.04,1.69
294,603833,欧派家居,71.59,6.37,4.29,45815.0,318598194.0,8.51,71.79,66.06,67.36,67.3,1.27,0.75,16.11,2.42,43609228907.0,43609228907.0,-0.01,0.13,58.35,7.09
296,002465,海格通信,12.56,6.35,0.75,863614.0,1058062457.59,6.94,12.57,11.75,11.75,11.81,1.61,3.55,126.43,2.46,31171834387.0,30542547150.0,0.0,-0.08,41.12,-1.1
304,603606,东方电缆,57.0,6.24,3.35,137140.0,763879054.0,7.05,57.17,53.39,53.39,53.65,1.94,1.99,31.54,5.67,39199775976.0,39199775976.0,0.14,0.18,26.3,34.75
328,300803,指南针,94.79,6.02,5.38,261992.0,2420983182.53,6.93,94.8,88.6,89.0,89.41,1.16,6.47,-264.78,21.28,38816940181.0,38364153091.0,0.0,0.32,166.64,57.3
337,002558,巨人网络,13.06,5.92,0.73,403925.0,508516512.02,8.19,13.07,12.06,12.24,12.33,1.0,2.09,17.7,2.07,25267842980.0,25267842980.0,0.08,0.38,48.24,19.6
355,688568,中科星图,59.25,5.77,3.23,151997.0,866352501.0,8.98,59.33,54.3,55.69,56.02,0.96,2.8,165.73,8.94,32192061353.0,32192061353.0,0.12,0.36,121.41,80.64
358,688169,石头科技,208.84,5.74,11.34,45608.0,937493220.0,8.09,210.0,194.02,197.64,197.5,1.65,2.47,19.65,3.14,38577582228.0,38577582228.0,-0.01,0.02,-6.13,5.07
368,603486,科沃斯,48.87,5.69,2.63,63606.0,304902490.0,6.47,48.87,45.88,46.06,46.24,1.6,1.12,34.29,4.1,28114674469.0,27816880237.0,0.04,0.14,27.93,18.79
380,688183,生益电子,33.47,5.58,1.77,113752.0,371672654.0,8.74,33.64,30.87,31.64,31.7,1.32,1.37,111.95,6.88,27841054727.0,27841054727.0,-0.12,-0.18,71.55,194.37
392,688002,睿创微纳,47.84,5.49,2.49,88224.0,409005308.0,7.17,47.95,44.7,45.0,45.35,1.46,1.97,33.29,4.25,21455113272.0,21455113272.0,-0.02,-0.06,98.18,8.6
400,600885,宏发股份,33.58,5.43,1.73,186916.0,614829183.0,5.97,33.58,31.68,31.8,31.85,2.01,1.79,20.69,3.98,35013055580.0,35013055580.0,0.0,0.09,30.46,23.46
401,600562,国睿科技,20.77,5.43,1.07,224272.0,458618733.0,8.27,21.06,19.43,19.68,19.7,1.14,1.82,52.53,4.49,25793387337.0,25630839593.0,0.1,0.0,58.43,51.61
403,300251,光线传媒,8.76,5.42,0.45,563412.0,475082121.07,7.82,8.79,8.14,8.28,8.31,1.26,2.02,41.82,2.89,25698409864.0,24416076581.0,-0.23,-0.23,26.04,8.42
407,300699,光威复材,34.36,5.4,1.76,145532.0,486969471.36,6.44,34.4,32.3,32.66,32.6,1.35,1.77,34.83,5.19,28565254720.0,28224783164.0,-0.06,-0.06,31.65,31.3
408,002709,天赐材料,25.01,5.39,1.28,671412.0,1611775552.43,9.99,25.37,23.0,23.22,23.73,0.83,4.85,106.39,3.71,47989811124.0,34639270918.0,0.0,0.24,79.67,0.93
416,603899,晨光股份,34.4,5.3,1.73,348470.0,1168893272.0,12.4,35.1,31.05,31.5,32.67,3.87,3.77,23.33,3.69,31779697648.0,31779697648.0,0.03,0.06,30.5,-6.39
421,002085,万丰奥威,19.19,5.27,0.96,1378210.0,2567716142.37,8.12,19.45,17.97,18.2,18.23,0.95,6.49,54.23,5.9,40746079409.0,40746079409.0,0.0,0.0,53.03,300.63
435,002422,科伦药业,32.66,5.19,1.61,237990.0,764922995.82,6.34,32.8,30.83,30.92,31.05,1.3,1.82,15.88,2.32,52308000370.0,42740903565.0,-0.12,0.06,2.0,16.68
440,002739,万达电影,12.31,5.12,0.6,313367.0,375177319.63,7.0,12.33,11.51,11.69,11.71,1.33,1.49,119.28,3.29,26828030051.0,25911656811.0,0.0,-0.08,27.17,-5.45
448,002555,三七互娱,16.96,5.08,0.82,1073883.0,1745311808.98,10.04,17.15,15.53,16.0,16.14,1.33,6.69,14.87,2.99,37614978206.0,27213912425.0,0.0,-0.06,41.22,-4.77
453,300002,神州泰岳,12.29,5.04,0.59,1137365.0,1363728985.12,8.55,12.41,11.41,11.61,11.7,1.0,6.25,16.54,3.53,24119923285.0,22375536641.0,0.0,0.0,51.92,39.82
454,301269,华大九天,128.17,5.04,6.15,111380.0,1372128894.06,9.99,128.2,116.01,119.99,122.02,1.04,4.25,891.47,14.19,69588846405.0,33621739734.0,-0.01,0.49,81.78,21.26
471,603659,璞泰来,20.26,4.97,0.96,397512.0,769075515.0,8.45,20.29,18.66,18.99,19.3,0.73,1.86,26.22,2.35,43298970437.0,43283445280.0,-0.15,-0.1,81.7,-2.55
501,688099,晶晨股份,68.04,4.84,3.14,69961.0,464881570.0,6.22,68.35,64.31,65.0,64.9,1.15,1.67,35.99,4.62,28490716336.0,28490716336.0,-0.37,-0.22,30.6,8.64
