序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
26,300068,南都电源,19.8,12.95,2.27,1562860.0,2978037894.36,16.83,20.36,17.41,17.61,17.53,2.09,18.83,52.49,3.17,17280554643.0,16432143057.0,0.05,0.0,167.21,53.73
59,600185,格力地产,8.64,10.06,0.79,941724.0,808673890.0,4.2,8.64,8.31,8.64,7.85,2.06,5.0,-13.26,3.52,16286450069.0,16286450069.0,0.0,0.0,85.81,19.5
88,002611,东方精工,15.58,10.03,1.42,2103289.0,3275454526.48,1.98,15.58,15.3,15.58,14.16,3.71,21.14,43.16,3.93,18992741977.0,15503218753.0,0.0,0.0,192.31,214.11
102,002045,国光电器,25.15,10.02,2.29,2617997.0,6211866442.08,15.05,25.15,21.71,22.86,22.86,1.57,46.6,43.46,3.38,14146450770.0,14130096982.0,0.0,0.0,121.98,51.05
113,603662,柯力传感,51.21,10.01,4.66,375977.0,1761066693.0,15.81,51.21,43.85,46.26,46.55,1.26,13.39,56.75,5.53,14423779205.0,14381297540.0,0.0,0.0,124.41,43.61
136,002426,胜利精密,2.97,10.0,0.27,5128871.0,1447921547.84,12.96,2.97,2.62,2.67,2.7,2.75,15.07,-264.59,3.06,10105798971.0,10105721676.0,0.0,0.0,85.63,26.92
158,002654,万润科技,14.99,9.98,1.36,1027393.0,1523067086.98,10.05,14.99,13.62,13.62,13.63,1.91,12.16,285.57,8.4,12671085135.0,12670185735.0,0.0,0.0,70.15,20.69
163,603366,日出东方,15.66,9.97,1.42,1639482.0,2444309942.0,17.06,15.66,13.23,15.49,14.24,1.24,20.16,142.01,3.19,12735933496.0,12732333262.0,0.0,0.0,330.22,154.63
174,002131,利欧股份,2.98,9.96,0.27,11277142.0,3218458924.75,12.18,2.98,2.65,2.77,2.71,1.19,19.27,-94.86,1.57,20179086175.0,17436685461.0,0.0,0.0,114.39,32.44
227,002607,中公教育,3.28,8.25,0.25,6539661.0,2110356984.44,10.23,3.33,3.02,3.03,3.03,1.52,13.0,90.23,27.51,20229069996.0,16494281353.0,0.0,0.92,87.43,-19.61
