序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
19,300660,江苏雷利,35.7,20.0,5.95,370762.0,1239482785.76,20.07,35.7,29.73,29.73,29.75,4.24,11.62,35.5,3.37,11401981989.0,11393361510.0,0.0,0.0,61.1,21.02
24,300229,拓尔思,23.06,19.98,3.84,1803107.0,3897824597.08,21.64,23.06,18.9,18.96,19.22,1.21,22.69,340.03,4.73,20145698692.0,18325810871.0,0.0,0.0,109.07,37.02
41,300972,万辰集团,74.65,11.57,7.74,51770.0,370472940.03,14.81,76.28,66.37,66.7,66.91,2.11,3.32,119.87,14.67,13436235659.0,11627345599.0,0.12,0.04,146.53,98.85
46,688503,聚和材料,60.97,11.26,6.17,140588.0,824948573.0,12.34,61.79,55.03,55.03,54.8,1.53,7.86,26.28,3.17,14756791214.0,10902953848.0,-0.15,0.23,116.51,71.99
63,601519,大智慧,9.3,10.06,0.85,1062284.0,964729795.0,10.89,9.3,8.38,8.42,8.45,2.69,5.3,-69.48,12.96,18635950080.0,18635950080.0,0.0,0.0,70.33,26.02
83,002400,省广集团,8.56,10.03,0.78,3540550.0,2988922404.92,10.67,8.56,7.73,7.73,7.78,0.77,20.51,122.69,3.04,14922965816.0,14775969130.0,0.0,0.0,83.69,55.07
92,002747,埃斯顿,18.23,10.02,1.66,525176.0,925255388.98,10.74,18.23,16.45,16.48,16.57,1.77,6.67,-178.24,6.12,15851558388.0,14346516933.0,0.0,0.0,54.62,-1.62
99,603009,北特科技,39.12,10.01,3.56,156956.0,591702691.0,9.67,39.12,35.68,35.95,35.56,1.01,4.64,163.34,7.48,13243143692.0,13238558906.0,0.0,0.0,155.52,164.86
106,600292,远达环保,15.5,10.01,1.41,442172.0,678715828.0,8.45,15.5,14.31,15.0,14.09,0.66,5.66,102.72,2.33,12102661795.0,12102661795.0,0.0,0.0,229.09,156.62
107,003021,兆威机电,74.1,10.01,6.74,145430.0,1041993255.03,7.56,74.1,69.01,69.01,67.36,0.96,7.05,83.87,5.64,17799079350.0,15279211038.0,0.0,0.0,100.6,11.03
115,603662,柯力传感,51.04,10.0,4.64,335431.0,1653996173.0,9.78,51.04,46.5,46.61,46.4,1.06,11.94,56.56,5.52,14375897103.0,14333556463.0,0.0,0.0,129.6,43.13
116,603366,日出东方,21.78,10.0,1.98,2302533.0,4486624046.0,20.0,21.78,17.82,19.65,19.8,1.58,28.32,197.5,4.44,17713194862.0,17708187640.0,0.0,0.0,490.24,254.15
129,603305,旭升集团,14.53,9.99,1.32,425821.0,599413033.0,10.22,14.53,13.18,13.18,13.21,1.19,4.56,31.49,2.14,13559612976.0,13559612976.0,0.0,0.0,66.44,-25.49
136,600206,有研新材,22.47,9.99,2.04,2733451.0,5936984184.0,11.5,22.47,20.12,21.07,20.43,1.06,32.29,124.51,4.9,19022053370.0,19022053370.0,0.0,0.0,156.51,83.43
141,000712,锦龙股份,19.72,9.98,1.79,2124341.0,3941064918.14,16.4,19.72,16.78,17.3,17.93,2.02,23.73,-138.1,7.39,17669120000.0,17652396947.0,0.0,0.0,95.44,34.42
147,600601,方正科技,4.63,9.98,0.42,5290743.0,2334837221.0,14.25,4.63,4.03,4.08,4.21,3.79,12.69,68.98,4.76,19308457919.0,19308457919.0,0.0,0.0,75.38,60.21
151,600787,中储股份,8.82,9.98,0.8,2909830.0,2512905498.0,7.73,8.82,8.2,8.42,8.02,1.18,13.41,37.39,1.4,19183081756.0,19140101913.0,0.0,0.0,96.0,77.46
155,600410,华胜天成,11.14,9.97,1.01,4361072.0,4810581722.0,7.7,11.14,10.36,10.56,10.13,2.57,39.77,-42.8,2.99,12214950769.0,12214950769.0,0.0,0.0,213.8,65.77
202,300168,万达信息,9.58,8.0,0.71,1104015.0,1025768171.6,10.03,9.65,8.76,8.93,8.87,1.17,7.67,-18.54,7.8,13812224867.0,13787368781.0,0.1,0.42,98.34,12.97
213,600872,中炬高新,23.53,7.54,1.65,340012.0,782087722.0,8.23,23.68,21.88,21.9,21.88,3.29,4.41,23.99,3.77,18429222413.0,18141346464.0,-0.08,0.04,40.9,-15.05
233,300298,三诺生物,26.07,7.06,1.72,105755.0,270780731.72,7.76,26.25,24.36,24.49,24.35,2.08,2.32,43.21,4.82,14710398326.0,11870862842.0,-0.11,-0.15,15.3,-13.68
235,300779,惠城环保,90.99,7.03,5.98,54196.0,481258872.1,8.01,91.23,84.42,85.1,85.01,2.01,3.63,307.99,13.53,17837926911.0,13599770851.0,0.1,0.05,112.44,147.59
236,000503,国新健康,14.17,7.02,0.93,678387.0,948929727.95,9.06,14.5,13.3,13.41,13.24,0.98,7.1,-337.0,10.01,13905198578.0,13533330847.0,0.07,0.28,116.67,7.51
241,300827,上能电气,49.17,6.89,3.17,144317.0,710623489.48,9.76,50.49,46.0,46.0,46.0,1.88,5.55,43.91,8.53,17674481415.0,12784028200.0,0.0,0.0,58.2,63.03
254,300348,长亮科技,16.92,6.62,1.05,941021.0,1553986689.91,10.65,17.37,15.68,15.72,15.87,2.0,14.91,2576.68,6.76,13679172556.0,10678740022.0,-0.06,-0.18,133.7,64.27
255,002654,万润科技,15.59,6.56,0.96,1762728.0,2732221187.9,12.3,16.09,14.29,14.4,14.63,2.15,20.85,297.0,8.74,13178266661.0,13177331261.0,0.0,-0.26,63.76,25.52
265,688536,思瑞浦,106.92,6.35,6.38,33904.0,356781525.0,9.12,108.87,99.7,100.0,100.54,1.49,2.56,-107.71,2.64,14177746392.0,14177746392.0,0.0,0.0,40.22,-26.92
281,600481,双良节能,7.0,6.06,0.4,2013872.0,1372017235.0,11.36,7.1,6.35,6.59,6.6,1.68,10.77,-7.33,2.44,13094779061.0,13094779061.0,0.14,0.14,90.22,-16.07
283,300773,拉卡拉,20.84,6.06,1.19,514419.0,1059049085.63,7.53,21.19,19.71,19.71,19.65,2.31,7.01,24.38,4.71,16672416800.0,15303550007.0,0.0,0.1,90.67,37.65
295,002051,中工国际,8.95,5.92,0.5,531778.0,475391930.01,10.53,9.3,8.41,8.46,8.45,1.77,4.3,25.68,0.97,11074809986.0,11073839896.0,-0.22,-0.22,29.71,11.88
303,002222,福晶科技,33.44,5.86,1.85,346024.0,1142616588.42,9.12,34.2,31.32,31.4,31.59,1.49,7.39,70.2,10.0,15725160000.0,15654993350.0,0.09,-0.03,72.46,25.01
309,000657,中钨高新,10.56,5.81,0.58,602039.0,620692787.42,8.72,10.63,9.76,9.9,9.98,1.97,4.83,53.65,2.52,14748416961.0,13171584487.0,0.0,0.09,38.58,26.47
