序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
15,688660,电气风电,8.99,20.03,1.5,891130.0,733663691.0,21.09,8.99,7.41,7.51,7.49,2.95,6.68,-18.86,2.22,11986667266.0,11986667266.0,0.0,0.0,204.75,74.9
30,300098,高新兴,7.34,19.93,1.22,3950920.0,2792168937.08,19.28,7.34,6.16,6.21,6.12,4.22,25.63,-207.99,4.51,12755321899.0,11316398222.0,0.0,0.0,98.38,80.79
38,688165,埃夫特-U,20.7,13.49,2.46,807918.0,1669096936.0,15.84,21.89,19.0,19.0,18.24,2.19,15.48,-76.84,6.37,10800846000.0,10800846000.0,-0.34,-1.15,168.13,80.63
41,300607,拓斯达,33.26,12.75,3.76,1396080.0,4547661043.49,18.41,35.0,29.57,30.0,29.5,1.45,44.68,1248.73,5.33,15024141678.0,10391608222.0,0.03,0.45,224.49,112.8
43,301171,易点天下,36.03,12.63,4.04,1052643.0,3565909638.16,20.35,37.95,31.44,32.04,31.99,1.15,34.09,65.4,4.84,17002049157.0,11125164151.0,0.19,-0.06,173.37,83.45
45,300660,江苏雷利,40.13,12.41,4.43,518335.0,2038207763.61,14.2,41.98,36.91,37.32,35.7,3.69,16.24,39.91,3.79,12816849782.0,12807159591.0,0.07,0.33,74.55,36.03
61,000981,山子高科,1.93,10.29,0.18,7523288.0,1392418784.72,12.0,1.93,1.72,1.73,1.75,1.52,11.53,-17.72,9.15,19295118814.0,12593550022.0,0.0,0.0,80.37,21.38
65,600808,马钢股份,2.59,10.21,0.24,2286263.0,577333009.0,10.64,2.59,2.34,2.35,2.35,6.29,3.83,-5.94,0.8,20064569384.0,15456475572.0,0.0,0.0,39.25,-4.78
68,688676,金盘科技,35.38,10.18,3.27,204510.0,709228479.0,10.06,35.66,32.43,32.57,32.11,3.8,4.47,30.06,3.78,16184262297.0,16184262297.0,0.0,-0.08,14.61,0.0
70,600935,华塑股份,2.93,10.15,0.27,518136.0,144623451.0,11.28,2.93,2.63,2.64,2.66,0.91,1.48,-36.41,1.68,10276687309.0,10276687309.0,0.0,0.0,38.21,-13.06
80,002127,南极电商,5.13,10.09,0.47,4642841.0,2329554900.1,9.23,5.13,4.7,4.74,4.66,1.42,23.28,174.18,2.81,12593485167.0,10232832531.0,0.0,0.0,97.31,34.65
89,600340,华夏幸福,3.17,10.07,0.29,3989581.0,1250268277.0,9.38,3.17,2.9,2.9,2.88,1.15,10.25,-4.15,2.12,12406493484.0,12341935547.0,0.0,0.0,210.78,82.18
101,002400,省广集团,9.42,10.05,0.86,6593364.0,6036822625.07,8.88,9.42,8.66,8.8,8.56,1.53,38.2,135.01,3.34,16422235746.0,16260470702.0,0.0,0.0,100.85,70.65
104,002031,巨轮智能,5.15,10.04,0.47,344023.0,177171695.65,0.0,5.15,5.15,5.15,4.68,0.14,1.74,1454.14,4.66,11326887701.0,10208577267.0,0.0,0.0,125.88,24.4
