序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息
26,002067,景兴纸业,3.8,10.14,0.35,184274.0,70024101.0,0.0,3.8,3.8,3.8,3.45,0.48,1.76,67.33,0.82,4491736116.0,3970186116.0,0.0,0.0,37.18,12.76,造纸印刷
27,000008,神州高铁,3.15,10.14,0.29,2348689.0,726991292.17,9.09,3.15,2.89,2.89,2.86,2.15,8.74,-35.68,2.53,8556589701.0,8460976753.0,0.0,0.0,52.17,33.47,交运设备
28,600490,鹏欣资源,4.03,10.11,0.37,1162119.0,453094187.0,9.02,4.03,3.7,3.7,3.66,0.95,5.83,-57.15,1.49,8917934928.0,8030264186.0,0.0,0.0,42.4,34.78,有色金属
29,301315,威士顿,53.78,10.07,4.92,99708.0,533663400.94,19.48,58.39,48.87,49.83,48.86,2.39,26.95,118.44,4.69,4732640000.0,1989860000.0,0.0,0.24,58.13,2.42,软件开发
30,603333,尚纬股份,5.47,10.06,0.5,210908.0,114468625.0,9.86,5.47,4.98,4.99,4.97,0.45,3.39,134.22,1.61,3399755895.0,3399755895.0,0.0,0.0,69.88,-4.04,电网设备
31,002137,实益达,10.19,10.04,0.93,101918.0,103854788.46,0.0,10.19,10.19,10.19,9.26,0.16,2.57,163.63,3.82,5884774462.0,4039916762.0,0.0,0.0,99.41,46.83,电子元件
32,002346,柘中股份,10.41,10.04,0.95,62336.0,63972324.36,9.83,10.41,9.48,9.48,9.46,2.35,1.58,-23.35,1.71,4596800081.0,4095293521.0,0.0,0.0,41.44,-4.93,电网设备
33,600368,五洲交通,5.59,10.04,0.51,959786.0,515793779.0,13.78,5.59,4.89,5.0,5.08,0.66,5.96,11.91,1.34,8997965066.0,8997965066.0,0.0,0.0,63.45,88.85,铁路公路
34,002210,飞马国际,2.85,10.04,0.26,2492340.0,694253572.08,11.2,2.85,2.56,2.57,2.59,1.2,9.37,169.48,23.97,7584513406.0,7584486046.0,0.0,0.0,85.06,59.22,环保行业
35,002927,泰永长征,14.58,10.04,1.33,93232.0,133324179.12,9.96,14.58,13.26,13.26,13.25,0.96,4.23,45.45,3.16,3254141984.0,3216969108.0,0.0,0.0,39.39,-6.3,电网设备
36,603777,来伊份,14.91,10.04,1.36,630452.0,886180591.0,16.31,14.91,12.7,13.5,13.55,3.96,18.79,-88.3,2.82,5018108228.0,5001707228.0,0.0,0.0,70.79,11.52,食品饮料
37,002616,长青集团,6.03,10.04,0.55,760955.0,444182650.47,15.15,6.03,5.2,5.31,5.48,2.83,16.18,27.27,1.62,4474010635.0,2835441952.0,0.0,0.0,53.44,17.09,电力行业
38,603042,华脉科技,15.35,10.04,1.4,249343.0,359798551.0,12.54,15.35,13.6,13.95,13.95,1.14,15.53,-225.54,2.81,2465054044.0,2465054044.0,0.0,0.0,47.74,2.2,通信设备
39,603155,新亚强,15.79,10.03,1.44,110083.0,171777531.0,9.06,15.79,14.49,14.49,14.35,1.7,3.49,37.75,2.12,4986273572.0,4986273572.0,0.0,0.0,43.42,-6.68,化学制品
40,603630,拉芳家化,13.71,10.03,1.25,94712.0,125415341.0,10.67,13.71,12.38,12.46,12.46,1.89,4.21,42.38,1.59,3087554792.0,3087554792.0,0.0,0.0,42.52,-8.72,美容护理
41,600580,卧龙电驱,16.46,10.03,1.5,404617.0,654816562.0,6.42,16.46,15.5,15.5,14.96,1.17,3.11,25.2,2.17,21441168424.0,21441168424.0,0.0,0.0,55.58,41.53,电机
42,002576,通达动力,17.23,10.03,1.57,192033.0,328151293.32,9.96,17.23,15.67,15.67,15.66,0.84,11.85,48.28,2.3,2844673000.0,2791735048.0,0.0,0.0,48.28,1.29,电机
43,605001,威奥股份,8.67,10.03,0.79,97422.0,84465221.0,0.0,8.67,8.67,8.67,7.88,0.21,2.48,222.82,1.28,3406321620.0,3406321620.0,0.0,0.0,65.14,33.59,交运设备
44,605136,丽人丽妆,9.55,10.02,0.87,484750.0,444075916.0,15.44,9.55,8.21,8.4,8.68,2.18,12.1,-103.19,1.54,3824378675.0,3824378675.0,0.0,0.0,54.28,-3.05,商业百货
45,000755,山西高速,5.27,10.02,0.48,301105.0,155954520.81,8.98,5.27,4.84,4.86,4.79,2.36,2.05,15.18,1.47,7732724733.0,7732724733.0,0.0,0.0,26.08,15.82,铁路公路
46,605598,上海港湾,22.29,10.02,2.03,97354.0,209297082.0,13.62,22.29,19.53,20.26,20.26,2.01,4.01,37.74,2.95,5478009146.0,5416845386.0,0.0,0.0,25.44,-16.05,工程建设
47,001269,欧晶科技,29.65,10.02,2.7,107813.0,315511880.23,9.8,29.65,27.01,27.01,26.95,4.12,12.85,-19.15,4.48,5704851420.0,2487615728.0,0.0,0.0,28.08,-43.25,光伏设备
48,603767,中马传动,12.63,10.02,1.15,78031.0,97455133.0,9.06,12.63,11.59,11.66,11.48,1.51,2.53,58.33,2.7,3898015845.0,3898015845.0,0.0,0.0,24.31,-16.85,汽车零部件
49,605488,福莱新材,19.11,10.02,1.74,66853.0,122943751.0,9.9,19.11,17.39,17.88,17.37,1.38,3.51,39.69,2.8,3708838988.0,3644327642.0,0.0,0.0,66.46,16.52,塑料制品
50,600736,苏州高新,6.7,10.02,0.61,725828.0,472142426.0,9.69,6.7,6.11,6.11,6.09,1.32,6.3,24.41,1.03,7713662477.0,7713662477.0,0.0,0.0,59.14,41.65,房地产开发
51,002915,中欣氟材,13.73,10.02,1.25,137253.0,185204012.45,9.54,13.73,12.54,12.54,12.48,0.46,4.76,-77.95,3.1,4468680789.0,3958446529.0,0.0,0.0,51.05,-24.81,化学制品
52,603803,瑞斯康达,14.72,10.01,1.34,1242331.0,1787144341.0,12.86,14.72,13.0,13.0,13.38,1.97,29.24,-72.86,3.76,6318310599.0,6254285959.0,0.0,0.0,159.15,80.61,通信设备
53,603350,安乃达,37.68,10.01,3.43,40979.0,152297333.0,9.05,37.68,34.58,34.58,34.25,2.57,14.42,38.58,3.29,4370880000.0,1070685226.0,0.0,0.0,43.11,83.27,电机
54,000810,创维数字,15.16,10.01,1.38,768887.0,1104413915.72,12.84,15.16,13.39,13.63,13.78,1.33,6.88,55.3,2.71,17437275652.0,16942689399.0,0.0,0.0,62.31,-2.57,通信设备
55,002055,得润电子,8.9,10.01,0.81,487105.0,426129103.2,11.12,8.9,8.0,8.1,8.09,0.73,8.24,-32.09,2.16,5379961151.0,5263075111.0,0.0,0.0,61.82,-9.0,消费电子
56,002364,中恒电气,9.78,10.01,0.89,164567.0,160947005.22,0.0,9.78,9.78,9.78,8.89,0.59,2.95,48.08,2.33,5511665309.0,5458261374.0,0.0,0.0,54.99,27.84,电源设备
57,002896,中大力德,39.45,10.01,3.59,53388.0,210616449.0,0.0,39.45,39.45,39.45,35.86,0.41,3.53,78.56,5.15,5963707193.0,5963707193.0,0.0,0.0,51.03,8.77,通用设备
58,603686,福龙马,10.88,10.01,0.99,155608.0,168072257.0,4.85,10.88,10.4,10.4,9.89,0.85,3.75,29.38,1.36,4519882796.0,4519882796.0,0.0,0.0,42.97,9.02,环保行业
59,603666,亿嘉和,27.15,10.01,2.47,255190.0,686896006.0,8.51,27.15,25.05,25.05,24.68,2.39,12.36,-52.41,2.44,5606225654.0,5606225654.0,0.0,0.0,79.8,-13.51,专用设备
60,603819,神力股份,13.96,10.01,1.27,37294.0,51593316.0,9.38,13.96,12.77,13.09,12.69,1.08,1.71,-47.87,3.9,3039513411.0,3039513411.0,0.0,0.0,73.63,-0.36,电机
61,600889,南京化纤,22.54,10.0,2.05,874126.0,1949426013.0,6.15,22.54,21.28,21.77,20.49,1.2,23.86,-38.95,11.56,8257439065.0,8257439065.0,0.0,0.0,343.7,291.32,化纤行业
62,603980,吉华集团,4.62,10.0,0.42,78848.0,36224633.0,8.1,4.62,4.28,4.28,4.2,0.72,1.16,18.29,0.81,3126970123.0,3126970123.0,0.0,0.0,36.28,0.43,化学制品
63,600973,宝胜股份,5.5,10.0,0.5,1572257.0,853072919.0,9.6,5.5,5.02,5.02,5.0,0.98,11.46,226.39,1.97,7542514364.0,7542514364.0,0.0,0.0,57.59,16.77,电网设备
64,600965,福成股份,5.83,10.0,0.53,262323.0,150477340.0,5.28,5.83,5.55,5.55,5.3,1.36,3.2,123.71,2.24,4773026568.0,4773026568.0,0.0,0.0,64.23,-6.87,农牧饲渔
65,003037,三和管桩,7.26,10.0,0.66,100942.0,72724367.14,7.73,7.26,6.75,6.77,6.6,0.33,5.02,156.55,1.58,4349282162.0,1459330262.0,0.0,0.0,37.24,-34.77,水泥建材
66,002730,电光科技,10.78,10.0,0.98,38040.0,41007120.0,0.0,10.78,10.78,10.78,9.8,0.33,1.1,43.57,2.47,3903221106.0,3730202106.0,0.0,0.0,64.58,15.29,专用设备
