序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息
536,002783,凯龙股份,8.59,3.25,0.27,126406.0,107534278.21,3.25,8.6,8.33,8.33,8.32,0.88,2.88,28.76,1.73,4293244771.0,3774857787.0,0.0,0.23,18.65,-25.24,化学制品
537,300106,西部牧业,11.14,3.24,0.35,242823.0,266087547.31,7.51,11.36,10.55,10.62,10.79,1.22,11.49,-42.46,4.71,2354241933.0,2354241933.0,0.09,0.63,69.04,16.28,食品饮料
538,300494,盛天网络,13.05,3.24,0.41,259806.0,333051936.62,3.96,13.08,12.58,12.88,12.64,0.61,6.52,1962.99,3.76,6401156492.0,5197807157.0,0.15,0.31,43.72,-17.3,游戏
539,002478,常宝股份,5.42,3.24,0.17,226778.0,121643426.33,3.62,5.42,5.23,5.24,5.25,1.31,3.15,8.91,0.9,4885296556.0,3900177464.0,0.18,0.37,17.06,4.84,钢铁行业
540,603185,弘元绿能,17.58,3.23,0.55,131890.0,230387326.0,3.93,17.7,17.03,17.07,17.03,1.37,1.94,-5.49,0.92,11937210311.0,11937210311.0,0.0,0.23,32.48,-47.14,光伏设备
541,002862,实丰文化,30.06,3.23,0.94,136366.0,394860581.8,9.03,30.21,27.58,29.12,29.12,0.93,15.12,598.19,8.73,3607200000.0,2710723115.0,0.03,0.1,110.95,42.33,家用轻工
542,301329,信音电子,20.53,3.22,0.64,39135.0,79295780.1,4.27,20.56,19.71,20.19,19.89,0.82,6.53,53.8,2.26,3494206000.0,1230650320.0,-0.05,-0.05,29.69,-8.02,电子元件
543,835640,富士达,29.86,3.21,0.93,93055.0,271529902.77,9.99,30.39,27.5,29.2,28.93,0.76,5.3,116.81,6.57,5605558080.0,5241594092.0,0.07,0.07,172.69,55.04,通信设备
544,002360,同德化工,5.46,3.21,0.17,220925.0,123582742.15,9.45,5.82,5.32,5.4,5.29,3.48,6.73,41.86,1.03,2193687394.0,1792317443.0,0.0,0.74,26.98,-23.21,化学制品
545,603057,紫燕食品,18.69,3.2,0.58,60595.0,112212668.0,5.19,18.94,18.0,18.12,18.11,1.36,8.9,16.64,3.87,7742528745.0,1272077378.0,0.0,-0.11,18.14,-8.74,食品饮料
546,002662,京威股份,3.87,3.2,0.12,687080.0,269000952.96,6.4,4.05,3.81,4.01,3.75,2.93,4.58,13.52,1.36,5805000000.0,5804926857.0,0.26,0.26,40.73,13.49,汽车零部件
547,002444,巨星科技,30.96,3.2,0.96,312847.0,954004301.63,4.87,31.26,29.8,30.0,30.0,1.97,2.74,14.33,2.28,36981044515.0,35386522161.0,0.03,-0.03,12.46,41.24,通用设备
548,603009,北特科技,38.2,3.19,1.18,178024.0,670123287.0,5.4,38.35,36.35,37.7,37.02,0.93,5.26,159.5,7.3,12931699618.0,12927222654.0,-0.13,0.03,103.19,158.63,汽车零部件
549,831855,浙江大农,17.81,3.19,0.55,24629.0,42716273.92,6.26,17.96,16.88,17.26,17.26,0.55,9.31,39.8,2.45,1331000661.0,471330252.0,0.06,0.06,143.31,37.0,通用设备
550,300349,金卡智能,14.6,3.18,0.45,208680.0,301319122.91,3.39,14.6,14.12,14.15,14.15,1.07,5.63,15.38,1.4,6107723310.0,5408286191.0,0.14,0.41,35.44,22.48,仪器仪表
551,301486,致尚科技,46.4,3.18,1.43,41642.0,193125563.68,5.16,47.5,45.18,45.18,44.97,0.86,5.78,75.0,2.41,5970798168.0,3340477752.0,0.0,0.22,38.18,-2.38,消费电子
552,600057,厦门象屿,6.49,3.18,0.2,351061.0,225316912.0,3.82,6.49,6.25,6.29,6.29,1.39,1.6,12.22,1.12,14492579240.0,14226793770.0,0.0,0.15,26.26,1.25,物流行业
553,002557,洽洽食品,31.83,3.18,0.98,108772.0,340737918.76,4.96,32.0,30.47,30.71,30.85,0.94,2.15,19.33,2.96,16137888079.0,16103456772.0,0.03,0.09,10.06,-5.88,食品饮料
554,000759,中百集团,8.13,3.17,0.25,2427921.0,1868168878.72,18.91,8.58,7.09,7.8,7.88,1.17,37.03,-12.5,2.82,5524631745.0,5330889983.0,0.0,2.65,138.42,86.04,商业百货
555,688046,药康生物,13.7,3.16,0.42,22193.0,30184384.0,5.72,13.77,13.01,13.01,13.28,0.99,1.09,42.89,2.65,5617000000.0,2793855166.0,-0.07,-0.07,21.45,-31.36,生物制品
556,688186,广大特材,18.0,3.15,0.55,56865.0,101024577.0,6.02,18.08,17.03,17.2,17.45,1.0,2.65,36.47,1.15,3856346622.0,3856346622.0,-0.33,0.17,87.7,0.5,风电设备
557,688248,南网科技,33.42,3.15,1.02,44244.0,147490014.0,4.14,33.74,32.4,32.6,32.4,1.03,1.94,50.61,6.33,18872274000.0,7633128000.0,-0.03,0.03,24.33,35.52,电网设备
558,600233,圆通速递,14.47,3.14,0.44,200373.0,286927403.0,3.42,14.48,14.0,14.05,14.03,1.46,0.58,12.76,1.63,49854847374.0,49854847374.0,0.07,0.0,-10.68,21.19,物流行业
559,300622,博士眼镜,56.0,3.13,1.7,297970.0,1629219131.17,9.24,57.02,52.0,54.9,54.3,0.79,25.6,88.19,12.48,9816964136.0,6518391320.0,0.04,-0.28,122.58,193.65,商业百货
560,300823,建科智能,13.52,3.13,0.41,34786.0,46463814.8,2.59,13.52,13.18,13.37,13.11,0.84,4.57,42.68,1.86,1770886469.0,1028624868.0,0.15,0.07,26.83,-9.5,专用设备
561,600300,维维股份,3.3,3.13,0.1,721160.0,234366217.0,4.06,3.31,3.18,3.18,3.2,0.67,4.46,16.27,1.61,5336569194.0,5336569194.0,-0.3,0.0,35.8,8.2,食品饮料
562,300547,川环科技,18.85,3.12,0.57,55154.0,103091059.25,3.56,18.95,18.3,18.39,18.28,0.86,3.09,20.79,3.57,4088681380.0,3359514803.0,0.27,0.27,36.99,14.73,橡胶制品
563,002062,宏润建设,4.64,3.11,0.14,107493.0,49363289.36,4.0,4.67,4.49,4.5,4.5,0.89,1.09,17.25,1.17,5740936925.0,4593244052.0,0.0,-0.43,37.69,7.16,工程建设
564,600128,苏豪弘业,8.29,3.11,0.25,81679.0,66817825.0,3.98,8.34,8.02,8.1,8.04,1.07,3.31,42.1,0.96,2045702575.0,2045702575.0,0.61,0.48,17.92,-14.36,贸易行业
565,001260,坤泰股份,17.25,3.11,0.52,44988.0,77364958.37,4.96,17.48,16.65,16.65,16.73,1.66,14.17,36.23,2.49,1983750000.0,547687500.0,0.35,0.23,28.25,-21.41,汽车零部件
566,002695,煌上煌,8.96,3.11,0.27,147293.0,130010452.3,6.21,9.06,8.52,8.69,8.69,0.7,3.17,47.64,1.8,4990245846.0,4160607423.0,0.0,0.22,38.06,-12.93,食品饮料
567,603383,顶点软件,39.92,3.1,1.2,47931.0,189454899.0,3.67,40.0,38.58,39.03,38.72,0.87,2.34,60.74,5.8,8199048202.0,8163560918.0,0.0,0.03,37.85,-0.13,软件开发
568,300444,双杰电气,7.32,3.1,0.22,246342.0,180257506.2,4.08,7.44,7.15,7.24,7.1,1.05,4.16,37.71,3.49,5845935659.0,4335642537.0,0.14,0.27,24.7,8.61,电网设备
569,002488,金固股份,10.66,3.09,0.32,194853.0,207381464.24,5.51,10.84,10.27,10.27,10.34,1.56,2.13,245.86,2.52,10611380433.0,9734174246.0,-0.09,0.19,43.86,48.68,汽车零部件
570,300532,今天国际,12.33,3.09,0.37,131626.0,161606270.01,3.6,12.45,12.02,12.05,11.96,1.04,3.05,15.45,3.32,5589485980.0,5313232700.0,-0.08,0.08,30.75,14.48,互联网服务
571,688627,精智达,80.3,3.08,2.4,17468.0,139167626.0,6.03,81.7,77.0,78.56,77.9,0.79,2.45,110.19,4.46,7549143846.0,5734349071.0,0.11,0.38,100.1,-9.58,专用设备
572,300432,富临精工,16.06,3.08,0.48,424945.0,683998942.86,4.56,16.35,15.64,15.65,15.58,1.34,3.53,47.35,4.51,19613392495.0,19356833208.0,0.0,-0.06,133.43,52.95,汽车零部件
573,603969,银龙股份,6.36,3.08,0.19,207323.0,131651792.0,4.38,6.47,6.2,6.2,6.17,0.54,2.46,24.17,2.31,5436299040.0,5352568368.0,0.0,0.16,44.55,7.25,通用设备
574,688656,浩欧博,100.3,3.07,2.99,14620.0,145362750.0,7.19,102.8,95.8,97.8,97.31,0.94,2.32,178.58,7.85,6324750298.0,6324750298.0,-0.14,-0.4,347.37,191.91,医疗器械
575,003007,直真科技,33.21,3.07,0.99,75577.0,243470095.5,7.82,33.3,30.78,32.43,32.22,0.69,10.23,-63.62,4.22,3453840000.0,2454030068.0,0.09,0.03,35.05,2.18,软件开发
576,300373,扬杰科技,47.36,3.07,1.41,147925.0,688595160.39,4.64,47.48,45.35,46.09,45.95,1.31,2.73,28.84,3.06,25732951192.0,25676122650.0,0.02,0.0,36.41,32.14,半导体
577,002752,昇兴股份,6.05,3.07,0.18,300210.0,178830945.4,3.92,6.06,5.83,5.88,5.87,0.44,3.07,12.9,1.78,5910356731.0,5909449231.0,0.0,0.0,32.68,19.09,包装材料
578,300499,高澜股份,22.55,3.06,0.67,852701.0,1812438557.82,10.74,22.55,20.2,21.3,21.88,1.24,31.42,-292.51,4.97,6883355118.0,6120259555.0,0.0,1.35,136.13,57.25,专用设备
579,002029,七 匹 狼,6.74,3.06,0.2,167897.0,112172806.33,4.59,6.83,6.53,6.55,6.54,0.89,2.52,15.13,0.73,4751858639.0,4484836164.0,0.0,0.15,32.16,20.14,纺织服装
580,300825,阿尔特,11.8,3.06,0.35,181265.0,212900311.97,4.45,12.03,11.52,11.62,11.45,1.05,3.72,3549.46,2.42,5876877676.0,5745222208.0,-0.08,0.08,36.42,-14.18,汽车服务
581,002546,新联电子,4.39,3.05,0.13,172327.0,75472268.0,3.76,4.44,4.28,4.3,4.26,1.03,2.15,26.77,1.16,3661475531.0,3517408901.0,0.0,0.0,37.19,-10.04,电网设备
582,603839,安正时尚,6.42,3.05,0.19,161142.0,101946492.0,10.91,6.69,6.01,6.37,6.23,0.99,4.04,-61.51,1.31,2562942067.0,2562942067.0,0.16,0.16,44.59,-21.61,纺织服装
583,600548,深高速,12.84,3.05,0.38,72760.0,92319199.0,3.93,12.88,12.39,12.39,12.46,1.21,0.51,15.28,1.54,28001090986.0,18403190986.0,0.0,0.16,33.2,52.13,铁路公路
584,600517,国网英大,5.75,3.05,0.17,230779.0,131020593.0,3.23,5.75,5.57,5.59,5.58,1.49,0.4,16.98,1.54,32881005528.0,32881005528.0,0.17,0.17,26.1,23.13,多元金融
585,688768,容知日新,35.65,3.03,1.05,8059.0,28331707.0,4.94,35.86,34.15,34.77,34.6,1.09,0.99,860.05,3.25,3116785134.0,2909968611.0,-0.2,-0.28,49.85,-2.86,仪器仪表
586,301556,托普云农,92.82,3.03,2.73,18115.0,165779813.37,4.32,93.1,89.21,90.0,90.09,0.54,9.87,77.51,8.82,7915689600.0,1703031843.0,0.02,0.03,540.14,540.14,软件开发
587,300161,华中数控,28.22,3.03,0.83,60705.0,168630231.25,7.67,28.86,26.76,27.69,27.39,1.41,3.12,-62.71,3.54,5607226687.0,5498330477.0,-0.04,0.14,41.52,-21.35,通用设备
588,603950,长源东谷,15.99,3.03,0.47,46801.0,73839397.0,3.29,16.04,15.53,15.6,15.52,0.68,1.44,25.07,1.99,5182851492.0,5182851492.0,0.25,0.5,37.25,3.83,汽车零部件
589,300898,熊猫乳品,27.9,3.03,0.82,97465.0,267258688.0,5.17,28.1,26.7,27.4,27.08,0.66,8.49,33.23,3.6,3459600000.0,3201097823.0,-0.04,0.14,70.96,17.92,食品饮料
590,688071,华依科技,29.27,3.03,0.86,13323.0,38366901.0,6.2,29.79,28.03,28.5,28.41,0.59,1.57,-63.36,2.47,2481795221.0,2481795221.0,0.0,0.41,70.57,-39.91,汽车零部件
591,000521,长虹美菱,8.51,3.03,0.25,219837.0,185551213.52,3.27,8.52,8.25,8.26,8.26,1.03,2.51,12.39,1.45,8764650815.0,7448150674.0,0.12,0.12,-10.42,59.66,家电行业
592,688299,长阳科技,15.32,3.03,0.45,79772.0,121074852.0,3.3,15.37,14.88,14.99,14.87,0.59,2.78,180.25,2.08,4450412753.0,4394295547.0,0.0,0.13,24.86,10.22,光学光电子
593,836414,欧普泰,12.6,3.03,0.37,28487.0,35887966.84,5.97,12.98,12.25,12.25,12.23,1.02,5.15,-780.75,3.3,1004826955.0,696475534.0,0.48,0.88,115.02,-12.86,专用设备
594,002892,科力尔,16.69,3.02,0.49,339835.0,562847418.42,4.2,16.9,16.22,16.5,16.2,0.86,8.57,109.89,7.92,10361166804.0,6617515553.0,0.0,0.06,81.22,46.02,电机
595,301221,光庭信息,49.5,3.02,1.45,25465.0,124840832.0,3.39,49.77,48.14,48.79,48.05,0.86,5.83,313.74,2.28,4584803850.0,2160621788.0,-0.1,0.02,27.18,-14.95,软件开发
596,600415,小商品城,14.34,3.02,0.42,700823.0,995672590.0,5.89,14.63,13.81,14.01,13.92,1.15,1.28,25.32,3.98,78635482579.0,78443140159.0,0.0,0.0,63.7,101.4,商业百货
597,688569,铁科轨道,22.2,3.02,0.65,11716.0,26031458.0,4.78,22.58,21.55,21.81,21.55,1.76,0.56,25.73,1.69,4676800740.0,4676800740.0,0.0,-0.09,17.9,-18.26,交运设备
598,688597,煜邦电力,9.23,3.01,0.27,29594.0,26988969.0,3.35,9.27,8.97,9.08,8.96,1.17,1.2,29.49,2.94,2280397480.0,2280397480.0,0.11,0.11,16.25,1.99,电网设备
599,601113,华鼎股份,4.45,3.01,0.13,995894.0,427871080.0,6.25,4.45,4.18,4.28,4.32,1.53,9.02,11.36,1.36,4913477406.0,4913477406.0,0.91,1.37,46.86,29.74,化纤行业
600,834407,驰诚股份,20.2,3.01,0.59,15055.0,29748992.67,5.35,20.25,19.2,19.41,19.61,0.62,5.82,57.24,5.09,1326736000.0,522193230.0,-0.25,0.7,139.05,47.02,仪器仪表
601,603129,春风动力,157.29,3.01,4.59,21022.0,329329774.0,4.81,159.35,152.0,152.11,152.7,1.41,1.39,16.52,4.11,23818717731.0,23818717731.0,0.09,0.13,9.23,57.04,交运设备
602,000528,柳    工,11.31,3.01,0.33,248658.0,278028503.23,3.46,11.34,10.96,10.97,10.98,1.01,1.72,12.97,1.29,22837499613.0,16321519348.0,0.09,0.0,1.98,72.94,工程机械
603,002543,万和电气,10.3,3.0,0.3,52770.0,54219298.09,4.1,10.42,10.01,10.05,10.0,1.14,0.8,12.65,1.63,7659080000.0,6814593331.0,0.1,0.1,15.99,23.8,家电行业
604,002212,天融信,7.22,3.0,0.21,605128.0,433199824.58,7.56,7.45,6.92,7.09,7.01,1.03,5.18,-37.73,0.92,8515657006.0,8428461456.0,0.0,0.14,57.99,-26.02,软件开发
605,300859,西域旅游,40.6,2.99,1.18,35285.0,140977370.0,4.26,40.7,39.02,39.81,39.42,0.65,2.28,40.93,8.0,6293000000.0,6293000000.0,0.02,0.07,39.18,47.64,旅游酒店
606,301353,普莱得,29.61,2.99,0.86,24042.0,69610300.16,7.55,30.12,27.95,28.74,28.75,0.69,9.62,30.46,1.79,2250360000.0,740250000.0,0.0,0.07,34.53,-6.89,通用设备
607,000828,东莞控股,11.02,2.99,0.32,84321.0,92033122.72,2.9,11.04,10.73,10.74,10.7,1.18,0.81,11.82,1.19,11455477252.0,11455462375.0,0.09,0.0,21.37,7.3,铁路公路
608,839273,一致魔芋,21.01,2.99,0.61,10877.0,22270737.04,6.03,21.05,19.82,20.42,20.4,0.93,2.25,18.73,2.62,1549571540.0,1017879874.0,1.01,0.29,113.73,35.55,食品饮料
609,002628,成都路桥,5.17,2.99,0.15,542498.0,276821049.82,7.37,5.27,4.9,5.01,5.02,0.91,7.19,-141.77,1.32,3914209146.0,3903500974.0,-0.19,0.0,136.07,56.67,工程建设
610,600793,宜宾纸业,29.0,2.98,0.84,319338.0,952580109.0,10.55,30.98,28.01,30.97,28.16,1.03,18.05,-29.68,11.39,5130216058.0,5130216058.0,0.14,-0.28,217.63,149.57,造纸印刷
611,601002,晋亿实业,4.49,2.98,0.13,204267.0,92449232.0,7.34,4.7,4.38,4.39,4.36,1.33,2.14,39.45,1.04,4285438833.0,4285438833.0,-0.22,0.0,42.54,-5.27,通用设备
612,601330,绿色动力,6.57,2.98,0.19,70337.0,45843866.0,2.66,6.57,6.4,6.41,6.38,1.54,0.71,13.63,1.16,9154981618.0,6498337784.0,0.15,0.0,17.95,2.82,环保行业
613,002620,瑞和股份,3.81,2.97,0.11,177589.0,65903953.9,6.49,3.81,3.57,3.78,3.7,0.82,5.64,-9.96,11.69,1438252140.0,1200491685.0,0.26,0.26,42.7,-29.18,装修装饰
614,002296,辉煌科技,10.07,2.97,0.29,208911.0,209182342.0,3.27,10.15,9.83,9.83,9.78,0.84,6.01,21.89,1.82,3923074829.0,3498473521.0,-0.1,0.1,28.94,23.56,通信设备
615,688041,海光信息,140.75,2.96,4.05,325398.0,4488752108.0,4.91,141.21,134.5,138.49,136.7,1.14,3.67,160.82,16.5,327150586308.0,124782923226.0,0.24,-0.03,80.17,98.6,半导体
616,002014,永新股份,10.43,2.96,0.3,49195.0,50891087.15,3.06,10.44,10.13,10.14,10.13,1.49,0.81,15.72,2.63,6388290162.0,6303227776.0,0.1,0.19,21.0,33.72,包装材料
617,605196,华通线缆,11.49,2.96,0.33,115427.0,130442472.0,4.48,11.53,11.03,11.16,11.16,1.1,2.26,15.87,1.91,5876937154.0,5870020174.0,0.0,0.17,43.98,50.59,电网设备
618,603518,锦泓集团,10.1,2.96,0.29,609984.0,601421611.0,11.42,10.47,9.35,9.69,9.81,1.89,17.73,16.26,1.02,3504075951.0,3475152076.0,-0.2,-0.3,54.2,3.48,纺织服装
619,301168,通灵股份,28.57,2.95,0.82,21754.0,62419796.43,5.51,29.35,27.82,28.09,27.75,1.77,4.38,36.3,1.6,3428400000.0,1418586210.0,-0.17,-0.24,16.85,-37.77,光伏设备
620,000728,国元证券,8.72,2.95,0.25,498633.0,430272990.98,3.19,8.73,8.46,8.47,8.47,1.6,1.14,18.18,1.07,38052143210.0,38052143210.0,0.0,0.0,27.11,30.54,证券
621,300788,中信出版,34.54,2.95,0.99,78940.0,267126489.24,4.62,34.55,33.0,33.95,33.55,0.67,4.15,37.85,3.02,6567833328.0,6567833328.0,0.12,0.23,44.1,19.97,文化传媒
622,002139,拓邦股份,13.62,2.95,0.39,469950.0,635293924.98,2.87,13.67,13.29,13.29,13.23,0.81,4.39,23.06,2.59,16981892537.0,14592491113.0,-0.22,0.0,43.37,40.41,消费电子
623,603320,迪贝电气,14.71,2.94,0.42,26412.0,38651190.0,2.8,14.78,14.38,14.38,14.29,0.89,1.99,25.8,2.22,1947646497.0,1947646497.0,0.14,0.27,17.96,-6.96,电机
624,837592,华信永道,65.9,2.94,1.88,19959.0,129905470.11,4.22,66.2,63.5,63.5,64.02,0.89,5.23,-104.87,11.77,4095685000.0,2516142134.0,0.08,0.66,231.16,170.3,软件开发
625,002708,光洋股份,10.88,2.93,0.31,562631.0,604433029.99,4.73,11.0,10.5,10.8,10.57,1.71,11.37,114.15,3.5,6115625881.0,5381959139.0,0.18,0.37,55.87,31.4,汽车零部件
626,601333,广深铁路,3.51,2.93,0.1,528788.0,183506671.0,3.52,3.52,3.4,3.42,3.41,1.11,0.94,15.42,0.91,24863214870.0,19839351870.0,0.29,0.57,5.09,39.29,物流行业
627,834475,三友科技,18.97,2.93,0.54,15487.0,29223231.14,4.18,19.2,18.43,18.67,18.43,0.67,3.73,167.48,5.42,1951921944.0,787821444.0,-0.05,0.11,192.3,83.64,专用设备
628,688147,微导纳米,27.76,2.93,0.79,24507.0,67365413.0,3.3,27.77,26.88,27.34,26.97,0.79,2.51,63.21,4.96,12705144861.0,2711544861.0,-0.04,0.25,39.29,-28.66,光伏设备
629,301566,达利凯普,20.4,2.93,0.58,73320.0,146585654.02,6.26,20.59,19.35,19.84,19.82,0.76,15.07,69.38,6.17,8160204000.0,992698394.0,-0.2,0.1,33.51,-29.48,电子元件
630,300596,利安隆,29.22,2.92,0.83,59442.0,172414662.22,3.49,29.37,28.38,28.61,28.39,1.93,2.65,16.03,1.54,6709486670.0,6565398262.0,0.0,0.24,21.75,0.0,塑料制品
631,002132,恒星科技,2.82,2.92,0.08,318711.0,90400281.98,6.93,2.94,2.75,2.75,2.74,1.29,2.28,159.27,1.09,3952356048.0,3946539680.0,-0.35,-0.35,25.89,-8.44,通用设备
632,837403,康农种业,18.7,2.92,0.53,19750.0,35402899.08,7.71,18.7,17.3,18.03,18.17,0.56,6.62,104.33,3.2,1327180140.0,557768640.0,1.08,1.08,128.89,68.77,农牧饲渔
633,301205,联特科技,77.3,2.92,2.19,45075.0,345327994.68,3.5,77.9,75.27,77.9,75.11,0.78,6.63,120.82,6.78,10029211200.0,5253175044.0,0.03,0.0,40.55,-26.17,光学光电子
634,688073,毕得医药,47.0,2.91,1.33,9154.0,42475659.0,4.38,47.5,45.5,45.5,45.67,0.65,2.12,38.2,2.14,4271498556.0,2032006084.0,-0.13,0.56,57.67,-13.92,生物制品
635,002120,韵达股份,7.78,2.91,0.22,281892.0,217126679.52,2.78,7.78,7.57,7.58,7.56,1.29,1.0,12.02,1.14,22555734688.0,21901659095.0,0.13,0.0,0.52,6.72,物流行业
636,002463,沪电股份,39.28,2.91,1.11,324823.0,1261195300.91,3.14,39.28,38.08,38.52,38.17,0.69,1.69,30.57,6.88,75344392803.0,75296668939.0,0.03,0.15,12.23,81.68,电子元件
637,001387,雪祺电气,15.22,2.91,0.43,38973.0,58934510.2,6.02,15.6,14.71,14.79,14.79,0.86,8.77,37.19,2.3,2705933360.0,676483340.0,0.0,0.26,12.74,31.66,家电行业
638,838163,方大新材,15.23,2.91,0.43,13087.0,19716775.6,3.38,15.3,14.8,14.83,14.8,1.04,2.13,40.89,4.34,1960331887.0,934778335.0,-0.07,-0.26,0.53,70.55,包装材料
639,601696,中银证券,11.7,2.9,0.33,312845.0,361603676.0,2.81,11.7,11.38,11.38,11.37,1.22,1.13,36.9,1.83,32502600000.0,32502600000.0,0.0,0.09,25.67,14.26,证券
640,002929,润建股份,34.12,2.9,0.96,230414.0,780004516.55,5.13,34.8,33.1,33.66,33.16,1.0,10.8,24.9,1.55,9616076143.0,7277638434.0,0.03,0.06,33.33,-17.74,通信服务
641,605166,聚合顺,11.39,2.89,0.32,44388.0,50205770.0,2.62,11.42,11.13,11.19,11.07,1.13,1.41,11.54,1.97,3594355159.0,3594355159.0,0.09,0.09,21.95,18.15,化学制品
642,873679,前进科技,17.45,2.89,0.49,11555.0,19442919.07,6.54,17.45,16.34,16.7,16.96,1.09,4.42,39.36,1.95,974582500.0,455977225.0,2.95,2.83,67.79,-21.33,通用设备
643,603016,新宏泰,33.13,2.89,0.93,13591.0,44735237.0,2.64,33.2,32.35,32.36,32.2,0.81,0.92,70.55,5.92,4908540800.0,4908540800.0,0.03,0.15,80.64,51.83,电网设备
644,833429,康比特,17.49,2.88,0.49,22656.0,39007489.52,6.41,17.6,16.51,17.02,17.0,0.46,2.04,24.91,2.61,2177505000.0,1947162644.0,0.06,0.52,80.12,27.85,食品饮料
645,300908,仲景食品,32.87,2.88,0.92,18953.0,61348542.03,3.94,32.96,31.7,31.75,31.95,0.81,1.53,24.14,2.83,4799020000.0,4062125516.0,0.06,0.24,39.75,19.18,食品饮料
646,301211,亨迪药业,21.45,2.88,0.6,112819.0,239342440.87,8.49,22.1,20.33,20.8,20.85,2.13,15.67,62.06,2.69,6177600000.0,1544400000.0,0.37,-0.65,49.48,0.85,化学制药
647,603013,亚普股份,15.74,2.88,0.44,39293.0,61623694.0,2.94,15.8,15.35,15.35,15.3,0.91,0.77,16.19,1.97,8068312415.0,8068312415.0,0.0,0.06,18.35,-6.48,汽车零部件
648,600418,江淮汽车,38.66,2.87,1.08,916674.0,3516093717.0,5.46,39.16,37.11,37.4,37.58,1.34,4.2,101.3,6.14,84433818520.0,84433818520.0,0.0,0.23,75.41,139.68,汽车整车
649,600114,东睦股份,16.49,2.87,0.46,179439.0,291955667.0,2.99,16.52,16.04,16.1,16.03,1.19,2.91,27.55,3.78,10164163536.0,10164163536.0,0.0,0.12,16.54,7.85,通用设备
650,001696,宗申动力,25.47,2.87,0.71,568047.0,1449215512.79,3.76,25.99,25.06,25.18,24.76,1.04,6.37,55.92,5.93,29163835652.0,22702422796.0,0.0,-0.04,104.25,299.22,交运设备
651,301280,珠城科技,43.77,2.87,1.22,10719.0,46568696.56,2.8,43.85,42.66,42.88,42.55,0.69,4.06,23.74,2.44,4276333377.0,1156079502.0,0.02,0.02,26.5,9.21,电子元件
652,688123,聚辰股份,64.29,2.86,1.79,70923.0,448117141.0,4.8,64.3,61.3,63.38,62.5,0.9,4.51,35.91,4.8,10120656780.0,10120656780.0,0.0,0.58,43.92,5.34,半导体
653,002345,潮宏基,5.39,2.86,0.15,267383.0,143066565.33,2.86,5.42,5.27,5.27,5.24,1.0,3.08,11.37,1.28,4789083491.0,4673557777.0,0.0,-0.19,21.67,-16.56,珠宝首饰
654,601933,永辉超市,6.11,2.86,0.17,5980442.0,3586005454.0,9.43,6.29,5.73,5.9,5.94,0.93,6.59,-534.08,9.57,55448476027.0,55448476027.0,0.16,0.0,146.37,116.67,商业百货
655,688160,步科股份,62.9,2.86,1.75,57369.0,360470211.0,7.02,64.79,60.5,62.88,61.15,1.01,6.83,122.4,6.95,5283600000.0,5283600000.0,0.58,1.01,85.05,8.67,专用设备
656,300761,立华股份,19.77,2.86,0.55,73813.0,144268578.74,3.59,19.88,19.19,19.2,19.22,1.17,1.22,10.57,1.88,16362531785.0,11958855009.0,0.0,0.0,8.15,-4.35,农牧饲渔
657,002404,嘉欣丝绸,7.19,2.86,0.2,489285.0,343783522.08,6.72,7.2,6.73,6.99,6.99,1.15,10.73,19.89,2.03,4026770580.0,3277120005.0,-0.14,0.0,29.78,25.26,纺织服装
658,688365,光云科技,12.97,2.85,0.36,615343.0,766838694.0,15.54,13.48,11.52,12.33,12.61,1.44,14.45,-74.31,5.68,5522946151.0,5522946151.0,0.62,0.78,116.53,19.1,互联网服务
659,603093,南华期货,12.25,2.85,0.34,34892.0,42232647.0,2.69,12.26,11.94,11.95,11.91,0.96,0.57,15.64,1.88,7473307189.0,7473307189.0,0.0,0.16,15.89,2.68,多元金融
660,603879,ST永悦,3.61,2.85,0.1,111265.0,38269752.0,8.26,3.62,3.33,3.49,3.51,1.57,3.1,-28.75,3.44,1297233428.0,1297233428.0,-0.28,0.28,43.25,-43.51,塑料制品
661,301330,熵基科技,28.9,2.85,0.8,33687.0,96492370.49,3.95,29.2,28.09,28.35,28.1,0.8,4.4,35.25,1.73,5671259791.0,2212155182.0,0.03,0.07,34.29,-11.49,软件开发
662,603201,常润股份,17.72,2.84,0.49,16896.0,29726727.0,3.19,17.79,17.24,17.49,17.23,0.87,2.61,13.77,1.81,2806235508.0,1147535416.0,0.17,0.45,28.41,-5.24,汽车零部件
663,605388,均瑶健康,6.52,2.84,0.18,108747.0,69171714.0,5.36,6.54,6.2,6.32,6.34,0.81,1.81,59.42,2.07,3915155680.0,3915155680.0,0.0,0.31,37.55,-26.66,食品饮料
664,000949,新乡化纤,4.35,2.84,0.12,838118.0,361490578.43,4.49,4.42,4.23,4.29,4.23,0.56,4.93,27.84,1.15,7396435161.0,7394450491.0,0.23,0.23,33.85,35.94,化纤行业
665,603416,信捷电气,41.44,2.83,1.14,26379.0,108962360.0,3.7,41.91,40.42,40.42,40.3,0.74,1.88,25.07,2.6,5824806400.0,5824806400.0,0.05,-0.02,39.29,10.98,专用设备
