序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
17,301078,孩子王,14.09,12.72,1.59,1078950.0,1458605420.71,20.0,15.0,12.5,12.6,12.5,1.77,8.66,101.28,4.13,17729758474.0,17562602463.0,-0.07,0.64,187.55,73.1
39,002467,二六三,7.35,10.03,0.67,149281.0,109721770.2,0.0,7.35,7.35,7.35,6.68,0.1,1.09,117.54,5.37,10108983267.0,10020818694.0,0.0,0.0,125.46,58.41
42,000712,锦龙股份,14.82,10.02,1.35,1251396.0,1834916231.33,10.54,14.82,13.4,13.47,13.47,2.46,13.98,-103.78,5.55,13278720000.0,13266152270.0,0.0,0.0,41.14,1.02
73,600776,东方通信,12.88,9.99,1.17,262320.0,334889351.0,6.66,12.88,12.1,12.18,11.71,0.75,2.74,117.07,4.68,16177280824.0,12313280824.0,0.0,0.0,44.88,14.69
83,603056,德邦股份,14.65,9.98,1.33,275802.0,401346238.0,5.33,14.65,13.94,13.94,13.32,4.54,2.69,21.82,1.87,15044894632.0,15044894632.0,0.0,0.0,15.81,1.81
84,600787,中储股份,7.05,9.98,0.64,1981713.0,1334128366.0,14.82,7.05,6.1,6.42,6.41,0.68,9.13,29.89,1.12,15333415689.0,15299061053.0,0.0,0.0,58.78,41.85
106,000727,冠捷科技,3.12,9.86,0.28,2110914.0,651255982.08,9.86,3.12,2.84,2.85,2.84,1.42,4.66,132.54,4.94,14132248978.0,14132248978.0,0.0,0.0,62.5,16.42
117,603398,沐邦高科,25.56,7.39,1.76,249287.0,633660146.0,8.82,26.1,24.0,24.01,23.8,0.74,5.75,-34.21,5.82,11083877353.0,11083877353.0,0.04,0.04,113.71,42.71
121,603712,七一二,18.42,7.16,1.23,458274.0,855412421.0,7.62,18.91,17.6,17.65,17.19,3.23,5.94,-391.38,3.09,14220240000.0,14220240000.0,0.11,-0.38,12.8,-41.43
124,002400,省广集团,8.54,7.02,0.56,5594498.0,4684440791.88,16.17,8.78,7.49,7.7,7.98,1.47,32.41,122.4,3.03,14888099073.0,14741445838.0,-0.12,-1.61,82.87,54.71
132,603366,日出东方,16.68,6.51,1.02,2161212.0,3536867993.0,17.43,17.23,14.5,14.66,15.66,1.37,26.58,151.26,3.4,13565477057.0,13561642325.0,3.09,4.91,356.99,171.22
139,601020,华钰矿业,14.35,6.3,0.85,700875.0,990901252.0,7.78,14.4,13.35,13.38,13.5,1.68,8.55,57.69,3.6,11766493416.0,11766493416.0,0.0,0.0,23.92,39.73
162,603025,大豪科技,15.59,5.69,0.84,391162.0,619008859.0,8.61,16.23,14.96,14.99,14.75,1.61,3.53,26.35,7.45,17292034711.0,17292034711.0,-0.06,0.0,36.4,20.29
169,300456,赛微电子,20.1,5.4,1.03,489914.0,982301605.57,11.38,20.95,18.78,19.0,19.07,1.74,8.25,-93.73,2.93,14717483993.0,11929281218.0,-0.05,-0.1,24.3,-16.28
212,688018,乐鑫科技,138.3,4.69,6.2,47652.0,668116984.0,9.58,143.9,131.25,131.44,132.1,1.31,4.25,46.35,7.62,15517319607.0,15517319607.0,0.12,0.21,39.27,89.92
216,300133,华策影视,7.91,4.63,0.35,2199762.0,1760371495.18,7.94,8.32,7.72,7.8,7.56,1.79,13.54,67.85,2.11,15037492975.0,12846393906.0,-0.13,0.51,55.1,35.68
228,600550,保变电气,9.32,4.37,0.39,875138.0,811422732.0,10.75,9.79,8.83,8.93,8.93,1.38,4.75,152.52,29.1,17163045434.0,17163045434.0,-0.11,-0.11,111.82,90.98
240,600601,方正科技,3.74,4.18,0.15,1471833.0,552926302.0,6.69,3.87,3.63,3.64,3.59,1.83,3.53,55.72,3.84,15596896893.0,15596896893.0,0.27,0.54,40.07,29.41
245,300620,光库科技,47.02,4.12,1.86,153498.0,726091759.29,8.02,49.0,45.38,45.74,45.16,2.7,6.22,157.45,6.1,11716469226.0,11609987875.0,0.02,0.09,38.42,4.03
251,002653,海思科,35.88,4.03,1.39,66939.0,239376498.14,6.49,36.5,34.26,34.26,34.49,1.16,1.25,78.93,9.4,40182656764.0,19140833921.0,0.03,0.11,19.32,57.3
258,002946,新乳业,12.89,3.95,0.49,68959.0,88326520.12,4.84,12.98,12.38,12.38,12.4,1.56,0.81,17.56,3.79,11094072405.0,10976822219.0,0.08,0.31,60.52,13.77
265,688472,阿特斯,13.4,3.88,0.5,385281.0,519878106.0,5.97,13.68,12.91,13.02,12.9,1.54,2.79,18.96,2.18,49422112142.0,18517599722.0,0.0,-0.15,37.3,7.11
270,002221,东华能源,10.07,3.81,0.37,220249.0,218011515.42,6.29,10.19,9.58,9.67,9.7,1.08,1.51,90.68,1.48,15871606614.0,14711160910.0,0.1,0.1,21.03,-2.23
