序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3605,000155,川能动力,10.83,-0.64,-0.07,103837.0,112886509.78,1.74,10.96,10.77,10.95,10.9,0.73,0.8,23.81,1.96,19994003144.0,14045724500.0,0.0,0.09,22.37,-17.52
3609,000937,冀中能源,6.16,-0.65,-0.04,144836.0,89471201.47,0.97,6.21,6.15,6.2,6.2,0.49,0.5,13.45,1.04,21766648596.0,17904655027.0,-0.16,0.0,16.45,-2.84
3613,002368,太极股份,26.05,-0.65,-0.17,211684.0,559095581.95,4.81,26.96,25.7,26.28,26.22,0.86,3.41,-430.61,3.23,16235175000.0,16156639408.0,0.0,0.46,84.36,-11.24
3614,300776,帝尔激光,73.52,-0.65,-0.48,33738.0,250830264.48,3.69,75.64,72.91,73.5,74.0,0.76,2.02,39.27,6.33,20077287352.0,12287135281.0,0.01,0.14,79.76,22.72
3620,000403,派林生物,21.26,-0.65,-0.14,62453.0,133069044.0,1.45,21.48,21.17,21.37,21.4,1.01,0.91,21.48,1.98,15542652650.0,14557023254.0,-0.09,-0.05,-11.97,-21.38
3622,000156,华数传媒,7.55,-0.66,-0.05,118278.0,89957981.78,2.89,7.73,7.51,7.55,7.6,0.72,0.7,29.83,0.95,13989639937.0,12834062871.0,0.13,0.13,25.42,5.59
3624,601636,旗滨集团,5.99,-0.66,-0.04,236006.0,142409497.0,1.49,6.07,5.98,6.02,6.03,0.85,0.88,17.24,1.21,16074251514.0,16074251514.0,0.0,0.0,13.23,-7.99
3630,002153,石基信息,7.45,-0.67,-0.05,168257.0,126572633.65,2.8,7.64,7.43,7.5,7.5,0.86,1.05,960.09,2.77,20332494115.0,11918240340.0,0.13,-0.13,52.04,-23.43
3635,600906,财达证券,7.43,-0.67,-0.05,312688.0,233154481.0,2.01,7.54,7.39,7.48,7.48,0.86,1.47,48.89,2.07,24110350000.0,15783065679.0,0.13,0.13,33.87,0.41
3641,300180,华峰超纤,7.36,-0.67,-0.05,756610.0,570249398.14,4.99,7.72,7.35,7.5,7.41,1.0,5.09,78.52,2.77,12961402741.0,10933951173.0,0.0,-0.27,90.67,66.52
3645,600452,涪陵电力,10.26,-0.68,-0.07,97533.0,100881469.0,1.94,10.45,10.25,10.33,10.33,0.68,0.63,28.14,2.99,15764917370.0,15764917370.0,-0.1,-0.1,12.13,9.97
