序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
34,000564,供销大集,3.03,10.18,0.28,9206489.0,2653709264.57,11.64,3.03,2.71,2.75,2.75,0.99,6.47,-369.71,3.32,54715931963.0,43138533040.0,0.0,0.0,91.77,107.53
50,002152,广电运通,13.15,10.04,1.2,1946208.0,2539306703.5,9.21,13.15,12.05,12.1,11.95,2.96,7.84,36.4,2.66,32656485109.0,32640058326.0,0.0,0.15,44.35,9.04
134,001696,宗申动力,28.36,8.66,2.26,2265646.0,6341416307.71,11.23,28.71,25.78,25.98,26.1,1.77,25.42,62.26,6.61,32472963451.0,25278394601.0,0.0,-0.67,150.97,344.51
161,300857,协创数据,88.14,7.49,6.14,147991.0,1277283547.23,11.77,89.66,80.01,82.02,82.0,1.57,6.05,29.11,7.11,21616788568.0,21555509233.0,-0.05,-0.12,76.28,66.68
196,600732,爱旭股份,15.27,5.89,0.85,899014.0,1381445878.0,10.4,15.83,14.33,14.37,14.42,1.32,5.63,-7.39,4.57,27910420060.0,24387680398.0,0.0,0.07,98.05,-13.44
199,603338,浙江鼎力,61.09,5.82,3.36,146303.0,898507168.0,6.55,62.68,58.9,58.9,57.73,1.44,2.89,15.89,3.14,30932791928.0,30932791928.0,-0.11,-0.02,31.38,21.77
200,000415,渤海租赁,4.0,5.82,0.22,4498061.0,1787917109.73,9.79,4.15,3.78,3.8,3.78,1.76,8.34,11.67,0.81,24738085128.0,21570850040.0,0.0,0.5,65.29,86.92
215,688608,恒玄科技,274.91,5.59,14.55,34282.0,944270712.0,13.3,292.44,257.8,260.65,260.36,1.38,2.86,85.61,5.15,33001724625.0,33001724625.0,-0.03,0.79,82.06,78.39
292,000099,中信海直,28.92,4.82,1.33,1061977.0,3063012935.2,8.01,29.8,27.59,27.75,27.59,1.29,13.69,86.34,4.29,22435272362.0,22435272362.0,0.0,0.24,90.89,231.65
324,601118,海南橡胶,5.72,4.57,0.25,593884.0,339689329.0,7.31,5.87,5.47,5.51,5.47,2.53,1.39,-39.87,2.64,24478326999.0,24478326999.0,0.0,0.18,20.68,35.55
334,688361,中科飞测,100.35,4.43,4.26,65155.0,646782068.0,7.67,101.77,94.4,96.39,96.09,1.0,2.67,-464.18,13.53,32112000000.0,24501142406.0,0.24,0.23,92.91,35.08
340,002025,航天电器,56.78,4.38,2.38,112506.0,644203202.16,6.25,58.45,55.05,55.05,54.4,2.59,2.49,47.25,3.96,25941093136.0,25696415170.0,0.04,0.16,30.56,19.19
343,688469,芯联集成-U,5.76,4.35,0.24,1534429.0,880903589.0,5.43,5.83,5.53,5.61,5.52,1.67,3.49,-44.57,3.39,40660341195.0,25320729600.0,0.0,-0.17,61.8,14.74
364,300395,菲利华,42.1,4.16,1.68,168183.0,713163040.06,5.91,43.55,41.16,41.16,40.42,1.91,3.28,70.28,5.36,21987469033.0,21616823201.0,0.0,-0.38,45.83,15.82
387,603000,人民网,25.69,4.01,0.99,981801.0,2545805281.0,7.81,26.69,24.76,24.79,24.7,2.18,8.88,379.35,7.9,28405203229.0,28405203229.0,0.16,0.04,51.92,-7.62
413,000021,深科技,20.11,3.82,0.74,1092425.0,2222854342.16,7.07,20.93,19.56,19.7,19.37,1.55,7.0,35.59,2.71,31383416395.0,31380120868.0,0.0,0.05,63.23,25.06
418,002085,万丰奥威,19.91,3.75,0.72,2000387.0,3985247274.28,6.88,20.47,19.15,19.26,19.19,1.45,9.42,56.26,6.12,42274853623.0,42274853623.0,0.0,-0.15,63.06,315.66
442,000009,中国宝安,9.85,3.58,0.34,640988.0,634837886.99,6.2,10.14,9.55,9.65,9.51,2.12,2.51,49.44,2.5,25405257555.0,25131588691.0,-0.1,0.1,31.68,-15.81
464,600518,康美药业,2.42,3.42,0.08,5916320.0,1423663315.0,5.56,2.45,2.32,2.33,2.34,1.31,4.35,5016.99,4.76,33550557390.0,32943286014.0,0.0,0.41,35.2,30.11
528,002939,长城证券,8.64,3.1,0.26,851881.0,737685244.13,6.68,8.91,8.35,8.4,8.38,2.51,2.44,23.81,1.18,34857448900.0,30133062348.0,0.0,0.12,33.13,9.51
586,688072,拓荆科技,195.6,2.88,5.47,49011.0,958170092.0,5.73,199.9,189.01,191.0,190.13,1.19,3.19,150.5,11.44,54439556695.0,30091166005.0,0.0,0.01,59.02,25.34
645,002157,正邦科技,3.45,2.68,0.09,1878742.0,644977187.29,4.76,3.48,3.32,3.36,3.36,1.4,3.15,80.02,2.76,32078380620.0,20601574502.0,0.0,0.29,31.68,28.73
674,600515,海南机场,3.95,2.6,0.1,1056292.0,415788218.0,4.94,4.03,3.84,3.85,3.85,1.55,1.15,159.01,1.93,45129972928.0,36245249407.0,0.0,0.0,25.4,6.76
773,600176,中国巨石,11.33,2.35,0.26,642777.0,740273594.0,4.97,11.85,11.3,11.38,11.07,1.9,1.61,22.19,1.56,45355539128.0,45355539128.0,0.0,0.27,16.68,18.51
816,688047,龙芯中科,159.5,2.24,3.5,86573.0,1391690563.0,8.4,166.8,153.7,156.0,156.0,1.35,3.1,-139.95,19.92,63959500000.0,44603334276.0,0.0,-0.24,77.8,44.2
842,600536,中国软件,54.66,2.17,1.16,703460.0,3864603518.0,6.82,56.5,52.85,53.69,53.5,0.98,8.35,-103.25,21.4,46470313900.0,46075911008.0,0.0,0.02,89.46,50.74
